Clase,Orden,Familia,Especie
Equisetopsida,Caryophyllales,Amaranthaceae,"Alternanthera halimifolia"
Aves,Gruiformes,Rallidae,"Porzana carolina"
Aves,Pelecaniformes,Ardeidae,"Nycticorax nycticorax"
Aves,Passeriformes,Icteridae,"Leistes bellicosus"
Equisetopsida,Caryophyllales,Amaranthaceae,"Alternanthera pubiflora"
Aves,Podicipediformes,Podicipedidae,"Podilymbus podiceps"
Aves,Passeriformes,Motacillidae,"Anthus chii"
Equisetopsida,Poales,Poaceae,"Luziola peruviana"
Aves,Columbiformes,Columbidae,"Columba livia"
Equisetopsida,Poales,Cyperaceae,"Schoenoplectus americanus"
Equisetopsida,Fagales,Casuarinaceae,"Casuarina equisetifolia"
Aves,Suliformes,Phalacrocoracidae,"Phalacrocorax bougainvillii"
Aves,Gruiformes,Rallidae,"Porphyrio martinica"
Equisetopsida,Equisetales,Equisetaceae,"Equisetum giganteum"
Aves,Podicipediformes,Podicipedidae,"Podiceps major"
Aves,Apodiformes,Trochilidae,"Amazilia amazilia"
Equisetopsida,Poales,Cyperaceae,"Cyperus laevigatus"
Aves,Gruiformes,Rallidae,"Mustelirallus erythrops"
Aves,Procellariiformes,Procellariidae,"Pachyptila belcheri"
Aves,Pelecaniformes,Ardeidae,"Bubulcus ibis"
Aves,Ciconiiformes,Ciconiidae,"Mycteria americana"
Aves,Procellariiformes,Procellariidae,"Macronectes giganteus"
Aves,Falconiformes,Falconidae,"Falco sparverius"
Insecta,Coleoptera,Dytiscidae,"Megadytes marginithorax"
Aves,Pelecaniformes,Ardeidae,"Nyctanassa violacea"
Equisetopsida,Poales,Cyperaceae,"Cladium mariscus subsp. Jamaicense"
Aves,Passeriformes,Thraupidae,"Sicalis flaveola"
Insecta,Coleoptera,Dytiscidae,"Meridiorhantus calidus"
Aves,Anseriformes,Anatidae,"Spatula cyanoptera"
Aves,Charadriiformes,Laridae,"Phaetusa simplex"
Aves,Charadriiformes,Burhinidae,"Burhinus superciliaris"
Aves,Procellariiformes,Procellariidae,"Pelecanoides garnotii"
Aves,Strigiformes,Strigidae,"Glaucidium brasilianum"
Aves,Anseriformes,Anatidae,"Nomonyx dominicus"
Aves,Procellariiformes,Procellariidae,"Daption capense"
Aves,Charadriiformes,Scolopacidae,"Phalaropus tricolor"
Aves,Charadriiformes,Haematopodidae,"Haematopus palliatus"
Aves,Procellariiformes,Hydrobatidae,"Hydrobates markhami"
Equisetopsida,Alismatales,Hydrocharitaceae,"Elodea potamogeton"
Insecta,Coleoptera,Hydraenidae,"Hydraena quechua"
Equisetopsida,Lamiales,Verbenaceae,"Phyla nodiflora"
Equisetopsida,Ceratophyllales,Ceratophyllaceae,"Ceratophyllum demersum"
Equisetopsida,Lamiales,Plantaginaceae,"Plantago major"
Aves,Charadriiformes,Recurvirostridae,"Himantopus mexicanus"
Aves,Anseriformes,Anatidae,"Dendrocygna autumnalis"
Equisetopsida,Asterales,Asteraceae,"Erigeron leptorhizon"
Aves,Passeriformes,Thraupidae,"Sporophila telasco"
Equisetopsida,Solanales,Solanaceae,"Solanum pimpinellifolium"
Aves,Pelecaniformes,Pelecanidae,"Pelecanus occidentalis"
Equisetopsida,Poales,Poaceae,"Sporobolus virginicus"
Aves,Pelecaniformes,Ardeidae,"Ardea alba"
Aves,Passeriformes,Thraupidae,"Sicalis luteola"
Aves,Columbiformes,Columbidae,"Metriopelia ceciliae"
Equisetopsida,Myrtales,Onagraceae,"Ludwigia peruviana"
Aves,Charadriiformes,Scolopacidae,"Calidris virgata"
Mammalia,Rodentia,Caviidae,"Cavia tschudii"
Aves,Pelecaniformes,Pelecanidae,"Pelecanus thagus"
Aves,Passeriformes,Thraupidae,"Sicalis raimondii"
Aves,Passeriformes,Hirundinidae,"Progne elegans"
Aves,Passeriformes,Thraupidae,"Sporophila simplex"
Aves,Passeriformes,Hirundinidae,"Progne subis"
Aves,Charadriiformes,Laridae,"Larus dominicanus"
Aves,Passeriformes,Thraupidae,"Conirostrum cinereum"
Aves,Procellariiformes,Hydrobatidae,"Hydrobates hornbyi"
Aves,Passeriformes,Thraupidae,"Saltator striatipectus"
Aves,Columbiformes,Columbidae,"Columbina cruziana"
Aves,Passeriformes,Thraupidae,"Sporophila peruviana"
Aves,Passeriformes,Furnariidae,"Geositta peruviana"
Aves,Anseriformes,Anatidae,"Anas flavirostris"
Mammalia,Chiroptera,Vespertilionidae,"Myotis atacamensis"
Aves,Cuculiformes,Cuculidae,"Coccyzus melacoryphus"
Aves,Pelecaniformes,Threskiornithidae,"Platalea ajaja"
Equisetopsida,Caryophyllales,Amaranthaceae,"Sarcocornia neei"
Aves,Passeriformes,Passeridae,"Passer domesticus"
Equisetopsida,Caryophyllales,Amaranthaceae,"Sarcocornia fruticosa"
Aves,Anseriformes,Anatidae,"Lophonetta specularioides"
Equisetopsida,Asterales,Asteraceae,"Picrosia longifolia"
Equisetopsida,Asterales,Asteraceae,"Eclipta prostrata"
Equisetopsida,Alismatales,Hydrocharitaceae,"Hydrocharis laevigata"
Equisetopsida,Gentianales,Rubiaceae,"Colocasia esculenta"
Equisetopsida,Poales,Poaceae,"Phragmites australis"
Equisetopsida,Solanales,Solanaceae,"Solanum americanum"
Equisetopsida,Brassicales,Brassicaceae,"Nasturtium officinale"
Equisetopsida,Alismatales,Ruppiaceae,"Ruppia maritima"
Aves,Charadriiformes,Stercorariidae,"Stercorarius pomarinus"
Equisetopsida,Apiales,Araliaceae,"Hydrocotyle ranunculoides"
Aves,Pelecaniformes,Ardeidae,"Egretta caerulea"
Aves,Gruiformes,Rallidae,"Gallinula galeata"
Aves,Psittaciformes,Psittacidae,"Forpus coelestis"
Aves,Accipitriformes,Accipitridae,"Circus cinereus"
Insecta,Coleoptera,Hydraenidae,"Ochthebius batesoni"
Equisetopsida,Alismatales,Araceae,"Pistia stratiotes"
Aves,Ciconiiformes,Ciconiidae,"Jabiru mycteria"
Aves,Passeriformes,Tyrannidae,"Pyrocephalus rubinus"
Equisetopsida,Poales,Poaceae,"Paspalum vaginatum"
Aves,Charadriiformes,Laridae,"Sterna paradisaea"
Aves,Pelecaniformes,Ardeidae,"Egretta thula"
Aves,Anseriformes,Anatidae,"Anas bahamensis"
Aves,Passeriformes,Hirundinidae,"Petrochelidon rufocollaris"
Aves,Passeriformes,Hirundinidae,"Petrochelidon pyrrhonota"
Equisetopsida,Apiales,Apiaceae,"Apium graveolens"
Aves,Apodiformes,Apodidae,"Aeronautes andecolus"
Aves,Accipitriformes,Accipitridae,"Buteogallus meridionalis"
Aves,Charadriiformes,Scolopacidae,"Calidris pusilla"
Aves,Gruiformes,Rallidae,"Fulica gigantea"
Aves,Cathartiformes,Cathartidae,"Cathartes aura"
Aves,Passeriformes,Hirundinidae,"Progne tapera"
Aves,Suliformes,Phalacrocoracidae,"Phalacrocorax brasilianus"
Aves,Passeriformes,Mimidae,"Mimus longicaudatus"
Aves,Charadriiformes,Scolopacidae,"Calidris pugnax"
Aves,Pelecaniformes,Ardeidae,"Egretta tricolor"
Aves,Passeriformes,Corvidae,"Cyanocorax mystacalis"
Equisetopsida,Caryophyllales,Polygonaceae,"Persicaria hydropiperoides"
Equisetopsida,Boraginales,Heliotropiaceae,"Heliotropium curassavicum"
Aves,Apodiformes,Trochilidae,"Myrtis fanny"
Aves,Phoenicopteriformes,Phoenicopteridae,"Phoenicopterus chilensis"
Equisetopsida,Commelinales,Pontederiaceae,"Pontederia crassipes"
Aves,Charadriiformes,Scolopacidae,"Phalaropus lobatus"
Aves,Podicipediformes,Podicipedidae,"Rollandia rolland"
Aves,Gruiformes,Rallidae,"Rallus limicola"
Aves,Charadriiformes,Laridae,"Sterna trudeaui"
Aves,Cuculiformes,Cuculidae,"Crotophaga sulcirostris"
Aves,Cathartiformes,Cathartidae,"Coragyps atratus"
Equisetopsida,Poales,Cyperaceae,"Cyperus odoratus"
Aves,Strigiformes,Strigidae,"Athene cunicularia"
Equisetopsida,Poales,Cyperaceae,"Scirpus polyphyllus"
Equisetopsida,Commelinales,Pontederiaceae,"Pontederia azurea"
Aves,Gruiformes,Rallidae,"Pardirallus sanguinolentus"
Aves,Passeriformes,Tyrannidae,"Muscisaxicola maclovianus"
Aves,Charadriiformes,Charadriidae,"Pluvialis dominica"
Equisetopsida,Poales,Cyperaceae,"Cyperus alternifolius"
Aves,Columbiformes,Columbidae,"Columbina minuta"
Equisetopsida,Poales,Cyperaceae,"Schoenoplectus californicus"
Aves,Anseriformes,Anatidae,"Sarkidiornis sylvicola"
Equisetopsida,Alismatales,Araceae,"Spirodela punctata"
Equisetopsida,Solanales,Convolvulaceae,"Calystegia sepium"
Equisetopsida,Asterales,Asteraceae,"Platanthera elegans"
Aves,Pelecaniformes,Threskiornithidae,"Plegadis ridgwayi"
Aves,Charadriiformes,Scolopacidae,"Phalaropus fulicarius"
Aves,Passeriformes,Hirundinidae,"Hirundo rustica"
Aves,Apodiformes,Apodidae,"Chaetura pelagica"
Aves,Charadriiformes,Scolopacidae,"Calidris minutilla"
Aves,Anseriformes,Anatidae,"Spatula puna"
Aves,Passeriformes,Tyrannidae,"Myiophobus fasciatus"
Aves,Passeriformes,Fringillidae,"Spinus magellanicus"
Aves,Procellariiformes,Diomedeidae,"Phoebastria irrorata"
Insecta,Coleoptera,Dytiscidae,"Desmopachria challeti"
Aves,Charadriiformes,Haematopodidae,"Haematopus ater"
Aves,Charadriiformes,Scolopacidae,"Calidris alba"
Aves,Accipitriformes,Accipitridae,"Geranoaetus melanoleucus"
Equisetopsida,Alismatales,Araceae,"Lemna minuta"
Aves,Charadriiformes,Scolopacidae,"Limnodromus scolopaceus"
Equisetopsida,Poales,Poaceae,"Distichlis spicata"
Aves,Charadriiformes,Charadriidae,"Pluvialis squatarola"
Insecta,Coleoptera,Hydraenidae,"Gymnochthebius peruvianus"
Equisetopsida,Myrtales,Lythraceae,"Lythrum maritimum"
Aves,Passeriformes,Icteridae,"Molothrus bonariensis"
Equisetopsida,Gentianales,Rubiaceae,"Galium hypocarpium"
Aves,Accipitriformes,Accipitridae,"Parabuteo unicinctus"
Aves,Anseriformes,Anatidae,"Oressochen melanopterus"
Aves,Psittaciformes,Psittacidae,"Brotogeris versicolurus"
Equisetopsida,Salviniales,Salviniaceae,"Azolla filiculoides"
Aves,Strigiformes,Strigidae,"Asio flammeus"
Equisetopsida,Myrtales,Onagraceae,"Ludwigia octovalvis"
Aves,Passeriformes,Furnariidae,"Phleocryptes melanops"
Aves,Passeriformes,Tyrannidae,"Lessonia oreas"
Aves,Gruiformes,Rallidae,"Laterallus jamaicensis"
Aves,Suliformes,Phalacrocoracidae,"Phalacrocorax gaimardi"
Equisetopsida,Lamiales,Lamiaceae,"Mentha aquatica"
Aves,Charadriiformes,Scolopacidae,"Calidris melanotos"
Aves,Charadriiformes,Scolopacidae,"Bartramia longicauda"
Aves,Anseriformes,Anatidae,"Oxyura jamaicensis"
Aves,Charadriiformes,Stercorariidae,"Stercorarius chilensis"
Aves,Passeriformes,Hirundinidae,"Riparia riparia"
Equisetopsida,Alismatales,Araceae,"Lemna gibba"
Aves,Charadriiformes,Scolopacidae,"Calidris bairdii"
Aves,Coraciiformes,Alcedinidae,"Chloroceryle americana"
Equisetopsida,Saxifragales,Haloragaceae,"Myriophyllum aquaticum"
Aves,Accipitriformes,Pandionidae,"Pandion haliaetus"
Aves,Charadriiformes,Scolopacidae,"Actitis macularius"
Equisetopsida,Asterales,Asteraceae,"Spilanthes leiocarpa"
Aves,Pelecaniformes,Ardeidae,"Ixobrychus exilis"
Aves,Gruiformes,Rallidae,"Aramides cajaneus"
Aves,Charadriiformes,Scolopacidae,"Calidris canutus"
Equisetopsida,Alismatales,Hydrocharitaceae,"Najas guadalupensis"
Aves,Sphenisciformes,Spheniscidae,"Spheniscus humboldti"
Aves,Passeriformes,Hirundinidae,"Pygochelidon cyanoleuca"
Aves,Charadriiformes,Scolopacidae,"Calidris ferruginea"
Aves,Accipitriformes,Accipitridae,"Buteo platypterus"
Aves,Charadriiformes,Stercorariidae,"Stercorarius parasiticus"
Aves,Charadriiformes,Scolopacidae,"Numenius phaeopus"
Aves,Charadriiformes,Recurvirostridae,"Recurvirostra andina"
Aves,Charadriiformes,Charadriidae,"Charadrius nivosus"
Aves,Charadriiformes,Charadriidae,"Charadrius semipalmatus"
Equisetopsida,Alismatales,Potamogetonaceae,"Potamogeton pusillus"
Equisetopsida,Poales,Poaceae,"Gynerium sagittatum"
Aves,Psittaciformes,Psittacidae,"Psittacara erythrogenys"
Aves,Passeriformes,Thraupidae,"Coereba flaveola"
Aves,Charadriiformes,Charadriidae,"Charadrius vociferus"
Aves,Charadriiformes,Laridae,"Leucophaeus atricilla"
Equisetopsida,Caryophyllales,Polygonaceae,"Rumex obtusifolius"
Aves,Caprimulgiformes,Caprimulgidae,"Chordeiles acutipennis"
Aves,Passeriformes,Tyrannidae,"Muscigralla brevicauda"
Aves,Psittaciformes,Psittacidae,"Psittacara wagleri"
Aves,Charadriiformes,Scolopacidae,"Calidris fuscicollis"
Aves,Charadriiformes,Laridae,"Larus belcheri"
Aves,Gruiformes,Rallidae,"Fulica rufifrons"
Equisetopsida,Apiales,Apiaceae,"Cyclospermum leptophyllum"
Aves,Falconiformes,Falconidae,"Falco peregrinus"
Equisetopsida,Caryophyllales,Aizoaceae,"Sesuvium portulacastrum"
Aves,Charadriiformes,Laridae,"Sterna hirundo"
Aves,Charadriiformes,Scolopacidae,"Limnodromus griseus"
Aves,Charadriiformes,Laridae,"Chlidonias niger"
Aves,Charadriiformes,Laridae,"Larosterna inca"
Aves,Apodiformes,Trochilidae,"Rhodopis vesper"
Equisetopsida,Poales,Poaceae,"Polypogon viridis"
Aves,Charadriiformes,Laridae,"Chroicocephalus cirrocephalus"
Aves,Charadriiformes,Laridae,"Chroicocephalus maculipennis"
Aves,Charadriiformes,Scolopacidae,"Calidris himantopus"
Aves,Passeriformes,Tyrannidae,"Camptostoma obsoletum"
Aves,Accipitriformes,Accipitridae,"Geranoaetus polyosoma"
Aves,Charadriiformes,Scolopacidae,"Arenaria interpres"
Aves,Charadriiformes,Laridae,"Gelochelidon nilotica"
Equisetopsida,Gentianales,Apocynaceae,"Nerium oleander"
