Clase,Orden,Familia,Especie,endemica,amenazada
Equisetopsida,Caryophyllales,Amaranthaceae,Alternanthera halimifolia,FALSE,FALSE
Aves,Gruiformes,Rallidae,Porzana carolina,FALSE,FALSE
Aves,Pelecaniformes,Ardeidae,Nycticorax nycticorax,FALSE,FALSE
Aves,Passeriformes,Icteridae,Leistes bellicosus,FALSE,FALSE
Equisetopsida,Caryophyllales,Amaranthaceae,Alternanthera pubiflora,FALSE,FALSE
Aves,Podicipediformes,Podicipedidae,Podilymbus podiceps,FALSE,FALSE
Aves,Passeriformes,Motacillidae,Anthus chii,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Luziola peruviana,FALSE,FALSE
Aves,Columbiformes,Columbidae,Columba livia,FALSE,FALSE
Equisetopsida,Poales,Cyperaceae,Schoenoplectus americanus,FALSE,FALSE
Equisetopsida,Fagales,Casuarinaceae,Casuarina equisetifolia,FALSE,FALSE
Aves,Suliformes,Phalacrocoracidae,Phalacrocorax bougainvillii,FALSE,FALSE
Aves,Gruiformes,Rallidae,Porphyrio martinica,FALSE,FALSE
Equisetopsida,Equisetales,Equisetaceae,Equisetum giganteum,FALSE,FALSE
Aves,Podicipediformes,Podicipedidae,Podiceps major,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Amazilia amazilia,FALSE,FALSE
Equisetopsida,Poales,Cyperaceae,Cyperus laevigatus,FALSE,FALSE
Aves,Gruiformes,Rallidae,Mustelirallus erythrops,FALSE,FALSE
Aves,Procellariiformes,Procellariidae,Pachyptila belcheri,FALSE,FALSE
Aves,Pelecaniformes,Ardeidae,Bubulcus ibis,FALSE,FALSE
Aves,Ciconiiformes,Ciconiidae,Mycteria americana,FALSE,FALSE
Aves,Procellariiformes,Procellariidae,Macronectes giganteus,FALSE,FALSE
Aves,Falconiformes,Falconidae,Falco sparverius,FALSE,FALSE
Insecta,Coleoptera,Dytiscidae,Megadytes marginithorax,FALSE,FALSE
Aves,Pelecaniformes,Ardeidae,Nyctanassa violacea,FALSE,FALSE
Equisetopsida,Poales,Cyperaceae,Cladium mariscus subsp. Jamaicense,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Sicalis flaveola,FALSE,FALSE
Insecta,Coleoptera,Dytiscidae,Meridiorhantus calidus,FALSE,FALSE
Aves,Anseriformes,Anatidae,Spatula cyanoptera,FALSE,FALSE
Aves,Charadriiformes,Laridae,Phaetusa simplex,FALSE,FALSE
Aves,Charadriiformes,Burhinidae,Burhinus superciliaris,FALSE,FALSE
Aves,Procellariiformes,Procellariidae,Pelecanoides garnotii,FALSE,TRUE
Aves,Strigiformes,Strigidae,Glaucidium brasilianum,FALSE,FALSE
Aves,Anseriformes,Anatidae,Nomonyx dominicus,FALSE,FALSE
Aves,Procellariiformes,Procellariidae,Daption capense,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Phalaropus tricolor,FALSE,FALSE
Aves,Charadriiformes,Haematopodidae,Haematopus palliatus,FALSE,FALSE
Aves,Procellariiformes,Hydrobatidae,Hydrobates markhami,FALSE,TRUE
Equisetopsida,Alismatales,Hydrocharitaceae,Elodea potamogeton,FALSE,FALSE
Insecta,Coleoptera,Hydraenidae,Hydraena quechua,FALSE,FALSE
Equisetopsida,Lamiales,Verbenaceae,Phyla nodiflora,FALSE,FALSE
Equisetopsida,Ceratophyllales,Ceratophyllaceae,Ceratophyllum demersum,FALSE,FALSE
Equisetopsida,Lamiales,Plantaginaceae,Plantago major,FALSE,FALSE
Aves,Charadriiformes,Recurvirostridae,Himantopus mexicanus,FALSE,FALSE
Aves,Anseriformes,Anatidae,Dendrocygna autumnalis,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Erigeron leptorhizon,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Sporophila telasco,FALSE,FALSE
Equisetopsida,Solanales,Solanaceae,Solanum pimpinellifolium,FALSE,FALSE
Aves,Pelecaniformes,Pelecanidae,Pelecanus occidentalis,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Sporobolus virginicus,FALSE,FALSE
Aves,Pelecaniformes,Ardeidae,Ardea alba,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Sicalis luteola,FALSE,FALSE
Aves,Columbiformes,Columbidae,Metriopelia ceciliae,FALSE,FALSE
Equisetopsida,Myrtales,Onagraceae,Ludwigia peruviana,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Calidris virgata,FALSE,FALSE
Mammalia,Rodentia,Caviidae,Cavia tschudii,FALSE,FALSE
Aves,Pelecaniformes,Pelecanidae,Pelecanus thagus,FALSE,TRUE
Aves,Passeriformes,Thraupidae,Sicalis raimondii,TRUE,FALSE
Aves,Passeriformes,Hirundinidae,Progne elegans,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Sporophila simplex,FALSE,FALSE
Aves,Passeriformes,Hirundinidae,Progne subis,FALSE,FALSE
Aves,Charadriiformes,Laridae,Larus dominicanus,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Conirostrum cinereum,FALSE,FALSE
Aves,Procellariiformes,Hydrobatidae,Hydrobates hornbyi,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Saltator striatipectus,FALSE,FALSE
Aves,Columbiformes,Columbidae,Columbina cruziana,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Sporophila peruviana,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Geositta peruviana,TRUE,FALSE
Aves,Anseriformes,Anatidae,Anas flavirostris,FALSE,FALSE
