Clase,Orden,Familia,Especie
Mammalia,Primates,Atelidae,"Alouatta seniculus"
Mammalia,Carnivora,Mustelidae,"Pteronura brasiliensis"
Reptilia,Testudines,Podocnemididae,"Podocnemis sextuberculata"
Mammalia,Primates,Pitheciidae,"Callicebus lucifer"
Aves,Passeriformes,Onychorhynchidae,"Onychorhynchus coronatus"
Mammalia,Primates,Atelidae,"Lagothrix lagothricha"
Equisetopsida,Sapindales,Meliaceae,"Cedrela odorata"
Mammalia,Cingulata,Chlamyphoridae,"Priodontes maximus"
Aves,Galliformes,Cracidae,"Mitu salvini"
Mammalia,Pilosa,Myrmecophagidae,"Myrmecophaga tridactyla"
Equisetopsida,Laurales,Lauraceae,"Mezilaurus ita-uba"
Mammalia,Sirenia,Trichechidae,"Trichechus inunguis"
Equisetopsida,Cycadales,Zamiaceae,"Zamia ulei"
,,,
