Clase,Orden,Familia,Especie
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana cumbemayensis"
Aves,Pelecaniformes,Threskiornithidae,"Theristicus melanopis"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana longifolia"
Mammalia,Carnivora,Ursidae,"Tremarctos ornatus"
Aves,Cathartiformes,Cathartidae,"Vultur gryphus"
Amphibia,Anura,Telmatobiidae,"Telmatobius mayoloi"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana nivalis"
Aves,Passeriformes,Cotingidae,"Zaratornis stresemanni"
Aves,Passeriformes,Furnariidae,"Synallaxis zimmeri"
Equisetopsida,Asparagales,Orchidaceae,"Trichoceros platyceros"
Aves,Apodiformes,Trochilidae,"Taphrolesbia griseiventris"
Mammalia,Cetartiodactyla,Cervidae,"Hippocamelus antisensis"
Equisetopsida,Gentianales,Gentianaceae,"Gentianella thyrsoidea"
Equisetopsida,Asterales,Asteraceae,"Senecio rhizomatus"
Equisetopsida,Malvales,Malvaceae,"Nototriche tovari"
Equisetopsida,Solanales,Solanaceae,"Solanum sogarandinum"
Equisetopsida,Rosales,Rosaceae,"Polylepis microphylla"
Equisetopsida,Escalloniales,Escalloniaceae,"Escallonia resinosa"
Mammalia,Rodentia,Cricetidae,"Akodon orophilus"
Equisetopsida,Fabales,Fabaceae,"Otholobium munyense"
Equisetopsida,Rosales,Rosaceae,"Kageneckia lanceolata"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum excelsum"
Aves,Passeriformes,Furnariidae,"Phacellodomus dorsalis"
Equisetopsida,Malvales,Malvaceae,"Nototriche artemisioides"
Amphibia,Anura,Bufonidae,"Atelopus peruensis"
Equisetopsida,Rosales,Rosaceae,"Polylepis sericea"
Equisetopsida,Rosales,Rosaceae,"Polylepis weberbaueri"
Mammalia,Rodentia,Cricetidae,"Phyllotis definitus"
Equisetopsida,Rosales,Rosaceae,"Polylepis racemosa"
Aves,Passeriformes,Thraupidae,"Microspingus alticola"
Aves,Passeriformes,Tyrannidae,"Anairetes alpinus"
Equisetopsida,Asterales,Asteraceae,"Perezia pinnatifida"
Equisetopsida,Asterales,Asteraceae,"Perezia coerulescens"
Aves,Passeriformes,Thraupidae,"Poospiza rubecula"
Equisetopsida,Fagales,Betulaceae,"Alnus acuminata"
Equisetopsida,Rosales,Rosaceae,"Polylepis incana"
Mammalia,Cetartiodactyla,Camelidae,"Lama guanicoe"
Equisetopsida,Asterales,Asteraceae,"Culcitium nivale"
Equisetopsida,Geraniales,Geraniaceae,"Geranium ayavacense"
Equisetopsida,Poales,Bromeliaceae,"Puya raimondii"
Equisetopsida,Escalloniales,Escalloniaceae,"Escallonia myrtilloides"
Equisetopsida,Ephedrales,Ephedraceae,"Ephedra rupestris"
Equisetopsida,Malvales,Malvaceae,"Acaulimalva weberbaueri"
Mammalia,Carnivora,Felidae,"Leopardus jacobitus"
Equisetopsida,Caryophyllales,Cactaceae,"Matucana haynei"
Equisetopsida,Lamiales,Scrophulariaceae,"Buddleja incana"
Equisetopsida,Lamiales,Scrophulariaceae,"Buddleja coriacea"
Aves,Passeriformes,Tyrannidae,"Ochthoeca piurae"
,,,
