Clase,Orden,Familia,Especie
Equisetopsida,Asterales,Asteraceae,"Verbesina ampliatifolia"
Equisetopsida,Poales,Bromeliaceae,"Tillandsia cacticola"
Aves,Passeriformes,Tyrannidae,"Tumbezia salvini"
Equisetopsida,Asterales,Asteraceae,"Ferreyranthus rugosus"
Equisetopsida,Caryophyllales,Cactaceae,"Neoraimondia arequipensis"
Equisetopsida,Malvales,Thymelaeaceae,"Daphnopsis weberbaueri"
Equisetopsida,Dioscoreales,Dioscoreaceae,"Dioscorea moyobambensis"
Aves,Strigiformes,Strigidae,"Megascops koepckeae"
Equisetopsida,Caryophyllales,Polygonaceae,"Coccoloba gracilis"
Aves,Passeriformes,Thraupidae,"Piezorina cinerea"
Equisetopsida,Asterales,Asteraceae,"Schizotrichia jelskii"
Equisetopsida,Fabales,Polygalaceae,"Monnina sanmarcosana"
Aves,Passeriformes,Tyrannidae,"Ochthoeca piurae"
Aves,Galliformes,Cracidae,"Penelope albipennis"
Equisetopsida,Ericales,Primulaceae,"Myrsine sessiliflora"
,,,
