Clase,Orden,Familia,Especie
Aves,Cathartiformes,Cathartidae,"Vultur gryphus"
Mammalia,Carnivora,Ursidae,"Tremarctos ornatus"
Equisetopsida,Fabales,Fabaceae,"Tara spinosa"
Equisetopsida,Escalloniales,Escalloniaceae,"Escallonia micrantha"
Aves,Passeriformes,Tyrannidae,"Lathrotriccus griseipectus"
Mammalia,Pilosa,Myrmecophagidae,"Myrmecophaga tridactyla"
Aves,Columbiformes,Columbidae,"Leptotila ochraceiventris"
Equisetopsida,Zygophyllales,Krameriaceae,"Krameria lappacea"
Equisetopsida,Sapindales,Burseraceae,"Bursera graveolens"
Equisetopsida,Brassicales,Capparaceae,"Colicodendron scabridum"
Equisetopsida,Fabales,Fabaceae,"Neltuma pallida"
Equisetopsida,Sapindales,Anacardiaceae,"Loxopterygium huasango"
Equisetopsida,Sapindales,Meliaceae,"Cedrela fissilis"
Equisetopsida,Solanales,Solanaceae,"Browallia acutiloba"
Aves,Passeriformes,Tyrannidae,"Ochthoeca piurae"
Aves,Passeriformes,Furnariidae,"Clibanornis erythrocephalus"
Equisetopsida,Myrtales,Myrtaceae,"Myrcianthes discolor"
Aves,Galliformes,Cracidae,"Penelope albipennis"
Aves,Galliformes,Cracidae,"Penelope barbata"
Aves,Galliformes,Cracidae,"Ortalis erythroptera"
Equisetopsida,Caryophyllales,Cactaceae,"Melocactus peruvianus"
,,,
