Clase,Orden,Familia,Especie
Aves,Accipitriformes,Pandionidae,"Pandion haliaetus"
Equisetopsida,Fabales,Fabaceae,"Abarema auriculata"
Actinopterygii,Characiformes,Anostomidae,"Abramites hypselonotus"
Equisetopsida,Ranunculales,Menispermaceae,"Abuta grandifolia"
Equisetopsida,Ranunculales,Menispermaceae,"Abuta solimoesensis"
Equisetopsida,Malpighiales,Euphorbiaceae,"Acalypha stricta"
Aves,Accipitriformes,Accipitridae,"Accipiter superciliosus"
Actinopterygii,Characiformes,Acestrorhynchidae,"Acestrorhynchus abbreviatus"
Actinopterygii,Characiformes,Acestrorhynchidae,"Acestrorhynchus falcirostris"
Actinopterygii,Characiformes,Acestrorhynchidae,"Acestrorhynchus heterolepis"
Actinopterygii,Characiformes,Acestrorhynchidae,"Acestrorhynchus microlepis"
Equisetopsida,Myrtales,Melastomataceae,"Aciotis acuminifolia"
Equisetopsida,Myrtales,Melastomataceae,"Aciotis viscida"
Equisetopsida,Polypodiales,Pteridaceae,"Acrostichum aureum"
Aves,Charadriiformes,Scolopacidae,"Actitis macularius"
Equisetopsida,Myrtales,Melastomataceae,"Adelobotrys macrophylla"
Equisetopsida,Myrtales,Melastomataceae,"Adelobotrys marginatus"
Equisetopsida,Myrtales,Lythraceae,"Adenaria floribunda"
Equisetopsida,Lamiales,Bignoniaceae,"Adenocalymma apurense"
Equisetopsida,Lamiales,Bignoniaceae,"Adenocalymma cladotrichum"
Equisetopsida,Lamiales,Bignoniaceae,"Adenocalymma flaviflorum"
Equisetopsida,Polypodiales,Pteridaceae,"Adiantum tomentosum"
Equisetopsida,Sapindales,Rutaceae,"Adiscanthus fusciflorus"
Actinopterygii,Gymnotiformes,Apteronotidae,"Adontosternarchus balaenops"
Equisetopsida,Poales,Bromeliaceae,"Aechmea chantinii"
Equisetopsida,Poales,Bromeliaceae,"Aechmea corymbosa"
Equisetopsida,Poales,Bromeliaceae,"Aechmea longifolia"
Equisetopsida,Poales,Bromeliaceae,"Aechmea mertensii"
Equisetopsida,Poales,Bromeliaceae,"Aechmea strobilacea"
Equisetopsida,Poales,Bromeliaceae,"Aechmea tillandsioides"
Equisetopsida,Poales,Bromeliaceae,"Aechmea vallerandii"
Equisetopsida,Lamiales,Lamiaceae,"Aegiphila chrysantha"
Equisetopsida,Lamiales,Lamiaceae,"Aegiphila elegans"
Equisetopsida,Lamiales,Lamiaceae,"Aegiphila herzogii"
Equisetopsida,Lamiales,Lamiaceae,"Aegiphila peruviana"
Equisetopsida,Lamiales,Lamiaceae,"Aegiphila smithii"
Equisetopsida,Lamiales,Lamiaceae,"Aegiphila sufflava"
Actinopterygii,Perciformes,Cichlidae,"Aequidens tetramerus"
Equisetopsida,Fabales,Fabaceae,"Aeschynomene sensitiva var. amazonica"
Aves,Pelecaniformes,Ardeidae,"Agamia agami"
Actinopterygii,Siluriformes,Doradidae,"Agamyxis pectinifrons"
Actinopterygii,Siluriformes,Auchenipteridae,"Ageneiosus brevifilis"
Equisetopsida,Santalales,Opiliaceae,"Agonandra brasiliensis"
Actinopterygii,Characiformes,Characidae,"Agoniates anchovia"
Equisetopsida,Gentianales,Rubiaceae,"Agouticarpa curviflora"
