Clase,Orden,Familia,Especie
Mammalia,Primates,Atelidae,"Alouatta seniculus"
Equisetopsida,Laurales,Lauraceae,"Aniba rosaeodora"
Mammalia,Primates,Atelidae,"Ateles belzebuth"
Mammalia,Primates,Atelidae,"Ateles chamek"
Mammalia,Carnivora,Canidae,"Atelocynus microtis"
Equisetopsida,Sapindales,Meliaceae,"Cedrela odorata"
Equisetopsida,Rosales,Cannabaceae,"Celtis iguanaea"
Equisetopsida,Fabales,Fabaceae,"Copaifera paupera"
Aves,Galliformes,Cracidae,"Crax globulosa"
Equisetopsida,Asparagales,Orchidaceae,"Epistephium parviflorum"
Equisetopsida,Malpighiales,Calophyllaceae,"Haploclathra cordata"
Aves,Accipitriformes,Accipitridae,"Harpia harpyja"
Mammalia,Primates,Atelidae,"Lagothrix lagothricha"
Aves,Accipitriformes,Accipitridae,"Morphnus guianensis"
Mammalia,Pilosa,Myrmecophagidae,"Myrmecophaga tridactyla"
Aves,Passeriformes,Onychorhynchidae,"Onychorhynchus coronatus"
Equisetopsida,Gentianales,Apocynaceae,"Parahancornia peruviana"
Mammalia,Cingulata,Chlamyphoridae,"Priodontes maximus"
Mammalia,Carnivora,Mustelidae,"Pteronura brasiliensis"
Mammalia,Sirenia,Trichechidae,"Trichechus inunguis"
,,,
