Clase,Orden,Familia,Especie
Equisetopsida,Polypodiales,Thelypteridaceae,"Thelypteris consobrina"
Equisetopsida,Malpighiales,Malpighiaceae,"Stigmaphyllon argenteum"
Equisetopsida,Fabales,Fabaceae,"Zygia megistocarpa"
Equisetopsida,Arecales,Arecaceae,"Astrocaryum perangustatum"
Equisetopsida,Brassicales,Cleomaceae,"Cleome hispidula"
Equisetopsida,Poales,Bromeliaceae,"Aechmea ferruginea"
Equisetopsida,Gentianales,Rubiaceae,"Joosia dichotoma"
Equisetopsida,Alismatales,Araceae,"Anthurium latissimum"
Equisetopsida,Alismatales,Araceae,"Anthurium consimile"
Equisetopsida,Ericales,Ebenaceae,"Lissocarpa uyat"
Equisetopsida,Lamiales,Gesneriaceae,"Columnea xiphoidea"
Equisetopsida,Solanales,Solanaceae,"Solanum oblongum"
Equisetopsida,Malpighiales,Calophyllaceae,"Caraipa jaramilloi"
Equisetopsida,Asparagales,Orchidaceae,"Oncidium crescentilabium"
Equisetopsida,Laurales,Lauraceae,"Ocotea vasquezii"
Equisetopsida,Arecales,Arecaceae,"Geonoma brongniartii subsp. pascoensis"
Equisetopsida,Gentianales,Gentianaceae,"Macrocarpaea wallnoeferi"
Equisetopsida,Asparagales,Orchidaceae,"Octomeria scirpoidea"
Equisetopsida,Alismatales,Araceae,"Philodendron alatum"
Equisetopsida,Zingiberales,Zingiberaceae,"Renealmia purpurea"
Equisetopsida,Zingiberales,Costaceae,"Costus productus var. productus"
Equisetopsida,Alismatales,Araceae,"Philodendron juninense"
Equisetopsida,Magnoliales,Annonaceae,"Cremastosperma oblongum"
Equisetopsida,Magnoliales,Annonaceae,"Cremastosperma peruvianum"
Equisetopsida,Gentianales,Apocynaceae,"Allomarkgrafia tubiflora"
Mammalia,Didelphimorphia,Didelphidae,"Marmosa (Marmosa) macrotarsus"
Equisetopsida,Lamiales,Gesneriaceae,"Besleria capitata"
Equisetopsida,Myrtales,Melastomataceae,"Miconia aprica"
Aves,Apodiformes,Trochilidae,"Phlogophilus harterti"
Equisetopsida,Sapindales,Anacardiaceae,"Mauria denticulata"
Equisetopsida,Asparagales,Orchidaceae,"Huntleya vargasii"
Equisetopsida,Myrtales,Melastomataceae,"Miconia woytkowskii"
Aves,Apodiformes,Trochilidae,"Heliodoxa branickii"
Equisetopsida,Asterales,Asteraceae,"Mikania parviflora"
Equisetopsida,Myrtales,Melastomataceae,"Miconia reflexipila"
Mammalia,Rodentia,Sciuridae,"Hadrosciurus pyrrhinus"
Aves,Passeriformes,Pipridae,"Lepidothrix coeruleocapilla"
Equisetopsida,Lamiales,Acanthaceae,"Aphelandra latibracteata"
Mammalia,Primates,Cebidae,"Aotus miconax"
,,,
