Clase,Orden,Familia,Especie
Aves,Strigiformes,Strigidae,"Xenoglaux loweryi"
Aves,Passeriformes,Tyrannidae,"Zimmerius villarejoi"
Mammalia,Carnivora,Ursidae,"Tremarctos ornatus"
Aves,Psittaciformes,Psittacidae,"Touit stictopterus"
Aves,Passeriformes,Furnariidae,"Thripophaga berlepschi"
Equisetopsida,Sapindales,Meliaceae,"Cedrela odorata"
Mammalia,Primates,Atelidae,"Alouatta seniculus"
Equisetopsida,Rosales,Cannabaceae,"Celtis iguanaea"
Aves,Passeriformes,Grallariidae,"Grallaricula ochraceifrons"
Equisetopsida,Magnoliales,Magnoliaceae,"Magnolia bankardiorum"
Reptilia,Serpentes,Viperidae,"Bothrops barnetti"
Equisetopsida,Cyatheales,Cyatheaceae,"Cyathea delgadii"
Aves,Galliformes,Cracidae,"Aburria aburri"
Equisetopsida,Cyatheales,Cyatheaceae,"Cyathea caracasana"
Equisetopsida,Fabales,Fabaceae,"Otholobium munyense"
Mammalia,Carnivora,Mustelidae,"Pteronura brasiliensis"
Mammalia,Rodentia,Dinomyidae,"Dinomys branickii"
Mammalia,Primates,Pitheciidae,"Callicebus oenanthe"
Mammalia,Primates,Atelidae,"Ateles belzebuth"
Aves,Apodiformes,Trochilidae,"Heliangelus regalis"
Equisetopsida,Asparagales,Orchidaceae,"Masdevallia lucernula"
Aves,Passeriformes,Onychorhynchidae,"Onychorhynchus coronatus"
Equisetopsida,Sapindales,Meliaceae,"Ruagea glabra"
Mammalia,Primates,Pitheciidae,"Cacajao calvus"
Equisetopsida,Lamiales,Bignoniaceae,"Cybistax antisyphilitica"
Reptilia,Testudines,Podocnemididae,"Podocnemis unifilis"
Aves,Passeriformes,Furnariidae,"Anabacerthia striaticollis"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum tridens"
Mammalia,Cingulata,Chlamyphoridae,"Priodontes maximus"
Equisetopsida,Sapindales,Anacardiaceae,"Mauria heterophylla"
Mammalia,Primates,Atelidae,"Lagothrix flavicauda"
Mammalia,Primates,Atelidae,"Lagothrix lagothricha"
Equisetopsida,Podocarpales,Podocarpaceae,"Podocarpus oleifolius"
Aves,Accipitriformes,Accipitridae,"Morphnus guianensis"
Aves,Passeriformes,Parulidae,"Setophaga cerulea"
Aves,Apodiformes,Trochilidae,"Loddigesia mirabilis"
Equisetopsida,Escalloniales,Escalloniaceae,"Escallonia myrtilloides"
Aves,Piciformes,Picidae,"Picumnus steindachneri"
Equisetopsida,Myrtales,Myrtaceae,"Myrcia splendens"
Mammalia,Pilosa,Myrmecophagidae,"Myrmecophaga tridactyla"
Equisetopsida,Solanales,Solanaceae,"Deprea nieva"
Aves,Psittaciformes,Psittacidae,"Ara militaris"
Mammalia,Primates,Cebidae,"Aotus miconax"
Equisetopsida,Asparagales,Orchidaceae,"Phragmipedium kovachii"
Equisetopsida,Asparagales,Orchidaceae,"Phragmipedium caudatum"
Equisetopsida,Asparagales,Orchidaceae,"Maxillaria lepidota"
,,,
