Clase,Orden,Familia,Especie
Equisetopsida,Malpighiales,Malpighiaceae,"Stigmaphyllon argenteum"
Aves,Strigiformes,Strigidae,"Xenoglaux loweryi"
Aves,Passeriformes,Tyrannidae,"Zimmerius villarejoi"
Equisetopsida,Buxales,Buxaceae,"Styloceras penninervium"
Aves,Passeriformes,Furnariidae,"Thripophaga berlepschi"
Equisetopsida,Malpighiales,Clusiaceae,"Marila nitida"
Aves,Passeriformes,Thraupidae,"Ramphocelus melanogaster"
Equisetopsida,Gentianales,Gentianaceae,"Gentianella violacea"
Equisetopsida,Myrtales,Melastomataceae,"Blakea leoniae"
Aves,Passeriformes,Grallariidae,"Grallaria blakei"
Equisetopsida,Myrtales,Melastomataceae,"Blakea standleyana"
Aves,Passeriformes,Grallariidae,"Grallaria carrikeri"
Aves,Passeriformes,Grallariidae,"Grallaria przewalskii"
Aves,Passeriformes,Grallariidae,"Grallaricula ochraceifrons"
Equisetopsida,Ranunculales,Ranunculaceae,"Ranunculus gigas"
Equisetopsida,Asterales,Campanulaceae,"Centropogon featherstonei"
Aves,Passeriformes,Thraupidae,"Iridosornis reinhardti"
Equisetopsida,Asparagales,Orchidaceae,"Maxillaria scorpioidea"
Aves,Passeriformes,Rhinocryptidae,"Scytalopus femoralis"
Reptilia,Serpentes,Viperidae,"Bothrops barnetti"
Aves,Passeriformes,Rhinocryptidae,"Scytalopus intermedius"
Aves,Passeriformes,Rhinocryptidae,"Scytalopus krabbei"
Aves,Passeriformes,Rhinocryptidae,"Scytalopus macropus"
Equisetopsida,Asparagales,Orchidaceae,"Brassia filomenoi"
Equisetopsida,Asparagales,Orchidaceae,"Octomeria peruviana"
Mammalia,Cetartiodactyla,Cervidae,"Pudella carlae"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum clavadista"
Equisetopsida,Myrtales,Onagraceae,"Fuchsia sanmartina"
Mammalia,Primates,Pitheciidae,"Callicebus oenanthe"
Equisetopsida,Myrtales,Onagraceae,"Fuchsia rivularis"
Equisetopsida,Sapindales,Rutaceae,"Dictyoloma vandellianum"
Equisetopsida,Asparagales,Orchidaceae,"Masdevallia lucernula"
Equisetopsida,Dioscoreales,Burmanniaceae,"Burmannia stuebelii"
Equisetopsida,Gentianales,Rubiaceae,"Kutchubaea urophylla"
Equisetopsida,Asparagales,Orchidaceae,"Epistephium amabile"
Aves,Apodiformes,Trochilidae,"Phaethornis koepckeae"
Mammalia,Primates,Atelidae,"Lagothrix flavicauda"
Aves,Apodiformes,Trochilidae,"Loddigesia mirabilis"
Equisetopsida,Solanales,Solanaceae,"Exodeconus prostratus"
Equisetopsida,Lamiales,Gesneriaceae,"Pearcea purpurea"
Aves,Piciformes,Picidae,"Picumnus steindachneri"
Equisetopsida,Solanales,Solanaceae,"Deprea nieva"
Equisetopsida,Ericales,Primulaceae,"Clavija macrocarpa"
Aves,Passeriformes,Tyrannidae,"Leptopogon taczanowskii"
Equisetopsida,Fabales,Polygalaceae,"Monnina marginata"
Mammalia,Primates,Cebidae,"Aotus miconax"
Equisetopsida,Asparagales,Orchidaceae,"Phragmipedium kovachii"
,,,
