Clase,Orden,Familia,Especie
Aves,Passeriformes,Tyrannidae,"Phylloscartes poecilotis"
Aves,Passeriformes,Icteridae,"Psarocolius decumanus"
Aves,Passeriformes,Tyrannidae,"Pyrocephalus rubinus"
Aves,Passeriformes,Fringillidae,"Spinus psaltria"
Aves,Passeriformes,Tityridae,"Pachyramphus albogriseus"
Aves,Apodiformes,Trochilidae,"Adelomyia melanogenys"
Aves,Passeriformes,Tyrannidae,"Phylloscartes ophthalmicus"
Aves,Psittaciformes,Psittacidae,"Pionus tumultuosus"
Aves,Passeriformes,Passerellidae,"Atlapetes latinuchus"
Aves,Passeriformes,Tyrannidae,"Hemitriccus cinnamomeipectus"
Aves,Passeriformes,Tyrannidae,"Mecocerculus calopterus"
Equisetopsida,Bartramiales,Bartramiaceae,"Philonotis sphaericarpa"
Equisetopsida,Bartramiales,Bartramiaceae,"Philonotis rufiflora"
Aves,Passeriformes,Furnariidae,"Margarornis squamiger"
Aves,Passeriformes,Icteridae,"Cacicus cela"
Aves,Passeriformes,Hirundinidae,"Orochelidon flavipes"
Aves,Apodiformes,Trochilidae,"Campylopterus villaviscensio"
Equisetopsida,Bartramiales,Bartramiaceae,"Philonotis angulata"
Aves,Passeriformes,Tyrannidae,"Euscarthmus meloryphus"
Aves,Passeriformes,Tyrannidae,"Hemitriccus granadensis"
Aves,Passeriformes,Parulidae,"Basileuterus tristriatus"
Aves,Passeriformes,Thraupidae,"Chalcothraupis ruficervix"
Aves,Accipitriformes,Accipitridae,"Spizaetus isidori"
Aves,Apodiformes,Trochilidae,"Ocreatus underwoodii"
Aves,Passeriformes,Tyrannidae,"Colonia colonus"
Aves,Passeriformes,Tyrannidae,"Pyrrhomyias cinnamomeus"
Aves,Passeriformes,Furnariidae,"Cranioleuca curtata"
Equisetopsida,Asparagales,Orchidaceae,"Maxillaria deuteropastensis"
Aves,Passeriformes,Fringillidae,"Euphonia chlorotica"
Aves,Piciformes,Picidae,"Picumnus lafresnayi"
Aves,Passeriformes,Tyrannidae,"Empidonax alnorum"
Aves,Passeriformes,Tyrannidae,"Myiotriccus ornatus"
