Clase,Orden,Familia,Especie
Equisetopsida,Arecales,Arecaceae,"Euterpe catinga"
Equisetopsida,Malvales,Malvaceae,"Pachira brevipes"
Mammalia,Primates,Atelidae,"Alouatta seniculus"
Mammalia,Primates,Atelidae,"Lagothrix lagothricha"
Mammalia,Primates,Cebidae,"Callimico goeldii"
Equisetopsida,Rosales,Cannabaceae,"Celtis iguanaea"
Equisetopsida,Gentianales,Apocynaceae,"Parahancornia peruviana"
Mammalia,Carnivora,Mustelidae,"Pteronura brasiliensis"
Mammalia,Pilosa,Myrmecophagidae,"Myrmecophaga tridactyla"
Equisetopsida,Lamiales,Bignoniaceae,"Handroanthus serratifolius"
Equisetopsida,Asparagales,Orchidaceae,"Epistephium parviflorum"
Equisetopsida,Arecales,Arecaceae,"Mauritia carana"
Mammalia,Primates,Pitheciidae,"Cacajao calvus"
Aves,Accipitriformes,Accipitridae,"Morphnus guianensis"
Aves,Accipitriformes,Accipitridae,"Harpia harpyja"
Equisetopsida,Ericales,Sapotaceae,"Manilkara bidentata"
Mammalia,Cingulata,Chlamyphoridae,"Priodontes maximus"
Mammalia,Primates,Atelidae,"Ateles chamek"
Mammalia,Carnivora,Canidae,"Atelocynus microtis"
Mammalia,Rodentia,Dinomyidae,"Dinomys branickii"
Mammalia,Sirenia,Trichechidae,"Trichechus inunguis"
Equisetopsida,Asparagales,Orchidaceae,"Warczewiczella amazonica"
,,,
