Clase,Orden,Familia,Especie
Mammalia,Cingulata,Chlamyphoridae,"Priodontes maximus"
Mammalia,Primates,Cebidae,"Saguinus (Tamarinus) labiatus"
Mammalia,Carnivora,Mustelidae,"Pteronura brasiliensis"
Mammalia,Carnivora,Canidae,"Atelocynus microtis"
Mammalia,Primates,Atelidae,"Ateles chamek"
Mammalia,Primates,Atelidae,"Alouatta seniculus"
Reptilia,Testudines,Podocnemididae,"Podocnemis unifilis"
Reptilia,Testudines,Podocnemididae,"Podocnemis sextuberculata"
Reptilia,Testudines,Podocnemididae,"Podocnemis expansa"
Aves,Psittaciformes,Psittacidae,"Primolius couloni"
Mammalia,Rodentia,Cricetidae,"Neusticomys peruviensis"
Aves,Passeriformes,Onychorhynchidae,"Onychorhynchus coronatus"
Mammalia,Pilosa,Myrmecophagidae,"Myrmecophaga tridactyla"
Aves,Anseriformes,Anatidae,"Oressochen jubatus"
Mammalia,Primates,Atelidae,"Lagothrix lagothricha"
Mammalia,Primates,Cebidae,"Callimico goeldii"
Aves,Galliformes,Cracidae,"Pauxi koepckeae"
Mammalia,Rodentia,Dinomyidae,"Dinomys branickii"
Aves,Accipitriformes,Accipitridae,"Harpia harpyja"
Mammalia,Sirenia,Trichechidae,"Trichechus inunguis"
,,,
