Clase,Orden,Familia,Especie
Equisetopsida,Asparagales,Orchidaceae,"Vanilla ruiziana"
Mammalia,Rodentia,Cricetidae,"Thomasomys gracilis"
Equisetopsida,Polypodiales,Polypodiaceae,"Terpsichore bipinnata"
Equisetopsida,Ericales,Styracaceae,"Styrax nunezii"
Equisetopsida,Oxalidales,Cunoniaceae,"Weinmannia piurensis"
Mammalia,Rodentia,Cricetidae,"Thomasomys praetor"
Equisetopsida,Ericales,Symplocaceae,"Symplocos psiloclada"
Equisetopsida,Ericales,Styracaceae,"Styrax vilcabambae"
Equisetopsida,Ericales,Ericaceae,"Thibaudia dudleyi"
Equisetopsida,Ranunculales,Berberidaceae,"Berberis tomentosa"
Equisetopsida,Asparagales,Orchidaceae,"Stelis diffusa"
Equisetopsida,Ericales,Ericaceae,"Demosthenesia cordifolia"
Equisetopsida,Arecales,Arecaceae,"Euterpe luminosa"
Equisetopsida,Rosales,Rosaceae,"Polylepis canoi"
Equisetopsida,Asparagales,Orchidaceae,"Maxillaria dillonii"
Equisetopsida,Lamiales,Acanthaceae,"Aphelandra weberbaueri"
Mammalia,Rodentia,Abrocomidae,"Cuscomys ashaninka"
Aves,Passeriformes,Furnariidae,"Cranioleuca marcapatae"
Equisetopsida,Asparagales,Orchidaceae,"Cyrtochilum minax"
Equisetopsida,Gentianales,Rubiaceae,"Cinchona micrantha"
Equisetopsida,Ericales,Ericaceae,"Demosthenesia oppositifolia"
Equisetopsida,Malpighiales,Passifloraceae,"Passiflora pascoensis"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum bambusiforme"
Equisetopsida,Cyatheales,Cyatheaceae,"Cyathea serpens"
Mammalia,Rodentia,Abrocomidae,"Cuscomys oblativus"
Equisetopsida,Myrtales,Myrtaceae,"Myrcianthes oreophila"
Equisetopsida,Lamiales,Acanthaceae,"Stenostephanus brevistamineus"
Equisetopsida,Asparagales,Orchidaceae,"Otoglossum weberbaueranum"
Equisetopsida,Poales,Bromeliaceae,"Greigia raporum"
Equisetopsida,Poales,Bromeliaceae,"Greigia vilcabambae"
Equisetopsida,Arecales,Arecaceae,"Ceroxylon echinulatum"
Equisetopsida,Ericales,Ericaceae,"Demosthenesia vilcabambensis"
Equisetopsida,Poales,Poaceae,"Festuca rigidifolia"
Aves,Passeriformes,Furnariidae,"Asthenes vilcabambae"
Equisetopsida,Asterales,Asteraceae,"Dendrophorbium argutidentatum"
Equisetopsida,Myrtales,Onagraceae,"Fuchsia abrupta"
Equisetopsida,Liliales,Alstroemeriaceae,"Bomarea coccinea"
Equisetopsida,Ericales,Ericaceae,"Demosthenesia dudleyi"
Equisetopsida,Ericales,Primulaceae,"Ardisia nigrovirens"
Equisetopsida,Asparagales,Orchidaceae,"Maxillaria leforii"
Reptilia,Sauria,Gymnophthalmidae,"Proctoporus otishi"
Equisetopsida,Myrtales,Melastomataceae,"Miconia monzoniensis"
Equisetopsida,Polypodiales,Lomariopsidaceae,"Elaphoglossum propinquum"
Equisetopsida,Solanales,Solanaceae,"Solanum naucinum"
Equisetopsida,Alismatales,Araceae,"Anthurium magdae"
Equisetopsida,Gentianales,Rubiaceae,"Galium peruvianum"
Equisetopsida,Oxalidales,Oxalidaceae,"Oxalis semitruncata"
Mammalia,Rodentia,Cricetidae,"Akodon torques"
,,,
