Clase,Orden,Familia,Especie
Mammalia,Carnivora,Ursidae,"Tremarctos ornatus"
Aves,Passeriformes,Cotingidae,"Zaratornis stresemanni"
Equisetopsida,Buxales,Buxaceae,"Styloceras laurifolium"
Equisetopsida,Buxales,Buxaceae,"Styloceras columnare"
Aves,Passeriformes,Furnariidae,"Thripophaga berlepschi"
Aves,Cathartiformes,Cathartidae,"Vultur gryphus"
Mammalia,Rodentia,Cricetidae,"Thomasomys macrotis"
Mammalia,Rodentia,Cricetidae,"Thomasomys ischyrus"
Mammalia,Rodentia,Cricetidae,"Thomasomys incanus"
Mammalia,Rodentia,Cricetidae,"Thomasomys eleusis"
Mammalia,Rodentia,Cricetidae,"Thomasomys apeco"
Equisetopsida,Sapindales,Meliaceae,"Swietenia macrophylla"
Equisetopsida,Lamiales,Scrophulariaceae,"Buddleja incana"
Equisetopsida,Ranunculales,Ranunculaceae,"Laccopetalum giganteum"
Equisetopsida,Ephedrales,Ephedraceae,"Ephedra rupestris"
Aves,Apodiformes,Trochilidae,"Heliangelus regalis"
Aves,Passeriformes,Cotingidae,"Doliornis sclateri"
Mammalia,Pilosa,Myrmecophagidae,"Myrmecophaga tridactyla"
Equisetopsida,Asparagales,Orchidaceae,"Masdevallia amabilis"
Equisetopsida,Escalloniales,Escalloniaceae,"Escallonia myrtilloides"
Mammalia,Primates,Atelidae,"Alouatta seniculus"
Equisetopsida,Sapindales,Meliaceae,"Ruagea glabra"
Mammalia,Carnivora,Mustelidae,"Pteronura brasiliensis"
Mammalia,Primates,Atelidae,"Lagothrix lagothricha"
Aves,Passeriformes,Thraupidae,"Poospiza rufosuperciliaris"
Mammalia,Primates,Atelidae,"Ateles belzebuth"
Equisetopsida,Ericales,Primulaceae,"Lomatia hirsuta"
Equisetopsida,Sapindales,Meliaceae,"Cedrela odorata"
Mammalia,Cingulata,Chlamyphoridae,"Priodontes maximus"
Mammalia,Primates,Atelidae,"Lagothrix flavicauda"
Equisetopsida,Sapindales,Meliaceae,"Cedrela montana"
Aves,Passeriformes,Thraupidae,"Cnemathraupis aureodorsalis"
Aves,Piciformes,Ramphastidae,"Aulacorhynchus huallagae"
Equisetopsida,Podocarpales,Podocarpaceae,"Podocarpus oleifolius"
Mammalia,Primates,Cebidae,"Aotus miconax"
Aves,Galliformes,Cracidae,"Aburria aburri"
Aves,Psittaciformes,Psittacidae,"Leptosittaca branickii"
Mammalia,Carnivora,Canidae,"Atelocynus microtis"
Equisetopsida,Laurales,Lauraceae,"Ocotea aciphylla"
Equisetopsida,Rosales,Rosaceae,"Polylepis pepei"
Mammalia,Rodentia,Cricetidae,"Akodon orophilus"
Mammalia,Cingulata,Dasypodidae,"Dasypus pilosus"
Mammalia,Rodentia,Dinomyidae,"Dinomys branickii"
Aves,Accipitriformes,Accipitridae,"Harpia harpyja"
Aves,Anseriformes,Anatidae,"Netta erythrophthalma"
Equisetopsida,Gentianales,Gentianaceae,"Gentianella thyrsoidea"
Mammalia,Cetartiodactyla,Cervidae,"Hippocamelus antisensis"
Aves,Psittaciformes,Psittacidae,"Ara militaris"
,,,
