Clase,Orden,Familia,Especie
Equisetopsida,Ericales,Symplocaceae,"Symplocos patazensis"
Aves,Passeriformes,Cotingidae,"Zaratornis stresemanni"
Equisetopsida,Ericales,Symplocaceae,"Symplocos incahuasensis"
Equisetopsida,Ericales,Symplocaceae,"Symplocos scabra"
Equisetopsida,Ericales,Symplocaceae,"Symplocos andicola"
Equisetopsida,Santalales,Loranthaceae,"Tristerix pubescens"
Equisetopsida,Asparagales,Orchidaceae,"Telipogon jucusbambae"
Aves,Passeriformes,Furnariidae,"Thripophaga berlepschi"
Mammalia,Rodentia,Cricetidae,"Thomasomys macrotis"
Mammalia,Rodentia,Cricetidae,"Thomasomys ischyrus"
Mammalia,Rodentia,Cricetidae,"Thomasomys incanus"
Mammalia,Rodentia,Cricetidae,"Thomasomys eleusis"
Mammalia,Rodentia,Cricetidae,"Thomasomys apeco"
Equisetopsida,Malvales,Malvaceae,"Tetrasida weberbaueri"
Equisetopsida,Polypodiales,Thelypteridaceae,"Thelypteris furva"
Aves,Apodiformes,Trochilidae,"Thaumasius taczanowskii"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana weberbaueri"
Equisetopsida,Saxifragales,Grossulariaceae,"Ribes incertum"
Equisetopsida,Saxifragales,Grossulariaceae,"Ribes viscosum"
Equisetopsida,Gentianales,Rubiaceae,"Cinchona micrantha"
Equisetopsida,Ranunculales,Ranunculaceae,"Laccopetalum giganteum"
Equisetopsida,Ranunculales,Ranunculaceae,"Ranunculus gigas"
Equisetopsida,Rosales,Urticaceae,"Cecropia albicans"
Aves,Passeriformes,Thraupidae,"Incaspiza personata"
Aves,Passeriformes,Cotingidae,"Doliornis sclateri"
Equisetopsida,Rosales,Urticaceae,"Pilea pulegifolia"
Equisetopsida,Malpighiales,Passifloraceae,"Passiflora parvifolia"
Equisetopsida,Polypodiales,Pteridaceae,"Eriosorus accrescens"
Equisetopsida,Asparagales,Orchidaceae,"Masdevallia amabilis"
Equisetopsida,Poales,Poaceae,"Festuca tarmensis"
