Clase,Orden,Familia,Especie,endemica,amenazada
Aves,Passeriformes,Tyrannidae,Tyrannus melancholicus,FALSE,FALSE
Equisetopsida,Boraginales,Boraginaceae,Tiquilia ferreyrae,TRUE,TRUE
Aves,Strigiformes,Tytonidae,Tyto alba,FALSE,FALSE
Aves,Charadriiformes,Laridae,Sternula lorata,FALSE,TRUE
Equisetopsida,Poales,Bromeliaceae,Tillandsia latifolia var. Major,TRUE,FALSE
Equisetopsida,Asterales,Asteraceae,Tessaria integrifolia,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Tringa flavipes,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Tillandsia recurvata,FALSE,FALSE
Aves,Charadriiformes,Laridae,Thalasseus elegans,FALSE,FALSE
Mammalia,Didelphimorphia,Didelphidae,Thylamys (Thylamys) pallidior,FALSE,FALSE
Aves,Cathartiformes,Cathartidae,Vultur gryphus,FALSE,TRUE
Equisetopsida,Fabales,Fabaceae,Weberbauerella brongniartioides,TRUE,TRUE
Equisetopsida,Fabales,Fabaceae,Vachellia macracantha,FALSE,FALSE
Aves,Suliformes,Sulidae,Sula variegata,FALSE,TRUE
Aves,Passeriformes,Thraupidae,Xenospingus concolor,FALSE,TRUE
Aves,Pelecaniformes,Threskiornithidae,Theristicus melanopis,FALSE,TRUE
Equisetopsida,Malvales,Malvaceae,Waltheria ovata,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Tillandsia landbeckii subsp. andina,TRUE,FALSE
Aves,Passeriformes,Passerellidae,Zonotrichia capensis,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Weberbauerella raimondiana,TRUE,TRUE
Aves,Suliformes,Sulidae,Sula nebouxii,FALSE,FALSE
Mammalia,Cetartiodactyla,Delphinidae,Tursiops truncatus,FALSE,FALSE
Aves,Charadriiformes,Laridae,Thalasseus maximus,FALSE,FALSE
Aves,Passeriformes,Troglodytidae,Troglodytes aedon,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Thaumastura cora,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Stipa pachypus,FALSE,FALSE
Aves,Columbiformes,Columbidae,Zenaida meloda,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Vigna luteola,FALSE,FALSE
Aves,Passeriformes,Turdidae,Turdus chiguanco,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Tillandsia marconae,TRUE,FALSE
Equisetopsida,Gentianales,Apocynaceae,Vallesia glabra,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Volatinia jacarina,FALSE,FALSE
Equisetopsida,Caryophyllales,Amaranthaceae,Suaeda foliosa,FALSE,FALSE
Equisetopsida,Caryophyllales,Aizoaceae,Tetragonia vestita,FALSE,FALSE
Aves,Columbiformes,Columbidae,Zenaida auriculata,FALSE,FALSE
Aves,Apodiformes,Apodidae,Streptoprocne zonaris,FALSE,FALSE
Mammalia,Cetartiodactyla,Ziphiidae,Ziphius cavirostris,FALSE,FALSE
Aves,Caprimulgiformes,Caprimulgidae,Systellura longirostris,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Villanova oppositifolia,FALSE,FALSE
Actinopterygii,Carangiformes,Carangidae,Trachurus murphyi,FALSE,FALSE
Aves,Charadriiformes,Charadriidae,Vanellus resplendens,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Tillandsia purpurea,FALSE,FALSE
Equisetopsida,Caryophyllales,Tamaricaceae,Tamarix aphylla,FALSE,FALSE
Aves,Sphenisciformes,Spheniscidae,Spheniscus humboldti,FALSE,TRUE
Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera musculus,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Senecio calcicola,FALSE,TRUE
Actinopterygii,'-,Clupeidae,Ethmidium maculatum,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Actitis macularius,FALSE,FALSE
Actinopterygii,Mugiliformes,Mugilidae,Mugil cephalus,FALSE,FALSE
Aves,Psittaciformes,Psittacidae,Psilopsiagon aurifrons,FALSE,FALSE
Equisetopsida,Lamiales,Plantaginaceae,Plantago major,FALSE,FALSE
Aves,Cathartiformes,Cathartidae,Coragyps atratus,FALSE,FALSE
Equisetopsida,Caryophyllales,Amaranthaceae,Atriplex rotundifolia,FALSE,FALSE
Aves,Pelecaniformes,Ardeidae,Nycticorax nycticorax,FALSE,FALSE
Aves,Gruiformes,Rallidae,Pardirallus sanguinolentus,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Geositta cunicularia,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Calidris alba,FALSE,FALSE
Aves,Charadriiformes,Laridae,Sterna paradisaea,FALSE,FALSE
Actinopterygii,Blenniiformes,Blenniidae,Parahypsos piersoni,FALSE,FALSE
Actinopterygii,Perciformes,Sciaenidae,Cynoscion analis,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Sporophila simplex,FALSE,FALSE
Actinopterygii,Perciformes,Sciaenidae,Paralonchurus peruanus,FALSE,FALSE
Actinopterygii,Perciformes,Serranidae,Acanthistius pictus,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Poissonia weberbaueri,FALSE,FALSE
Equisetopsida,Boraginales,Heliotropiaceae,Heliotropium krauseanum,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Cristaria multifida,TRUE,FALSE
Equisetopsida,Myrtales,Onagraceae,Oenothera arequipensis,FALSE,FALSE
Aves,Passeriformes,Hirundinidae,Petrochelidon rufocollaris,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Amazilia amazilia,FALSE,FALSE
Mammalia,Cetartiodactyla,Delphinidae,Orcinus orca,FALSE,FALSE
Actinopterygii,Perciformes,Serranidae,Hemilutjanus macrophthalmos,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Dalea leporina,FALSE,FALSE
Actinopterygii,Carangiformes,Carangidae,Selene peruviana,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Dalea cylindrica,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Geositta peruviana,TRUE,FALSE
