Clase,Orden,Familia,Especie
Aves,Passeriformes,Tyrannidae,"Tyrannus melancholicus"
Equisetopsida,Boraginales,Boraginaceae,"Tiquilia ferreyrae"
Aves,Strigiformes,Tytonidae,"Tyto alba"
Aves,Charadriiformes,Laridae,"Sternula lorata"
Equisetopsida,Poales,Bromeliaceae,"Tillandsia latifolia var. Major"
Equisetopsida,Asterales,Asteraceae,"Tessaria integrifolia"
Aves,Charadriiformes,Scolopacidae,"Tringa flavipes"
Equisetopsida,Poales,Bromeliaceae,"Tillandsia recurvata"
Aves,Charadriiformes,Laridae,"Thalasseus elegans"
Mammalia,Didelphimorphia,Didelphidae,"Thylamys (Thylamys) pallidior"
Aves,Cathartiformes,Cathartidae,"Vultur gryphus"
Equisetopsida,Fabales,Fabaceae,"Weberbauerella brongniartioides"
Equisetopsida,Fabales,Fabaceae,"Vachellia macracantha"
Aves,Suliformes,Sulidae,"Sula variegata"
Aves,Passeriformes,Thraupidae,"Xenospingus concolor"
Aves,Pelecaniformes,Threskiornithidae,"Theristicus melanopis"
Equisetopsida,Malvales,Malvaceae,"Waltheria ovata"
Equisetopsida,Poales,Bromeliaceae,"Tillandsia landbeckii subsp. andina"
Aves,Passeriformes,Passerellidae,"Zonotrichia capensis"
Equisetopsida,Fabales,Fabaceae,"Weberbauerella raimondiana"
Aves,Suliformes,Sulidae,"Sula nebouxii"
Mammalia,Cetartiodactyla,Delphinidae,"Tursiops truncatus"
Aves,Charadriiformes,Laridae,"Thalasseus maximus"
Aves,Passeriformes,Troglodytidae,"Troglodytes aedon"
Aves,Apodiformes,Trochilidae,"Thaumastura cora"
Equisetopsida,Poales,Poaceae,"Stipa pachypus"
Aves,Columbiformes,Columbidae,"Zenaida meloda"
Equisetopsida,Fabales,Fabaceae,"Vigna luteola"
Aves,Passeriformes,Turdidae,"Turdus chiguanco"
Equisetopsida,Poales,Bromeliaceae,"Tillandsia marconae"
Equisetopsida,Gentianales,Apocynaceae,"Vallesia glabra"
Aves,Passeriformes,Thraupidae,"Volatinia jacarina"
Equisetopsida,Caryophyllales,Amaranthaceae,"Suaeda foliosa"
Equisetopsida,Caryophyllales,Aizoaceae,"Tetragonia vestita"
Aves,Columbiformes,Columbidae,"Zenaida auriculata"
Aves,Apodiformes,Apodidae,"Streptoprocne zonaris"
Mammalia,Cetartiodactyla,Ziphiidae,"Ziphius cavirostris"
Aves,Caprimulgiformes,Caprimulgidae,"Systellura longirostris"
Equisetopsida,Asterales,Asteraceae,"Villanova oppositifolia"
Actinopterygii,Carangiformes,Carangidae,"Trachurus murphyi"
Aves,Charadriiformes,Charadriidae,"Vanellus resplendens"
Equisetopsida,Poales,Bromeliaceae,"Tillandsia purpurea"
Equisetopsida,Caryophyllales,Tamaricaceae,"Tamarix aphylla"
Aves,Sphenisciformes,Spheniscidae,"Spheniscus humboldti"
Mammalia,Cetartiodactyla,Balaenopteridae,"Balaenoptera musculus"
Equisetopsida,Asterales,Asteraceae,"Senecio calcicola"
Actinopterygii,'-,Clupeidae,"Ethmidium maculatum"
Aves,Charadriiformes,Scolopacidae,"Actitis macularius"
Actinopterygii,Mugiliformes,Mugilidae,"Mugil cephalus"
Aves,Psittaciformes,Psittacidae,"Psilopsiagon aurifrons"
Equisetopsida,Lamiales,Plantaginaceae,"Plantago major"
Aves,Cathartiformes,Cathartidae,"Coragyps atratus"
Equisetopsida,Caryophyllales,Amaranthaceae,"Atriplex rotundifolia"
Aves,Pelecaniformes,Ardeidae,"Nycticorax nycticorax"
Aves,Gruiformes,Rallidae,"Pardirallus sanguinolentus"
Aves,Passeriformes,Furnariidae,"Geositta cunicularia"
Aves,Charadriiformes,Scolopacidae,"Calidris alba"
Aves,Charadriiformes,Laridae,"Sterna paradisaea"
Actinopterygii,Blenniiformes,Blenniidae,"Parahypsos piersoni"
Actinopterygii,Perciformes,Sciaenidae,"Cynoscion analis"
Aves,Passeriformes,Thraupidae,"Sporophila simplex"
Actinopterygii,Perciformes,Sciaenidae,"Paralonchurus peruanus"
Actinopterygii,Perciformes,Serranidae,"Acanthistius pictus"
Equisetopsida,Fabales,Fabaceae,"Poissonia weberbaueri"
Equisetopsida,Boraginales,Heliotropiaceae,"Heliotropium krauseanum"
Equisetopsida,Malvales,Malvaceae,"Cristaria multifida"
Equisetopsida,Myrtales,Onagraceae,"Oenothera arequipensis"
Aves,Passeriformes,Hirundinidae,"Petrochelidon rufocollaris"
Aves,Apodiformes,Trochilidae,"Amazilia amazilia"
Mammalia,Cetartiodactyla,Delphinidae,"Orcinus orca"
Actinopterygii,Perciformes,Serranidae,"Hemilutjanus macrophthalmos"
Equisetopsida,Fabales,Fabaceae,"Dalea leporina"
Actinopterygii,Carangiformes,Carangidae,"Selene peruviana"
Equisetopsida,Fabales,Fabaceae,"Dalea cylindrica"
Aves,Passeriformes,Furnariidae,"Geositta peruviana"
Equisetopsida,Caryophyllales,Cactaceae,"Eriosyce islayensis"
Actinopterygii,Perciformes,Sciaenidae,"Menticirrhus ophicephalus"
Equisetopsida,Asterales,Asteraceae,"Baccharis salicifolia"
Equisetopsida,Poales,Poaceae,"Sporobolus virginicus"
Aves,Passeriformes,Passeridae,"Passer domesticus"
Actinopterygii,Perciformes,Sciaenidae,"Stellifer minor"
Equisetopsida,Caryophyllales,Nyctaginaceae,"Boerhavia coccinea"
Equisetopsida,Poales,Poaceae,"Eragrostis weberbaueri"
Mammalia,Carnivora,Mustelidae,"Lontra felina"
Aves,Apodiformes,Apodidae,"Aeronautes andecolus"
Equisetopsida,Asterales,Asteraceae,"Onoseris humboldtiana"
Equisetopsida,Asterales,Asteraceae,"Sonchus oleraceus"
Aves,Columbiformes,Columbidae,"Columbina minuta"
Aves,Suliformes,Phalacrocoracidae,"Phalacrocorax bougainvillii"
Equisetopsida,Zygophyllales,Krameriaceae,"Krameria lappacea"
Aves,Suliformes,Phalacrocoracidae,"Phalacrocorax brasilianus"
Mammalia,Chiroptera,Vespertilionidae,"Eptesicus (Histiotus) montanus"
Mammalia,Rodentia,Cricetidae,"Aegialomys xanthaeolus"
Equisetopsida,Caryophyllales,Cactaceae,"Haageocereus decumbens"
Aves,Suliformes,Phalacrocoracidae,"Phalacrocorax gaimardi"
Aves,Cuculiformes,Cuculidae,"Crotophaga sulcirostris"
Aves,Columbiformes,Columbidae,"Columbina cruziana"
Aves,Charadriiformes,Scolopacidae,"Phalaropus tricolor"
Equisetopsida,Fabales,Fabaceae,"Parkinsonia aculeata"
Equisetopsida,Boraginales,Boraginaceae,"Cryptantha parviflora"
Actinopterygii,Scombriformes,Scombridae,"Sarda chiliensis"
Actinopterygii,Clupeiformes,Clupeidae,"Sardinops sagax"
Equisetopsida,Brassicales,Brassicaceae,"Dictyophragmus englerianus"
Actinopterygii,'-,Sparidae,"Calamus brachysomus"
Equisetopsida,Lamiales,Plantaginaceae,"Bacopa monnieri"
Actinopterygii,Centrarchiformes,Aplodactylidae,"Aplodactylus punctatus"
Aves,Charadriiformes,Laridae,"Larus dominicanus"
Equisetopsida,Asterales,Asteraceae,"Ambrosia dentata"
Actinopterygii,Blenniiformes,Labrisomidae,"Auchenionchus microcirrhis"
Aves,Pelecaniformes,Ardeidae,"Bubulcus ibis"
Equisetopsida,Lamiales,Plantaginaceae,"Plantago limensis"
Equisetopsida,Solanales,Solanaceae,"Nolana tovariana"
Equisetopsida,Solanales,Solanaceae,"Nolana thinophila"
Equisetopsida,Solanales,Solanaceae,"Nolana spathulata"
Aves,Falconiformes,Falconidae,"Falco femoralis"
Equisetopsida,Solanales,Solanaceae,"Nolana plicata"
Equisetopsida,Solanales,Solanaceae,"Nolana pallida"
Mammalia,Carnivora,Felidae,"Leopardus garleppi"
Mammalia,Carnivora,Otariidae,"Arctocephalus australis"
Equisetopsida,Solanales,Solanaceae,"Solanum montanum"
Aves,Accipitriformes,Accipitridae,"Geranoaetus polyosoma"
Aves,Passeriformes,Thraupidae,"Sporophila telasco"
Aves,Pelecaniformes,Ardeidae,"Ardea alba"
Aves,Passeriformes,Tyrannidae,"Anairetes reguloides"
Equisetopsida,Malpighiales,Salicaceae,"Salix humboldtiana"
Aves,Columbiformes,Columbidae,"Columba livia"
Aves,Passeriformes,Tyrannidae,"Muscigralla brevicauda"
Equisetopsida,Ephedrales,Ephedraceae,"Ephedra americana"
Equisetopsida,Poales,Poaceae,"Distichlis spicata"
Equisetopsida,Apiales,Apiaceae,"Cyclospermum leptophyllum"
Aves,Charadriiformes,Scolopacidae,"Arenaria interpres"
Aves,Charadriiformes,Laridae,"Larus belcheri"
Aves,Gruiformes,Rallidae,"Gallinula galeata"
Equisetopsida,Lamiales,Bignoniaceae,"Argylia radiata"
Actinopterygii,Clupeiformes,Engraulidae,"Engraulis ringens"
Actinopterygii,'-,Haemulidae,"Isacia conceptionis"
Equisetopsida,Solanales,Solanaceae,"Solanum edmondstonii"
Aves,Charadriiformes,Charadriidae,"Pluvialis dominica"
Equisetopsida,Fabales,Fabaceae,"Adesmia muricata"
Aves,Passeriformes,Motacillidae,"Anthus chii"
Aves,Passeriformes,Thraupidae,"Sicalis raimondii"
Equisetopsida,Caryophyllales,Cactaceae,"Cumulopuntia sphaerica"
Aves,Passeriformes,Thraupidae,"Conirostrum cinereum"
Aves,Falconiformes,Falconidae,"Falco sparverius"
Aves,Passeriformes,Thraupidae,"Sicalis olivascens"
Equisetopsida,Solanales,Solanaceae,"Solanum multifidum"
Aves,Passeriformes,Thraupidae,"Sicalis luteola"
Equisetopsida,Rosales,Rhamnaceae,"Scutia spicata"
Aves,Falconiformes,Falconidae,"Falco peregrinus"
Equisetopsida,Caryophyllales,Cactaceae,"Cylindropuntia tunicata"
Equisetopsida,Asterales,Asteraceae,"Pluchea chingoyo"
Actinopterygii,Blenniiformes,Blenniidae,"Hypsoblennius sordidus"
Aves,Charadriiformes,Laridae,"Larosterna inca"
Equisetopsida,Poales,Cyperaceae,"Eleocharis geniculata"
Equisetopsida,Solanales,Solanaceae,"Solanum murphyi"
Aves,Passeriformes,Thraupidae,"Sporophila peruviana"
Actinopterygii,Perciformes,Serranidae,"Paralabrax humeralis"
Aves,Passeriformes,Thraupidae,"Catamenia analis"
Equisetopsida,Caryophyllales,Aizoaceae,"Sesuvium portulacastrum"
Elasmobranchii,Squatiniformes,Squatinidae,"Squatina armata"
Aves,Passeriformes,Tyrannidae,"Ochthoeca leucophrys"
Equisetopsida,Asparagales,Asparagaceae,"Oziroe biflora"
Aves,Strigiformes,Strigidae,"Glaucidium peruanum"
Actinopterygii,Scombriformes,Scombridae,"Scomber japonicus"
Aves,Passeriformes,Tyrannidae,"Anairetes flavirostris"
Actinopterygii,'-,Haemulidae,"Anisotremus scapularis"
Equisetopsida,Poales,Poaceae,"Arundo donax"
Aves,Accipitriformes,Accipitridae,"Parabuteo unicinctus"
Actinopterygii,Centrarchiformes,Kyphosidae,"Graus nigra"
Aves,Passeriformes,Thraupidae,"Asemospiza obscura"
Equisetopsida,Poales,Cyperaceae,"Schoenoplectus americanus"
Actinopterygii,Perciformes,Serranidae,"Diplectrum conceptione"
Mammalia,Cetartiodactyla,Phocoenidae,"Phocoena spinipinnis"
Aves,Passeriformes,Tyrannidae,"Elaenia albiceps"
Equisetopsida,Malvales,Malvaceae,"Palaua trisepala"
Aves,Strigiformes,Strigidae,"Bubo virginianus"
Aves,Passeriformes,Tyrannidae,"Muscisaxicola maclovianus"
Equisetopsida,Poales,Poaceae,"Diplachne fusca subsp. Uninervia"
Mammalia,Cetartiodactyla,Balaenopteridae,"Megaptera novaeangliae"
Equisetopsida,Fabales,Fabaceae,"Melilotus albus"
Actinopterygii,Scombriformes,Centrolophidae,"Seriolella violacea"
Actinopterygii,Carangiformes,Carangidae,"Seriola peruana"
Aves,Apodiformes,Trochilidae,"Rhodopis vesper"
Equisetopsida,Arecales,Arecaceae,"Phoenix canariensis"
Equisetopsida,Malvales,Malvaceae,"Palaua tomentosa"
Equisetopsida,Malvales,Malvaceae,"Palaua sandemanii"
Aves,Procellariiformes,Procellariidae,"Procellaria aequinoctialis"
Aves,Charadriiformes,Scolopacidae,"Numenius phaeopus"
Aves,Pelecaniformes,Ardeidae,"Egretta thula"
Aves,Pelecaniformes,Ardeidae,"Egretta caerulea"
Aves,Pelecaniformes,Pelecanidae,"Pelecanus thagus"
Equisetopsida,Poales,Poaceae,"Phragmites australis"
Aves,Passeriformes,Tyrannidae,"Pyrocephalus rubinus"
Aves,Passeriformes,Thraupidae,"Rhopospina alaudina"
Actinopterygii,Blenniiformes,Blenniidae,"Scartichthys gigas"
Actinopterygii,Perciformes,Pinguipedidae,"Prolatilus jugularis"
Aves,Passeriformes,Mimidae,"Mimus longicaudatus"
Mammalia,Cetartiodactyla,Ziphiidae,"Mesoplodon peruvianus"
Equisetopsida,Malvales,Malvaceae,"Palaua moschata"
Mammalia,Cetartiodactyla,Delphinidae,"Lagenorhynchus obscurus"
Aves,Apodiformes,Trochilidae,"Myrtis fanny"
Equisetopsida,Poales,Poaceae,"Cenchrus echinatus"
Equisetopsida,Caryophyllales,Portulacaceae,"Portulaca pilosissima"
Aves,Charadriiformes,Haematopodidae,"Haematopus palliatus"
Equisetopsida,Fabales,Fabaceae,"Hoffmannseggia prostrata"
Equisetopsida,Lamiales,Verbenaceae,"Phyla nodiflora"
Aves,Passeriformes,Icteridae,"Leistes bellicosus"
Aves,Passeriformes,Thraupidae,"Saltator striatipectus"
Aves,Procellariiformes,Hydrobatidae,"Hydrobates hornbyi"
Aves,Passeriformes,Hirundinidae,"Pygochelidon cyanoleuca"
Equisetopsida,Caryophyllales,Amaranthaceae,"Dysphania ambrosioides"
Aves,Charadriiformes,Burhinidae,"Burhinus superciliaris"
Aves,Charadriiformes,Rhynchopidae,"Rynchops niger"
Elasmobranchii,Carcharhiniformes,Scyliorhinidae,"Cephaloscyllium ventriosum"
Aves,Passeriformes,Tyrannidae,"Muscisaxicola rufivertex"
Aves,Procellariiformes,Procellariidae,"Pelecanoides garnotii"
Mammalia,Carnivora,Otariidae,"Otaria flavescens"
Mammalia,Carnivora,Mephitidae,"Conepatus chinga"
Equisetopsida,Malvales,Malvaceae,"Palaua dissecta"
Actinopterygii,Ophidiiformes,Ophidiidae,"Genypterus maculatus"
Equisetopsida,Poales,Poaceae,"Cynodon dactylon"
Equisetopsida,Caryophyllales,Montiaceae,"Cistanthe paniculata"
Aves,Passeriformes,Furnariidae,"Leptasthenura striata"
Equisetopsida,Fabales,Fabaceae,"Melilotus indicus"
Aves,Passeriformes,Icteridae,"Molothrus bonariensis"
Aves,Passeriformes,Hirundinidae,"Orochelidon murina"
Mammalia,Carnivora,Felidae,"Puma concolor"
Equisetopsida,Rosales,Urticaceae,"Parietaria debilis"
Aves,Charadriiformes,Laridae,"Sterna hirundo"
Equisetopsida,Apiales,Apiaceae,"Conium maculatum"
Aves,Piciformes,Picidae,"Colaptes atricollis"
Aves,Accipitriformes,Accipitridae,"Circus cinereus"
Aves,Passeriformes,Thraupidae,"Poospiza hispaniolensis"
Aves,Charadriiformes,Scolopacidae,"Calidris pusilla"
Mammalia,Carnivora,Canidae,"Lycalopex (Pseudalopex) culpaeus"
Aves,Accipitriformes,Pandionidae,"Pandion haliaetus"
Mammalia,Cetartiodactyla,Camelidae,"Lama guanicoe"
Aves,Charadriiformes,Scolopacidae,"Calidris minutilla"
Aves,Passeriformes,Furnariidae,"Cinclodes taczanowskii"
Equisetopsida,Cornales,Loasaceae,"Nasa urens"
Aves,Charadriiformes,Laridae,"Sterna hirundinacea"
Aves,Charadriiformes,Scolopacidae,"Calidris melanotos"
Aves,Passeriformes,Fringillidae,"Spinus magellanicus"
Actinopterygii,Perciformes,Sciaenidae,"Cilus gilberti"
Equisetopsida,Solanales,Solanaceae,"Leptoglossis lomana"
Aves,Charadriiformes,Charadriidae,"Charadrius semipalmatus"
Aves,Charadriiformes,Charadriidae,"Charadrius vociferus"
Equisetopsida,Malvales,Malvaceae,"Fuertesimalva peruviana"
Equisetopsida,Fabales,Fabaceae,"Neltuma pallida"
Elasmobranchii,Rhinopristiformes,Rhinobatidae,"Pseudobatos planiceps"
Equisetopsida,Fabales,Fabaceae,"Mimosa albida"
Aves,Cathartiformes,Cathartidae,"Cathartes aura"
Actinopterygii,Centrarchiformes,Cheilodactylidae,"Cheilodactylus variegatus"
Aves,Passeriformes,Tyrannidae,"Myiophobus fasciatus"
