Clase,Orden,Familia,Especie
Amphibia,Anura,Centrolenidae,"Cochranella euhystrix"
Equisetopsida,Rosales,Rosaceae,"Rubus sparsiflorus"
Equisetopsida,Polypodiales,Polypodiaceae,"Microgramma fosteri"
Equisetopsida,Asterales,Asteraceae,"Gynoxys cutervensis"
Equisetopsida,Asterales,Asteraceae,"Gynoxys congestiflora"
Equisetopsida,Piperales,Piperaceae,"Piper evingeri"
Equisetopsida,Asterales,Asteraceae,"Aequatorium cajamarcense"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria discotheca"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria divaricata"
Equisetopsida,Myrtales,Melastomataceae,"Brachyotum cutervoanum"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria luteocalyx"
Equisetopsida,Asterales,Asteraceae,"Mikania bulbisetifera"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria trilobata"
Equisetopsida,Myrtales,Melastomataceae,"Miconia adinantha"
Equisetopsida,Dioscoreales,Burmanniaceae,"Burmannia stuebelii"
Equisetopsida,Dioscoreales,Dioscoreaceae,"Dioscorea andromedusae"
Equisetopsida,Lamiales,Lamiaceae,"Scutellaria gardoquioides"
Equisetopsida,Solanales,Solanaceae,"Deprea parviflora"
Equisetopsida,Alismatales,Araceae,"Anthurium hamiltonii"
Equisetopsida,Myrtales,Melastomataceae,"Axinaea nitida"
Equisetopsida,Alismatales,Araceae,"Anthurium gracilipedunculatum"
Equisetopsida,Asterales,Asteraceae,"Nordenstamia cajamarcensis"
Equisetopsida,Asparagales,Iridaceae,"Ennealophus foliosus"
Equisetopsida,Gentianales,Rubiaceae,"Cinchona calisaya"
Equisetopsida,Ericales,Actinidiaceae,"Saurauia loeseneriana"
Equisetopsida,Proteales,Sabiaceae,"Meliosma pumila"
Mammalia,Eulipotyphla,Soricidae,"Cryptotis peruviensis"
Equisetopsida,Poales,Poaceae,"Chusquea aspera"
Equisetopsida,Myrtales,Onagraceae,"Fuchsia rivularis"
Equisetopsida,Lamiales,Verbenaceae,"Dendrophthora dimorpha"
Equisetopsida,Fabales,Polygalaceae,"Monnina pseudosalicifolia"
Equisetopsida,Polypodiales,Dryopteridaceae,"Elaphoglossum rufum"
Equisetopsida,Ericales,Ericaceae,"Bejaria infundibula"
Equisetopsida,Aquifoliales,Aquifoliaceae,"Ilex crassifolia"
Equisetopsida,Asterales,Asteraceae,"Senecio callacallensis"
Equisetopsida,Cucurbitales,Begoniaceae,"Begonia monadelpha"
Equisetopsida,Gentianales,Gentianaceae,"Macrocarpaea jalca"
Equisetopsida,Myrtales,Melastomataceae,"Chaetogastra mariae"
Equisetopsida,Oxalidales,Brunelliaceae,"Brunellia dulcis"
Equisetopsida,Asparagales,Orchidaceae,"Masdevallia amabilis"
Equisetopsida,Fabales,Polygalaceae,"Monnina mathusiana"
Equisetopsida,Lamiales,Acanthaceae,"Odontonema peruvianum"
Equisetopsida,Asterales,Asteraceae,"Asplundianthus sagasteguii"
Equisetopsida,Asterales,Asteraceae,"Asplundianthus trachyphyllus"
Equisetopsida,Piperales,Piperaceae,"Piper trichostylum"
Reptilia,Sauria,Gymnophthalmidae,"Pholidobolus ulisesi"
Equisetopsida,Asterales,Asteraceae,"Pentacalia cutervonis"
Equisetopsida,Gentianales,Rubiaceae,"Rudgea tambillensis"
Equisetopsida,Solanales,Solanaceae,"Cestrum ovalifolium"
Mammalia,Rodentia,Cricetidae,"Thomasomys pyrrhonotus"
Mammalia,Rodentia,Cricetidae,"Thomasomys cinereus"
Equisetopsida,Asterales,Asteraceae,"Vernonia rimachii"
,,,
