Clase,Orden,Familia,Especie
Equisetopsida,Rosales,Rosaceae,"Prunus ruiziana"
Amphibia,Anura,Centrolenidae,"Cochranella euhystrix"
Equisetopsida,Cornales,Myrtaceae,"Myrcia fallax"
Equisetopsida,Asparagales,Orchidaceae,"Oncidium macranthum"
Aves,Galliformes,Cracidae,"Aburria aburri"
Equisetopsida,Rosales,Rosaceae,"Polylepis multijuga"
Equisetopsida,Cyatheales,Cyatheaceae,"Cyathea caracasana"
Equisetopsida,Rosales,Rosaceae,"Polylepis weberbaueri"
Equisetopsida,Gentianales,Rubiaceae,"Cinchona calisaya"
Mammalia,Eulipotyphla,Soricidae,"Cryptotis peruviensis"
Equisetopsida,Escalloniales,Escalloniaceae,"Escallonia myrtilloides"
Amphibia,Anura,Bufonidae,"Atelopus pachydermus"
Equisetopsida,Podocarpales,Podocarpaceae,"Podocarpus oleifolius"
Equisetopsida,Sapindales,Anacardiaceae,"Mauria heterophylla"
Equisetopsida,Asparagales,Orchidaceae,"Fernandezia subbiflora"
Equisetopsida,Cornales,Myrtaceae,"Myrcianthes discolor"
Aves,Passeriformes,Furnariidae,"Anabacerthia striaticollis"
Equisetopsida,Fabales,Fabaceae,"Otholobium mexicanum"
Equisetopsida,Asparagales,Orchidaceae,"Masdevallia amabilis"
Aves,Galliformes,Cracidae,"Penelope barbata"
Mammalia,Rodentia,Dinomyidae,"Dinomys branickii"
Equisetopsida,Lamiales,Acanthaceae,"Aphelandra wurdackii"
Equisetopsida,Lamiales,Acanthaceae,"Aphelandra formosa"
Mammalia,Pilosa,Myrmecophagidae,"Myrmecophaga tridactyla"
Mammalia,Carnivora,Ursidae,"Tremarctos ornatus"
Mammalia,Rodentia,Cricetidae,"Thomasomys pyrrhonotus"
Equisetopsida,Oxalidales,Cunoniaceae,"Weinmannia piurensis"
Mammalia,Perissodactyla,Tapiridae,"Tapirus pinchaque"
,,,
