Clase,Orden,Familia,Especie
Aves,Apodiformes,Trochilidae,"Thaumasius taczanowskii"
Equisetopsida,Malvales,Malvaceae,"Tarasa cerratei"
Equisetopsida,Asterales,Asteraceae,"Syncretocarpus sericeus"
Equisetopsida,Asterales,Asteraceae,"Syncretocarpus ancashino"
Equisetopsida,Santalales,Loranthaceae,"Tristerix peruvianus"
Equisetopsida,Asterales,Asteraceae,"Onoseris odorata"
Aves,Passeriformes,Furnariidae,"Cinclodes palliatus"
Equisetopsida,Saxifragales,Crassulaceae,"Sedum reniforme"
Equisetopsida,Asterales,Asteraceae,"Lomanthus yauyensis"
Equisetopsida,Asterales,Asteraceae,"Lomanthus truxillense"
Equisetopsida,Asterales,Asteraceae,"Lomanthus tovarii"
Equisetopsida,Solanales,Solanaceae,"Solanum arcanum"
Equisetopsida,Asterales,Asteraceae,"Lomanthus albaniae"
Equisetopsida,Solanales,Convolvulaceae,"Distimake grandiflorus"
Equisetopsida,Rosales,Moraceae,"Ficus rimacana"
Equisetopsida,Lamiales,Lamiaceae,"Clinopodium weberbaueri"
Equisetopsida,Lamiales,Lamiaceae,"Clinopodium speciosum"
Equisetopsida,Malvales,Malvaceae,"Abutilon pedunculare"
Equisetopsida,Lamiales,Lamiaceae,"Salvia pseudorosmarinus"
Equisetopsida,Caryophyllales,Cactaceae,"Neoraimondia arequipensis"
Equisetopsida,Lamiales,Lamiaceae,"Clinopodium clivorum"
Equisetopsida,Malpighiales,Passifloraceae,"Passiflora peduncularis"
Aves,Passeriformes,Tyrannidae,"Ochthoeca piurae"
Equisetopsida,Solanales,Solanaceae,"Jaltomata sanchez-vegae"
Equisetopsida,Asterales,Asteraceae,"Aetheolaena campanulata"
Equisetopsida,Boraginales,Boraginaceae,"Pectocarya lateriflora"
Equisetopsida,Lamiales,Lamiaceae,"Salvia grisea"
Equisetopsida,Malpighiales,Euphorbiaceae,"Jatropha macrantha"
Aves,Apodiformes,Trochilidae,"Metallura phoebe"
Equisetopsida,Asterales,Asteraceae,"Senecio emmae"
Equisetopsida,Asterales,Asteraceae,"Coreopsis senaria"
Equisetopsida,Asterales,Asteraceae,"Philoglossa peruviana"
Equisetopsida,Gentianales,Apocynaceae,"Jobinia tarmensis"
Equisetopsida,Solanales,Solanaceae,"Exodeconus prostratus"
Equisetopsida,Caryophyllales,Caryophyllaceae,"Drymaria divaricata"
Equisetopsida,Cornales,Loasaceae,"Nasa chenopodifolia"
Aves,Strigiformes,Strigidae,"Megascops koepckeae"
Aves,Apodiformes,Trochilidae,"Polyonymus caroli"
Equisetopsida,Fabales,Fabaceae,"Lupinus weberbaueri"
Equisetopsida,Lamiales,Verbenaceae,"Junellia clavata"
Equisetopsida,Cornales,Loasaceae,"Presliophytum heucheraefolium"
Equisetopsida,Boraginales,Boraginaceae,"Euploca ferreyrae"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria weberbaueriana"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria triloba"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria phaceliifolia"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria micans"
Aves,Passeriformes,Furnariidae,"Geocerthia serrana"
Equisetopsida,Apiales,Apiaceae,"Arracacia incisa"
Aves,Piciformes,Picidae,"Colaptes atricollis"
Equisetopsida,Asterales,Asteraceae,"Helogyne ferreyrae"
Equisetopsida,Solanales,Solanaceae,"Salpichroa dependens"
Equisetopsida,Asterales,Asteraceae,"Helogyne calocephala"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria glauca"
Equisetopsida,Asparagales,Amaryllidaceae,"Rauhia multiflora"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria concava"
Equisetopsida,Asterales,Asteraceae,"Baccharis spartea"
Equisetopsida,Fabales,Fabaceae,"Dalea cylindrica"
Aves,Passeriformes,Thraupidae,"Incaspiza pulchra"
Equisetopsida,Cornales,Loasaceae,"Caiophora grandiflora"
Aves,Passeriformes,Thraupidae,"Incaspiza personata"
Equisetopsida,Boraginales,Heliotropiaceae,"Heliotropium adenogynum"
Equisetopsida,Asterales,Asteraceae,"Ophryosporus pubescens"
Equisetopsida,Caryophyllales,Cactaceae,"Espostoa melanostele"
Equisetopsida,Malvales,Malvaceae,"Byttneria cordata"
Equisetopsida,Asterales,Asteraceae,"Ophryosporus galioides"
Equisetopsida,Solanales,Solanaceae,"Iochroma salpoanum"
Equisetopsida,Caryophyllales,Cactaceae,"Pygmaeocereus bieblii"
Equisetopsida,Asterales,Asteraceae,"Flourensia macrophylla"
Equisetopsida,Poales,Poaceae,"Festuca huamachucensis"
Equisetopsida,Lamiales,Lamiaceae,"Salvia perlucida"
Equisetopsida,Solanales,Solanaceae,"Leptoglossis schwenkioides"
Equisetopsida,Asterales,Asteraceae,"Pappobolus microphyllus"
Equisetopsida,Saxifragales,Grossulariaceae,"Ribes viscosum"
Equisetopsida,Caryophyllales,Cactaceae,"Matucana aureiflora"
Aves,Passeriformes,Furnariidae,"Leptasthenura pileata"
Equisetopsida,Asterales,Asteraceae,"Paracalia jungioides"
,,,
