Clase,Orden,Familia,Especie
Mammalia,Chiroptera,Phyllostomidae,"Vampyressa melissa"
Aves,Passeriformes,Furnariidae,"Synallaxis maranonica"
Mammalia,Rodentia,Cricetidae,"Thomasomys caudivarius"
Mammalia,Rodentia,Cricetidae,"Thomasomys kalinowskii"
Mammalia,Perissodactyla,Tapiridae,"Tapirus pinchaque"
Aves,Pelecaniformes,Threskiornithidae,"Theristicus melanopis"
Mammalia,Carnivora,Ursidae,"Tremarctos ornatus"
Aves,Cathartiformes,Cathartidae,"Vultur gryphus"
Aves,Passeriformes,Thraupidae,"Tephrospilus wetmorei"
Amphibia,Anura,Craugastoridae,"Lynchius parkeri"
Equisetopsida,Sapindales,Meliaceae,"Cedrela montana"
Equisetopsida,Sapindales,Meliaceae,"Cedrela odorata"
Equisetopsida,Asparagales,Orchidaceae,"Fernandezia subbiflora"
Mammalia,Primates,Atelidae,"Alouatta seniculus"
Amphibia,Anura,Centrolenidae,"Centrolene buckleyi"
Reptilia,Serpentes,Viperidae,"Bothrocophias andianus"
Equisetopsida,Asparagales,Orchidaceae,"Fernandezia ionanthera"
Equisetopsida,Fagales,Betulaceae,"Alnus acuminata"
Aves,Psittaciformes,Psittacidae,"Ara militaris"
Aves,Galliformes,Cracidae,"Aburria aburri"
Equisetopsida,Myrtales,Myrtaceae,"Myrcianthes discolor"
Mammalia,Rodentia,Dinomyidae,"Dinomys branickii"
Amphibia,Anura,Craugastoridae,"Pristimantis schultei"
Amphibia,Anura,Craugastoridae,"Pristimantis sternothylax"
Equisetopsida,Asparagales,Orchidaceae,"Cyrtochilum macranthum"
Equisetopsida,Sapindales,Anacardiaceae,"Mauria heterophylla"
Mammalia,Cetartiodactyla,Cervidae,"Pudu mephistophiles"
Aves,Passeriformes,Thraupidae,"Incaspiza watkinsi"
Equisetopsida,Cyatheales,Cyatheaceae,"Cyathea caracasana"
Reptilia,Sauria,Gymnophthalmidae,"Petracola ventrimaculatus"
Equisetopsida,Escalloniales,Escalloniaceae,"Escallonia micrantha"
Equisetopsida,Escalloniales,Escalloniaceae,"Escallonia pendula"
Mammalia,Cingulata,Chlamyphoridae,"Priodontes maximus"
Mammalia,Carnivora,Procyonidae,"Nasuella olivacea"
Aves,Psittaciformes,Psittacidae,"Hapalopsittaca pyrrhops"
Mammalia,Paucituberculata,Caenolestidae,"Caenolestes caniventer"
Equisetopsida,Laurales,Lauraceae,"Ocotea jelskii"
Aves,Psittaciformes,Psittacidae,"Leptosittaca branickii"
Mammalia,Eulipotyphla,Soricidae,"Cryptotis peruviensis"
Equisetopsida,Sapindales,Meliaceae,"Ruagea glabra"
Aves,Gruiformes,Rallidae,"Laterallus jamaicensis"
Aves,Galliformes,Cracidae,"Penelope barbata"
Equisetopsida,Myrtales,Myrtaceae,"Psidium rutidocarpum"
Equisetopsida,Podocarpales,Podocarpaceae,"Pectinopitys harmsiana"
Equisetopsida,Podocarpales,Podocarpaceae,"Podocarpus oleifolius"
Equisetopsida,Podocarpales,Podocarpaceae,"Podocarpus sprucei"
Mammalia,Cetartiodactyla,Cervidae,"Mazama rufina"
Equisetopsida,Sapindales,Meliaceae,"Cedrela angustifolia"
Aves,Passeriformes,Furnariidae,"Anabacerthia striaticollis"
,,,
