Clase,Orden,Familia,Especie
Equisetopsida,Cyatheales,Cyatheaceae,"Cyathea caracasana"
Equisetopsida,Podocarpales,Podocarpaceae,"Podocarpus oleifolius"
Aves,Psittaciformes,Psittacidae,"Primolius couloni"
Equisetopsida,Arecales,Arecaceae,"Euterpe catinga var. catinga"
Aves,Galliformes,Cracidae,"Pauxi koepckeae"
Equisetopsida,Sapindales,Meliaceae,"Cedrela odorata"
Equisetopsida,Asparagales,Orchidaceae,"Catasetum stevensonii"
Equisetopsida,Lamiales,Bignoniaceae,"Handroanthus serratifolius"
Aves,Galliformes,Cracidae,"Aburria aburri"
Mammalia,Carnivora,Canidae,"Atelocynus microtis"
Mammalia,Pilosa,Myrmecophagidae,"Myrmecophaga tridactyla"
Aves,Passeriformes,Furnariidae,"Anabacerthia striaticollis"
Equisetopsida,Fabales,Fabaceae,"Amburana cearensis"
Equisetopsida,Ericales,Sapotaceae,"Manilkara bidentata"
Equisetopsida,Sapindales,Anacardiaceae,"Mauria heterophylla"
Aves,Accipitriformes,Accipitridae,"Morphnus guianensis"
Mammalia,Rodentia,Dinomyidae,"Dinomys branickii"
Mammalia,Chiroptera,Phyllostomidae,"Vampyressa melissa"
Equisetopsida,Sapindales,Meliaceae,"Swietenia macrophylla"
Mammalia,Carnivora,Ursidae,"Tremarctos ornatus"
,,,
