Clase,Orden,Familia,Especie,endemica,amenazada
Equisetopsida,Podocarpales,Podocarpaceae,Prumnopitys montana,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Anoura peruana,FALSE,FALSE
Mammalia,Chiroptera,Vespertilionidae,Myotis keaysi,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Colibri coruscans,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Colibri cyanotus,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Carollia perspicillata,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Carollia brevicauda,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Colonia colonus,FALSE,FALSE
Equisetopsida,Poales,Cyperaceae,Carex polystachya,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Rauenia bonariensis,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Premnoplex brunnescens,FALSE,FALSE
Mammalia,Cetartiodactyla,Cervidae,Mazama americana,FALSE,FALSE
Mammalia,Cetartiodactyla,Cervidae,Odocoileus peruvianus,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Lophostoma silvicolum,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Comparettia falcata,FALSE,FALSE
Equisetopsida,Zingiberales,Zingiberaceae,Renealmia thyrsoidea,FALSE,FALSE
Mammalia,Carnivora,Mephitidae,Conepatus chinga,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Conopias cinchoneti,FALSE,FALSE
Mammalia,Carnivora,Felidae,Leopardus pardalis,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Contopus fumigatus,FALSE,FALSE
Mammalia,Rodentia,Cricetidae,Rhipidomys gardneri,FALSE,FALSE
Mammalia,Rodentia,Cricetidae,Rhipidomys leucodactylus,FALSE,FALSE
Aves,Piciformes,Picidae,Campephilus melanoleucos,FALSE,FALSE
Equisetopsida,Rosales,Moraceae,Poulsenia armata,FALSE,FALSE
Mammalia,Carnivora,Felidae,Leopardus garleppi,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Anoura aequatoris,FALSE,FALSE
Mammalia,Rodentia,Caviidae,Hydrochoerus hydrochaeris,FALSE,FALSE
Equisetopsida,Malpighiales,Violaceae,Rinorea pubiflora var. pubiflora,FALSE,FALSE
Equisetopsida,Rosales,Rosaceae,Polylepis pampabella,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Ocreatus underwoodii,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Lasiacis maculata,FALSE,FALSE
Equisetopsida,Cucurbitales,Cucurbitaceae,Gurania lobata,FALSE,FALSE
Equisetopsida,Zingiberales,Marantaceae,Calathea inocephala,FALSE,FALSE
Mammalia,Carnivora,Procyonidae,Nasua nasua,FALSE,FALSE
Aves,Tinamiformes,Tinamidae,Crypturellus obsoletus,FALSE,FALSE
Aves,Tinamiformes,Tinamidae,Crypturellus soui,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Anoura geoffroyi,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Poa annua,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Eutoxeres condamini,FALSE,FALSE
Equisetopsida,Lamiales,Acanthaceae,Ruellia brevifolia,FALSE,FALSE
Aves,Falconiformes,Falconidae,Milvago chimachima,FALSE,FALSE
Mammalia,Rodentia,Cuniculidae,Cuniculus paca,FALSE,FALSE
