Clase,Orden,Familia,Especie
Mammalia,Carnivora,Ursidae,"Tremarctos ornatus"
Equisetopsida,Asparagales,Orchidaceae,"Warczewiczella amazonica"
Equisetopsida,Asparagales,Orchidaceae,"Kefersteinia villenae"
Equisetopsida,Asparagales,Orchidaceae,"Huntleya vargasii"
Equisetopsida,Asparagales,Orchidaceae,"Chaubardia klugii"
Aves,Psittaciformes,Psittacidae,"Primolius couloni"
Mammalia,Primates,Atelidae,"Alouatta seniculus"
Mammalia,Primates,Atelidae,"Ateles chamek"
Mammalia,Carnivora,Canidae,"Atelocynus microtis"
Equisetopsida,Sapindales,Meliaceae,"Cedrela odorata"
Mammalia,Pilosa,Myrmecophagidae,"Myrmecophaga tridactyla"
Mammalia,Carnivora,Mustelidae,"Pteronura brasiliensis"
Reptilia,Testudines,Podocnemididae,"Podocnemis unifilis"
Mammalia,Rodentia,Dinomyidae,"Dinomys branickii"
Reptilia,Testudines,Podocnemididae,"Podocnemis expansa"
Aves,Anseriformes,Anatidae,"Oressochen jubatus"
Equisetopsida,Asparagales,Orchidaceae,"Mormodes warszewiczii"
Equisetopsida,Cyatheales,Cyatheaceae,"Cyathea delgadii"
Mammalia,Cingulata,Chlamyphoridae,"Priodontes maximus"
,,,
