Clase,Orden,Familia,Especie
Equisetopsida,Myrtales,Vochysiaceae,"Vochysia kosnipatae"
Equisetopsida,Asparagales,Orchidaceae,"Maxillaria edwardsii"
Equisetopsida,Asparagales,Orchidaceae,"Huntleya vargasii"
Reptilia,Sauria,Tropiduridae,"Plica plica"
Equisetopsida,Asparagales,Orchidaceae,"Octomeria scirpoidea"
Aves,Passeriformes,Pipridae,"Lepidothrix coeruleocapilla"
Equisetopsida,Pandanales,Cyclanthaceae,"Dicranopygium latissimum"
Reptilia,Sauria,Gymnophthalmidae,"Potamites erythrocularis"
Equisetopsida,Lamiales,Gesneriaceae,"Besleria racemosa"
,,,
