Clase,Orden,Familia,Especie
Equisetopsida,Cycadales,Zamiaceae,"Zamia poeppigiana"
Mammalia,Sirenia,Trichechidae,"Trichechus inunguis"
Equisetopsida,Lamiales,Bignoniaceae,"Handroanthus serratifolius"
Aves,Accipitriformes,Accipitridae,"Harpia harpyja"
Mammalia,Primates,Cebidae,"Callimico goeldii"
Aves,Passeriformes,Onychorhynchidae,"Onychorhynchus coronatus"
Mammalia,Primates,Pitheciidae,"Cacajao calvus"
Aves,Accipitriformes,Accipitridae,"Morphnus guianensis"
Equisetopsida,Podocarpales,Podocarpaceae,"Podocarpus oleifolius"
Reptilia,Testudines,Podocnemididae,"Podocnemis unifilis"
Mammalia,Primates,Atelidae,"Alouatta seniculus"
Mammalia,Rodentia,Dinomyidae,"Dinomys branickii"
Aves,Psittaciformes,Psittacidae,"Primolius couloni"
Mammalia,Cingulata,Chlamyphoridae,"Priodontes maximus"
Mammalia,Pilosa,Myrmecophagidae,"Myrmecophaga tridactyla"
Equisetopsida,Arecales,Arecaceae,"Euterpe catinga"
Mammalia,Primates,Atelidae,"Lagothrix lagothricha"
Mammalia,Primates,Atelidae,"Ateles chamek"
Mammalia,Rodentia,Cricetidae,"Neusticomys peruviensis"
Equisetopsida,Rosales,Cannabaceae,"Celtis iguanaea"
Equisetopsida,Sapindales,Meliaceae,"Cedrela fissilis"
,,,
