Clase,Orden,Familia,Especie,endemica,amenazada
Equisetopsida,Malvales,Malvaceae,Callianthe sylvatica,FALSE,FALSE
Mammalia,Didelphimorphia,Didelphidae,Didelphis marsupialis,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Geranoaetus polyosoma,FALSE,FALSE
Aves,Pelecaniformes,Ardeidae,Bubulcus ibis,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Fulcaldea laurifolia,FALSE,TRUE
Equisetopsida,Lamiales,Oleaceae,Schrebera americana,TRUE,FALSE
Aves,Nyctibiiformes,Nyctibiidae,Nyctibius griseus,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Acmella alba,FALSE,FALSE
Aves,Apodiformes,Apodidae,Chaetura pelagica,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Lepidocolaptes souleyetii,FALSE,FALSE
Equisetopsida,Rosales,Rhamnaceae,Sarcomphalus thyrsiflorus,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Alseis peruviana,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Mimosa myriadena,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Pyrocephalus rubinus,FALSE,FALSE
Aves,Strigiformes,Strigidae,Bubo virginianus,FALSE,FALSE
Aves,Cathartiformes,Cathartidae,Coragyps atratus,FALSE,FALSE
Equisetopsida,Gentianales,Apocynaceae,Jobinia formosa,FALSE,FALSE
Aves,Passeriformes,Polioptilidae,Polioptila plumbea,FALSE,FALSE
Aves,Tinamiformes,Tinamidae,Nothoprocta pentlandii,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Accipiter bicolor,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Ochthoeca piurae,TRUE,TRUE
Equisetopsida,Asterales,Asteraceae,Porophyllum ruderale,FALSE,FALSE
Aves,Cathartiformes,Cathartidae,Sarcoramphus papa,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Bauhinia aculeata,FALSE,FALSE
Mammalia,Carnivora,Mustelidae,Neogale africana,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Pseudastur occidentalis,FALSE,TRUE
Equisetopsida,Caryophyllales,Amaranthaceae,Iresine diffusa,FALSE,FALSE
Aves,Strigiformes,Strigidae,Athene cunicularia,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Cranioleuca antisiensis,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Ayenia cordata,TRUE,FALSE
Aves,Passeriformes,Icteridae,Icterus graceannae,FALSE,FALSE
Equisetopsida,Caryophyllales,Amaranthaceae,Alternanthera pubiflora,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Myrmia micrura,FALSE,FALSE
Aves,Passeriformes,Icteridae,Icterus mesomelas,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Euscarthmus fulviceps,FALSE,FALSE
Aves,Passeriformes,Passerellidae,Rhynchospiza stolzmanni,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Furnarius leucopus,FALSE,FALSE
Aves,Apodiformes,Apodidae,Chaetura brachyura,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Galactia shumbae,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Sporophila luctuosa,FALSE,FALSE
