Clase,Orden,Familia,Especie,endemica,amenazada
Aves,Passeriformes,Thraupidae,Volatinia jacarina,FALSE,FALSE
Aves,Passeriformes,Troglodytidae,Troglodytes aedon,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Thaumastura cora,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Zea mays,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Waltheria ovata,FALSE,FALSE
Aves,Columbiformes,Columbidae,Zenaida auriculata,FALSE,FALSE
Aves,Caprimulgiformes,Caprimulgidae,Systellura longirostris,FALSE,FALSE
Aves,Passeriformes,Passerellidae,Zonotrichia capensis,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Tessaria integrifolia,FALSE,FALSE
Equisetopsida,Solanales,Convolvulaceae,Ipomoea batatas,FALSE,FALSE
Equisetopsida,Malpighiales,Euphorbiaceae,Ricinus communis,FALSE,FALSE
Aves,Pelecaniformes,Ardeidae,Egretta thula,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Myrtis fanny,FALSE,FALSE
Equisetopsida,Malpighiales,Salicaceae,Salix humboldtiana,FALSE,FALSE
Aves,Cathartiformes,Cathartidae,Coragyps atratus,FALSE,FALSE
Equisetopsida,Poales,Cyperaceae,Eleocharis geniculata,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Geranoaetus melanoleucus,FALSE,FALSE
Equisetopsida,Poales,Cyperaceae,Cyperus rotundus,FALSE,FALSE
Equisetopsida,Myrtales,Myrtaceae,Psidium guajava,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Mimosa pigra var. pigra,FALSE,FALSE
Equisetopsida,Caryophyllales,Portulacaceae,Portulaca oleracea,FALSE,FALSE
Equisetopsida,Lamiales,Plantaginaceae,Bacopa monnieri,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Sporophila telasco,FALSE,FALSE
Aves,Passeriformes,Mimidae,Mimus longicaudatus,FALSE,FALSE
Aves,Gruiformes,Rallidae,Pardirallus sanguinolentus,FALSE,FALSE
Aves,Cuculiformes,Cuculidae,Crotophaga sulcirostris,FALSE,FALSE
Equisetopsida,Malpighiales,Passifloraceae,Passiflora edulis,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Distichlis spicata,FALSE,FALSE
Equisetopsida,Boraginales,Heliotropiaceae,Heliotropium curassavicum,FALSE,FALSE
Aves,Columbiformes,Columbidae,Columba livia,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Sicalis raimondii,TRUE,FALSE
Equisetopsida,Myrtales,Onagraceae,Ludwigia octovalvis,FALSE,FALSE
Aves,Passeriformes,Hirundinidae,Pygochelidon cyanoleuca,FALSE,FALSE
Aves,Passeriformes,Passeridae,Passer domesticus,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Inga feuillei,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Pyrocephalus rubinus,FALSE,FALSE
Aves,Columbiformes,Columbidae,Columbina cruziana,FALSE,FALSE
Aves,Apodiformes,Apodidae,Aeronautes andecolus,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Chloris halophila,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Geranoaetus polyosoma,FALSE,FALSE
Aves,Pelecaniformes,Ardeidae,Bubulcus ibis,FALSE,FALSE
Aves,Passeriformes,Fringillidae,Spinus magellanicus,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Phragmites australis,FALSE,FALSE
Aves,Cathartiformes,Cathartidae,Cathartes aura,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Anairetes reguloides,FALSE,FALSE
Aves,Falconiformes,Falconidae,Falco sparverius,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Anairetes flavirostris,FALSE,FALSE
