Clase,Orden,Familia,Especie
Aves,Passeriformes,Turdidae,"Turdus maculirostris"
Aves,Passeriformes,Thraupidae,"Tangara gyrola"
Equisetopsida,Lamiales,Lamiaceae,"Vitex gigantea"
Aves,Passeriformes,Vireonidae,"Vireo olivaceus"
Aves,Passeriformes,Furnariidae,"Xiphocolaptes promeropirhynchus"
Equisetopsida,Sapindales,Rutaceae,"Zanthoxylum fagara"
Insecta,Lepidoptera,Sphingidae,"Xylophanes pluto"
Equisetopsida,Rosales,Cannabaceae,"Trema micranthum"
Aves,Passeriformes,Furnariidae,"Synallaxis tithys"
Aves,Passeriformes,Furnariidae,"Xenops rutilans"
Aves,Passeriformes,Thamnophilidae,"Taraba major"
Aves,Trogoniformes,Trogonidae,"Trogon melanurus"
Aves,Passeriformes,Tyrannidae,"Tyrannus melancholicus"
Aves,Passeriformes,Thraupidae,"Thraupis episcopus"
Aves,Passeriformes,Turdidae,"Turdus reevei"
Insecta,Lepidoptera,Sphingidae,"Xylophanes chiron nechus"
Equisetopsida,Malpighiales,Salicaceae,"Xylosma benthamii"
Aves,Passeriformes,Thamnophilidae,"Thamnophilus atrinucha"
Insecta,Lepidoptera,Sphingidae,"Xylophanes ceratomioides"
Aves,Passeriformes,Tyrannidae,"Zimmerius viridiflavus"
Equisetopsida,Asterales,Asteraceae,"Tessaria integrifolia"
Aves,Passeriformes,Thamnophilidae,"Thamnophilus bernardi"
Equisetopsida,Poales,Bromeliaceae,"Tillandsia usneoides"
Aves,Passeriformes,Thamnophilidae,"Thamnophilus zarumae"
Equisetopsida,Fabales,Fabaceae,"Vachellia aroma"
Aves,Passeriformes,Tyrannidae,"Tolmomyias sulphurescens"
Aves,Passeriformes,Furnariidae,"Synallaxis brachyura"
Insecta,Lepidoptera,Saturniidae,"Syssphynx molina"
Equisetopsida,Brassicales,Caricaceae,"Vasconcellea parviflora"
Aves,Apodiformes,Trochilidae,"Thalurania colombica"
Aves,Passeriformes,Troglodytidae,"Troglodytes aedon"
Equisetopsida,Caryophyllales,Polygonaceae,"Triplaris cumingiana"
Aves,Passeriformes,Tyrannidae,"Todirostrum cinereum"
Aves,Strigiformes,Tytonidae,"Tyto alba"
Aves,Passeriformes,Furnariidae,"Xenops minutus"
Aves,Apodiformes,Apodidae,"Streptoprocne zonaris"
Aves,Columbiformes,Columbidae,"Zenaida meloda"
Aves,Passeriformes,Thraupidae,"Tangara icterocephala"
Aves,Trogoniformes,Trogonidae,"Trogon caligatus"
