Clase,Orden,Familia,Especie,endemica,amenazada
Aves,Passeriformes,Turdidae,Turdus maculirostris,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tangara gyrola,FALSE,FALSE
Equisetopsida,Lamiales,Lamiaceae,Vitex gigantea,FALSE,FALSE
Aves,Passeriformes,Vireonidae,Vireo olivaceus,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Xiphocolaptes promeropirhynchus,FALSE,FALSE
Equisetopsida,Sapindales,Rutaceae,Zanthoxylum fagara,FALSE,FALSE
Insecta,Lepidoptera,Sphingidae,Xylophanes pluto,FALSE,FALSE
Equisetopsida,Rosales,Cannabaceae,Trema micranthum,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Synallaxis tithys,FALSE,TRUE
Aves,Passeriformes,Furnariidae,Xenops rutilans,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Taraba major,FALSE,FALSE
Aves,Trogoniformes,Trogonidae,Trogon melanurus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Tyrannus melancholicus,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Thraupis episcopus,FALSE,FALSE
Aves,Passeriformes,Turdidae,Turdus reevei,FALSE,FALSE
Insecta,Lepidoptera,Sphingidae,Xylophanes chiron nechus,FALSE,FALSE
Equisetopsida,Malpighiales,Salicaceae,Xylosma benthamii,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Thamnophilus atrinucha,FALSE,FALSE
Insecta,Lepidoptera,Sphingidae,Xylophanes ceratomioides,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Zimmerius viridiflavus,TRUE,FALSE
Equisetopsida,Asterales,Asteraceae,Tessaria integrifolia,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Thamnophilus bernardi,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Tillandsia usneoides,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Thamnophilus zarumae,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Vachellia aroma,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Tolmomyias sulphurescens,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Synallaxis brachyura,FALSE,FALSE
Insecta,Lepidoptera,Saturniidae,Syssphynx molina,FALSE,FALSE
Equisetopsida,Brassicales,Caricaceae,Vasconcellea parviflora,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Thalurania colombica,FALSE,FALSE
Aves,Passeriformes,Troglodytidae,Troglodytes aedon,FALSE,FALSE
Equisetopsida,Caryophyllales,Polygonaceae,Triplaris cumingiana,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Todirostrum cinereum,FALSE,FALSE
Aves,Strigiformes,Tytonidae,Tyto alba,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Xenops minutus,FALSE,FALSE
Aves,Apodiformes,Apodidae,Streptoprocne zonaris,FALSE,FALSE
Aves,Columbiformes,Columbidae,Zenaida meloda,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tangara icterocephala,FALSE,FALSE
Aves,Trogoniformes,Trogonidae,Trogon caligatus,FALSE,FALSE
