Clase,Orden,Familia,Especie
Equisetopsida,Asparagales,Orchidaceae,"Masdevallia karineae"
Equisetopsida,Asparagales,Orchidaceae,"Sobralia virginalis"
Equisetopsida,Asparagales,Orchidaceae,"Masdevallia marizae"
Equisetopsida,Asparagales,Orchidaceae,"Masdevallia veitchiana"
Equisetopsida,Asparagales,Orchidaceae,"Masdevallia welischii"
Amphibia,Anura,Centrolenidae,"Nymphargus pluvialis"
Equisetopsida,Asterales,Asteraceae,"Pentacalia nunezii"
Equisetopsida,Asparagales,Orchidaceae,"Anguloa virginalis"
Aves,Tinamiformes,Tinamidae,"Nothoprocta taczanowskii"
Equisetopsida,Escalloniales,Escalloniaceae,"Escallonia resinosa"
Equisetopsida,Escalloniales,Escalloniaceae,"Escallonia pendula"
Equisetopsida,Escalloniales,Escalloniaceae,"Escallonia myrtilloides"
Equisetopsida,Solanales,Solanaceae,"Solanum buesii"
Equisetopsida,Sapindales,Anacardiaceae,"Mauria heterophylla"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum scutella"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum birostratum"
Equisetopsida,Ephedrales,Ephedraceae,"Ephedra rupestris"
Aves,Accipitriformes,Accipitridae,"Spizaetus isidori"
Aves,Galliformes,Cracidae,"Aburria aburri"
Equisetopsida,Asparagales,Orchidaceae,"Phragmipedium caudatum"
Equisetopsida,Caryophyllales,Cactaceae,"Echinopsis cuzcoensis"
Equisetopsida,Lamiales,Bignoniaceae,"Jacaranda acutifolia"
Mammalia,Chiroptera,Molossidae,"Mormopterus phrudus"
Equisetopsida,Solanales,Solanaceae,"Solanum lignicaule"
Equisetopsida,Solanales,Solanaceae,"Jaltomata biflora"
Aves,Passeriformes,Tyrannidae,"Anairetes alpinus"
Equisetopsida,Rosales,Rosaceae,"Kageneckia lanceolata"
Aves,Passeriformes,Furnariidae,"Anabacerthia striaticollis"
Equisetopsida,Zygophyllales,Krameriaceae,"Krameria lappacea"
Equisetopsida,Piperales,Piperaceae,"Piper ollantaitambanum"
Equisetopsida,Cyatheales,Cyatheaceae,"Cyathea delgadii"
Equisetopsida,Cyatheales,Cyatheaceae,"Cyathea caracasana"
Mammalia,Rodentia,Abrocomidae,"Cuscomys oblativus"
Equisetopsida,Solanales,Solanaceae,"Solanum urubambae"
Mammalia,Carnivora,Procyonidae,"Nasuella olivacea"
Equisetopsida,Podocarpales,Podocarpaceae,"Podocarpus oleifolius"
Equisetopsida,Rosales,Rosaceae,"Polylepis besseri"
Equisetopsida,Rosales,Rosaceae,"Polylepis pepei"
Equisetopsida,Rosales,Rosaceae,"Polylepis racemosa"
Equisetopsida,Rosales,Rosaceae,"Polylepis sericea"
Equisetopsida,Rosales,Rosaceae,"Polylepis subsericans"
Amphibia,Anura,Bufonidae,"Nannophryne corynetes"
Mammalia,Carnivora,Felidae,"Leopardus jacobitus"
Mammalia,Chiroptera,Molossidae,"Promops nasutus"
Equisetopsida,Asparagales,Orchidaceae,"Prosthechea hartwegii"
Equisetopsida,Fagales,Betulaceae,"Alnus acuminata"
Equisetopsida,Asparagales,Orchidaceae,"Maxillaria scandens"
Equisetopsida,Lamiales,Verbenaceae,"Citharexylum quercifolium"
Aves,Passeriformes,Furnariidae,"Leptasthenura xenothorax"
Equisetopsida,Podocarpales,Podocarpaceae,"Prumnopitys harmsiana"
Aves,Passeriformes,Furnariidae,"Cinclodes aricomae"
Equisetopsida,Gentianales,Rubiaceae,"Cinchona calisaya"
