Clase,Orden,Familia,Especie
Equisetopsida,Sapindales,Meliaceae,"Swietenia macrophylla"
Aves,Psittaciformes,Psittacidae,"Touit stictopterus"
Aves,Passeriformes,Thraupidae,"Wetmorethraupis sterrhopteron"
Aves,Cathartiformes,Cathartidae,"Vultur gryphus"
Mammalia,Carnivora,Ursidae,"Tremarctos ornatus"
Aves,Psittaciformes,Psittacidae,"Leptosittaca branickii"
Mammalia,Primates,Atelidae,"Ateles belzebuth"
Mammalia,Cingulata,Chlamyphoridae,"Priodontes maximus"
Mammalia,Pilosa,Myrmecophagidae,"Myrmecophaga tridactyla"
Equisetopsida,Sapindales,Meliaceae,"Cedrela odorata"
Mammalia,Carnivora,Canidae,"Atelocynus microtis"
Mammalia,Rodentia,Dinomyidae,"Dinomys branickii"
Aves,Galliformes,Cracidae,"Mitu salvini"
Aves,Accipitriformes,Accipitridae,"Spizaetus isidori"
Aves,Galliformes,Cracidae,"Aburria aburri"
Aves,Galbuliformes,Galbulidae,"Galbula pastazae"
Aves,Galliformes,Cracidae,"Ortalis erythroptera"
Aves,Passeriformes,Furnariidae,"Anabacerthia striaticollis"
Mammalia,Primates,Atelidae,"Lagothrix lagothricha"
Equisetopsida,Podocarpales,Podocarpaceae,"Podocarpus oleifolius"
,,,
