Clase,Orden,Familia,Especie
Aves,Procellariiformes,Procellariidae,"Procellaria aequinoctialis"
Aves,Anseriformes,Anatidae,"Oressochen jubatus"
Aves,Charadriiformes,Laridae,"Larosterna inca"
Reptilia,Sauria,Phyllodactylidae,"Phyllodactylus angustidigitus"
Reptilia,Testudines,Cheloniidae,"Lepidochelys olivacea"
Aves,Phoenicopteriformes,Phoenicopteridae,"Phoenicoparrus jamesi"
Aves,Phoenicopteriformes,Phoenicopteridae,"Phoenicoparrus andinus"
Aves,Passeriformes,Hirundinidae,"Progne murphyi"
Aves,Procellariiformes,Diomedeidae,"Phoebastria irrorata"
Aves,Pelecaniformes,Pelecanidae,"Pelecanus thagus"
Aves,Procellariiformes,Procellariidae,"Pelecanoides garnotii"
Aves,Procellariiformes,Hydrobatidae,"Hydrobates markhami"
Aves,Anseriformes,Anatidae,"Netta erythrophthalma"
Aves,Procellariiformes,Procellariidae,"Ardenna creatopus"
Mammalia,Carnivora,Otariidae,"Arctocephalus australis"
Aves,Charadriiformes,Laridae,"Sterna hirundinacea"
Mammalia,Chiroptera,Furipteridae,"Amorphochilus schnablii"
Aves,Sphenisciformes,Spheniscidae,"Spheniscus humboldti"
Aves,Suliformes,Phalacrocoracidae,"Phalacrocorax gaimardi"
Reptilia,Testudines,Cheloniidae,"Chelonia mydas"
Aves,Gruiformes,Rallidae,"Laterallus jamaicensis"
Aves,Gruiformes,Rallidae,"Fulica rufifrons"
Aves,Pelecaniformes,Threskiornithidae,"Theristicus melanopis"
Aves,Suliformes,Sulidae,"Sula variegata"
Aves,Procellariiformes,Diomedeidae,"Thalassarche salvini"
Aves,Procellariiformes,Diomedeidae,"Thalassarche melanophris"
Aves,Charadriiformes,Laridae,"Sternula lorata"
Aves,Passeriformes,Thraupidae,"Xenospingus concolor"
,,,
