Clase,Orden,Familia,Especie
Aves,Charadriiformes,Scolopacidae,"Calidris melanotos"
Aves,Pelecaniformes,Threskiornithidae,"Plegadis ridgwayi"
Mammalia,Carnivora,Canidae,"Lycalopex (Pseudalopex) culpaeus"
Aves,Charadriiformes,Rhynchopidae,"Rynchops niger"
Aves,Passeriformes,Hirundinidae,"Petrochelidon pyrrhonota"
Aves,Charadriiformes,Laridae,"Larus belcheri"
Aves,Charadriiformes,Laridae,"Gelochelidon nilotica"
Aves,Suliformes,Fregatidae,"Fregata magnificens"
Aves,Charadriiformes,Burhinidae,"Burhinus superciliaris"
Aves,Passeriformes,Passeridae,"Passer domesticus"
Equisetopsida,Asterales,Asteraceae,"Sonchus oleraceus"
Aves,Gruiformes,Rallidae,"Fulica ardesiaca"
Aves,Charadriiformes,Laridae,"Sterna hirundo"
Aves,Procellariiformes,Procellariidae,"Pachyptila belcheri"
Equisetopsida,Boraginales,Heliotropiaceae,"Heliotropium curassavicum"
Aves,Gruiformes,Rallidae,"Gallinula galeata"
Aves,Procellariiformes,Procellariidae,"Pachyptila desolata"
Aves,Charadriiformes,Charadriidae,"Pluvialis squatarola"
Aves,Passeriformes,Hirundinidae,"Hirundo rustica"
Aves,Anseriformes,Anatidae,"Anas georgica"
Equisetopsida,Asterales,Asteraceae,"Baccharis salicifolia"
Aves,Charadriiformes,Charadriidae,"Pluvialis dominica"
Aves,Charadriiformes,Charadriidae,"Oreopholus ruficollis"
Equisetopsida,Poales,Poaceae,"Paspalum vaginatum"
Aves,Procellariiformes,Procellariidae,"Procellaria aequinoctialis"
Aves,Anseriformes,Anatidae,"Oressochen jubatus"
Aves,Anseriformes,Anatidae,"Oressochen melanopterus"
Aves,Pelecaniformes,Ardeidae,"Butorides striata"
Equisetopsida,Caryophyllales,Polygonaceae,"Rumex crispus"
Aves,Charadriiformes,Laridae,"Larosterna inca"
Aves,Procellariiformes,Procellariidae,"Procellaria cinerea"
Aves,Columbiformes,Columbidae,"Columba livia"
Reptilia,Sauria,Phyllodactylidae,"Phyllodactylus gerrhopygus"
Reptilia,Sauria,Phyllodactylidae,"Phyllodactylus angustidigitus"
Mammalia,Rodentia,Caviidae,"Cavia tschudii"
Aves,Columbiformes,Columbidae,"Columbina cruziana"
Equisetopsida,Caryophyllales,Amaranthaceae,"Dysphania ambrosioides"
Aves,Cuculiformes,Cuculidae,"Coccyzus melacoryphus"
Equisetopsida,Lamiales,Verbenaceae,"Phyla nodiflora"
Aves,Passeriformes,Thraupidae,"Diglossa brunneiventris"
Aves,Anseriformes,Anatidae,"Spatula platalea"
Aves,Ciconiiformes,Ciconiidae,"Mycteria americana"
Reptilia,Testudines,Cheloniidae,"Lepidochelys olivacea"
Equisetopsida,Poales,Poaceae,"Phragmites australis"
Aves,Anseriformes,Anatidae,"Spatula puna"
Aves,Pelecaniformes,Ardeidae,"Egretta caerulea"
Aves,Charadriiformes,Recurvirostridae,"Recurvirostra andina"
Aves,Pelecaniformes,Ardeidae,"Egretta thula"
Equisetopsida,Fagales,Myricaceae,"Morella pavonis"
Aves,Pelecaniformes,Ardeidae,"Egretta tricolor"
Aves,Ciconiiformes,Ciconiidae,"Jabiru mycteria"
Equisetopsida,Commelinales,Pontederiaceae,"Eichhornia crassipes"
Aves,Charadriiformes,Haematopodidae,"Haematopus ater"
Reptilia,Sauria,Tropiduridae,"Microlophus peruvianus"
Aves,Passeriformes,Tyrannidae,"Muscisaxicola maclovianus"
Aves,Phoenicopteriformes,Phoenicopteridae,"Phoenicopterus chilensis"
Aves,Falconiformes,Falconidae,"Caracara plancus"
Aves,Charadriiformes,Stercorariidae,"Stercorarius chilensis"
Aves,Phoenicopteriformes,Phoenicopteridae,"Phoenicoparrus jamesi"
Aves,Phoenicopteriformes,Phoenicopteridae,"Phoenicoparrus andinus"
Aves,Falconiformes,Falconidae,"Falco sparverius"
Aves,Passeriformes,Tyrannidae,"Elaenia albiceps"
Aves,Anseriformes,Anatidae,"Spatula cyanoptera"
Aves,Passeriformes,Hirundinidae,"Progne murphyi"
Aves,Procellariiformes,Diomedeidae,"Phoebastria irrorata"
Aves,Passeriformes,Tyrannidae,"Pyrocephalus rubinus"
Mammalia,Carnivora,Mephitidae,"Conepatus chinga"
Aves,Passeriformes,Hirundinidae,"Progne tapera"
Mammalia,Chiroptera,Molossidae,"Promops centralis"
Aves,Pelecaniformes,Pelecanidae,"Pelecanus thagus"
Equisetopsida,Fabales,Fabaceae,"Melilotus indicus"
Aves,Procellariiformes,Hydrobatidae,"Hydrobates hornbyi"
Aves,Passeriformes,Icteridae,"Molothrus bonariensis"
Aves,Procellariiformes,Procellariidae,"Pelecanoides garnotii"
Aves,Passeriformes,Furnariidae,"Phleocryptes melanops"
Aves,Procellariiformes,Hydrobatidae,"Hydrobates markhami"
Aves,Procellariiformes,Oceanitidae,"Pelagodroma marina"
Aves,Pelecaniformes,Ardeidae,"Nycticorax nycticorax"
Aves,Strigiformes,Strigidae,"Asio flammeus"
Aves,Pelecaniformes,Ardeidae,"Ixobrychus exilis"
Equisetopsida,Poales,Poaceae,"Arundo donax"
Aves,Passeriformes,Thraupidae,"Conirostrum cinereum"
Equisetopsida,Poales,Poaceae,"Cenchrus clandestinus"
Aves,Apodiformes,Trochilidae,"Myrtis fanny"
Equisetopsida,Caryophyllales,Aizoaceae,"Sesuvium portulacastrum"
Aves,Charadriiformes,Haematopodidae,"Haematopus palliatus"
Aves,Charadriiformes,Scolopacidae,"Limosa haemastica"
Aves,Passeriformes,Hirundinidae,"Pygochelidon cyanoleuca"
Mammalia,Chiroptera,Phyllostomidae,"Glossophaga soricina"
Aves,Charadriiformes,Scolopacidae,"Limosa fedoa"
Aves,Charadriiformes,Stercorariidae,"Stercorarius pomarinus"
Amphibia,Anura,Bufonidae,"Rhinella limensis"
Aves,Procellariiformes,Procellariidae,"Macronectes giganteus"
Aves,Anseriformes,Anatidae,"Spatula discors"
Reptilia,Serpentes,Dipsadidae,"Philodryas tachymenoides"
Aves,Procellariiformes,Hydrobatidae,"Hydrobates tethys"
Aves,Anseriformes,Anatidae,"Netta erythrophthalma"
Aves,Anseriformes,Anatidae,"Anas flavirostris"
Aves,Charadriiformes,Scolopacidae,"Limnodromus griseus"
Aves,Passeriformes,Motacillidae,"Anthus chii"
Aves,Passeriformes,Furnariidae,"Leptasthenura aegithaloides"
Aves,Anseriformes,Anatidae,"Netta peposaca"
Aves,Passeriformes,Thraupidae,"Sicalis luteola"
Mammalia,Chiroptera,Vespertilionidae,"Myotis atacamensis"
Aves,Anseriformes,Anatidae,"Dendrocygna bicolor"
Aves,Anseriformes,Anatidae,"Dendrocygna autumnalis"
Equisetopsida,Caryophyllales,Amaranthaceae,"Sarcocornia fruticosa"
Aves,Procellariiformes,Oceanitidae,"Oceanites gracilis"
Aves,Accipitriformes,Accipitridae,"Parabuteo unicinctus"
Equisetopsida,Fabales,Fabaceae,"Melilotus albus"
Equisetopsida,Poales,Cyperaceae,"Bolboschoenus maritimus subsp. paludosus"
Aves,Gruiformes,Rallidae,"Fulica gigantea"
Aves,Passeriformes,Icteridae,"Dolichonyx oryzivorus"
Aves,Apodiformes,Trochilidae,"Rhodopis vesper"
Aves,Charadriiformes,Scolopacidae,"Arenaria interpres"
Aves,Accipitriformes,Accipitridae,"Geranoaetus polyosoma"
Aves,Procellariiformes,Procellariidae,"Ardenna grisea"
Aves,Procellariiformes,Procellariidae,"Ardenna creatopus"
Aves,Apodiformes,Apodidae,"Aeronautes andecolus"
Aves,Procellariiformes,Procellariidae,"Ardenna bulleri"
Aves,Passeriformes,Tyrannidae,"Anairetes reguloides"
Aves,Pelecaniformes,Ardeidae,"Ardea cocoi"
Aves,Passeriformes,Tyrannidae,"Muscigralla brevicauda"
Equisetopsida,Poales,Poaceae,"Distichlis spicata"
Reptilia,Sauria,Tropiduridae,"Microlophus tigris"
Aves,Accipitriformes,Accipitridae,"Circus cinereus"
Aves,Cathartiformes,Cathartidae,"Coragyps atratus"
Aves,Falconiformes,Falconidae,"Falco peregrinus"
Aves,Pelecaniformes,Ardeidae,"Ardea alba"
Aves,Passeriformes,Thraupidae,"Rhopospina alaudina"
Equisetopsida,Myrtales,Onagraceae,"Ludwigia octovalvis"
Aves,Procellariiformes,Oceanitidae,"Oceanites oceanicus"
Equisetopsida,Zingiberales,Musaceae,"Musa paradisiaca"
Aves,Passeriformes,Furnariidae,"Cinclodes taczanowskii"
Mammalia,Carnivora,Otariidae,"Arctocephalus australis"
Aves,Charadriiformes,Laridae,"Sterna paradisaea"
Aves,Apodiformes,Apodidae,"Chaetura pelagica"
Aves,Passeriformes,Thraupidae,"Sporophila telasco"
Aves,Charadriiformes,Laridae,"Sterna hirundinacea"
Equisetopsida,Solanales,Solanaceae,"Datura stramonium"
Aves,Charadriiformes,Laridae,"Sterna trudeaui"
Mammalia,Rodentia,Cricetidae,"Phyllotis limatus"
Equisetopsida,Solanales,Solanaceae,"Nolana thinophila"
Actinopterygii,Mugiliformes,Mugilidae,"Mugil cephalus"
Equisetopsida,Salviniales,Marsileaceae,"Lemma minuta"
Aves,Gruiformes,Rallidae,"Porzana carolina"
Equisetopsida,Caryophyllales,Portulacaceae,"Portulaca oleracea"
Aves,Anseriformes,Anatidae,"Nomonyx dominicus"
Aves,Passeriformes,Icteridae,"Leistes bellicosus"
Mammalia,Chiroptera,Furipteridae,"Amorphochilus schnablii"
Aves,Accipitriformes,Accipitridae,"Geranoaetus melanoleucus"
Aves,Sphenisciformes,Spheniscidae,"Spheniscus humboldti"
Aves,Gruiformes,Rallidae,"Porphyrio martinica"
Aves,Charadriiformes,Charadriidae,"Charadrius alticola"
Aves,Charadriiformes,Charadriidae,"Charadrius collaris"
Aves,Charadriiformes,Charadriidae,"Charadrius nivosus"
Reptilia,Serpentes,Dipsadidae,"Pseudalsophis elegans"
Aves,Charadriiformes,Charadriidae,"Charadrius semipalmatus"
Aves,Gruiformes,Rallidae,"Pardirallus sanguinolentus"
Aves,Strigiformes,Strigidae,"Athene cunicularia"
Aves,Falconiformes,Falconidae,"Falco femoralis"
Aves,Gruiformes,Rallidae,"Fulica leucoptera"
Aves,Falconiformes,Falconidae,"Phalcoboenus megalopterus"
Mammalia,Rodentia,Cricetidae,"Oligoryzomys arenalis"
Aves,Charadriiformes,Charadriidae,"Charadrius vociferus"
Aves,Procellariiformes,Procellariidae,"Daption capense"
Aves,Charadriiformes,Scolopacidae,"Calidris virgata"
Aves,Charadriiformes,Charadriidae,"Charadrius wilsonia"
Aves,Charadriiformes,Scolopacidae,"Calidris subruficollis"
Aves,Charadriiformes,Scolopacidae,"Phalaropus tricolor"
Aves,Charadriiformes,Scolopacidae,"Phalaropus lobatus"
Aves,Charadriiformes,Scolopacidae,"Phalaropus fulicarius"
Aves,Charadriiformes,Scolopacidae,"Calidris pusilla"
Aves,Charadriiformes,Scolopacidae,"Calidris pugnax"
Aves,Charadriiformes,Scolopacidae,"Calidris minutilla"
Aves,Charadriiformes,Scolopacidae,"Actitis macularius"
Aves,Suliformes,Phalacrocoracidae,"Phalacrocorax gaimardi"
Aves,Passeriformes,Tyrannidae,"Anairetes flavirostris"
Equisetopsida,Poales,Poaceae,"Polypogon interruptus"
Aves,Accipitriformes,Pandionidae,"Pandion haliaetus"
Equisetopsida,Asterales,Asteraceae,"Flaveria bidentis"
