Clase,Orden,Familia,Especie
Equisetopsida,Poales,Poaceae,"Festuca meyenii"
Equisetopsida,Poales,Poaceae,"Festuca nigriflora"
Equisetopsida,Brassicales,Brassicaceae,"Aschersoniodoxa pilosa"
Equisetopsida,Caryophyllales,Caryophyllaceae,"Drymaria divaricata var. stricta"
Equisetopsida,Caryophyllales,Cactaceae,"Corryocactus prostratus"
Equisetopsida,Asterales,Asteraceae,"Chersodoma juanisernii"
Equisetopsida,Fabales,Fabaceae,"Astragalus dillinghamii"
Equisetopsida,Asterales,Asteraceae,"Senecio subcandidus"
Equisetopsida,Asterales,Asteraceae,"Mutisia arequipensis"
Aves,Apodiformes,Trochilidae,"Polyonymus caroli"
Equisetopsida,Asterales,Asteraceae,"Senecio mathewsii"
Equisetopsida,Caryophyllales,Caryophyllaceae,"Paronychia microphylla var. arequipensis"
Equisetopsida,Caryophyllales,Caryophyllaceae,"Paronychia andina"
Equisetopsida,Asterales,Asteraceae,"Senecio crassilodix"
Equisetopsida,Asterales,Asteraceae,"Senecio chachaniensis"
Aves,Passeriformes,Passerellidae,"Atlapetes nationi"
Reptilia,Sauria,Liolaemidae,"Liolaemus tacnae"
Equisetopsida,Asterales,Asteraceae,"Chaetanthera peruviana"
Reptilia,Sauria,Liolaemidae,"Liolaemus etheridgei"
Equisetopsida,Asparagales,Iridaceae,"Mastigostyla cyrtophylla"
Reptilia,Sauria,Liolaemidae,"Liolaemus annectens"
Mammalia,Rodentia,Cricetidae,"Punomys lemminus"
Equisetopsida,Poales,Bromeliaceae,"Puya densiflora"
Equisetopsida,Poales,Poaceae,"Poa fibrifera"
Equisetopsida,Asterales,Asteraceae,"Proustia berberidifolia"
Equisetopsida,Malvales,Malvaceae,"Nototriche argyllioides"
Equisetopsida,Malvales,Malvaceae,"Nototriche borussica"
Equisetopsida,Malvales,Malvaceae,"Nototriche digitulifolia"
Equisetopsida,Malvales,Malvaceae,"Nototriche pellicea"
Equisetopsida,Malvales,Malvaceae,"Nototriche salina"
Equisetopsida,Caryophyllales,Cactaceae,"Opuntia corotilla"
Aves,Passeriformes,Furnariidae,"Geositta crassirostris"
Aves,Piciformes,Picidae,"Colaptes atricollis"
Equisetopsida,Asterales,Asteraceae,"Achyrocline peruviana"
Equisetopsida,Malvales,Malvaceae,"Acaulimalva rhizantha"
Equisetopsida,Ericales,Polemoniaceae,"Cantua candelilla"
Mammalia,Rodentia,Cricetidae,"Calomys sorellus"
Equisetopsida,Dipsacales,Caprifoliaceae,"Stangea rhizantha"
Equisetopsida,Caryophyllales,Cactaceae,"Echinopsis pampana"
Equisetopsida,Fabales,Fabaceae,"Lupinus saxatilis"
Equisetopsida,Fabales,Fabaceae,"Lupinus misticola"
Aves,Apodiformes,Trochilidae,"Metallura phoebe"
Equisetopsida,Asterales,Asteraceae,"Aristeguietia ballii"
,,,
