Clase,Orden,Familia,Especie
Mammalia,Chiroptera,Phyllostomidae,"Platalina genovensium"
Mammalia,Cetartiodactyla,Camelidae,"Lama guanicoe"
Equisetopsida,Caryophyllales,Cactaceae,"Corryocactus brevistylus"
Equisetopsida,Ephedrales,Ephedraceae,"Ephedra rupestris"
Equisetopsida,Zygophyllales,Krameriaceae,"Krameria lappacea"
Equisetopsida,Asterales,Asteraceae,"Senecio yurensis"
Equisetopsida,Rosales,Rosaceae,"Kageneckia lanceolata"
Equisetopsida,Asterales,Asteraceae,"Senecio rhizomatus"
Equisetopsida,Asterales,Asteraceae,"Senecio nutans"
Equisetopsida,Rosales,Rosaceae,"Polylepis rugulosa"
Equisetopsida,Asterales,Asteraceae,"Senecio chachaniensis"
Equisetopsida,Escalloniales,Escalloniaceae,"Escallonia myrtilloides var. myrtilloides"
Mammalia,Cetartiodactyla,Cervidae,"Hippocamelus antisensis"
Reptilia,Sauria,Liolaemidae,"Liolaemus tacnae"
Equisetopsida,Caryophyllales,Cactaceae,"Austrocylindropuntia lagopus"
Equisetopsida,Asterales,Asteraceae,"Parastrephia lepidophylla"
Mammalia,Rodentia,Cricetidae,"Punomys lemminus"
Equisetopsida,Apiales,Apiaceae,"Azorella compacta"
Equisetopsida,Apiales,Apiaceae,"Azorella diapensioides"
Aves,Phoenicopteriformes,Phoenicopteridae,"Phoenicoparrus andinus"
Equisetopsida,Malvales,Malvaceae,"Nototriche salina"
Aves,Phoenicopteriformes,Phoenicopteridae,"Phoenicoparrus jamesi"
Equisetopsida,Asterales,Asteraceae,"Perezia pinnatifida"
Equisetopsida,Asterales,Asteraceae,"Perezia coerulescens"
Mammalia,Carnivora,Felidae,"Leopardus jacobitus"
Aves,Passeriformes,Tyrannidae,"Agriornis albicauda"
Equisetopsida,Lamiales,Scrophulariaceae,"Buddleja coriacea"
Aves,Passeriformes,Thraupidae,"Conirostrum tamarugense"
Aves,Pelecaniformes,Threskiornithidae,"Theristicus melanopis"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana nivalis"
Aves,Cathartiformes,Cathartidae,"Vultur gryphus"
,,,
