Clase,Orden,Familia,Especie,endemica,amenazada
Equisetopsida,Gleicheniales,Gleicheniaceae,Sticherus remotus,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Xiphorhynchus guttatus,FALSE,FALSE
Equisetopsida,Hymenophyllales,Hymenophyllaceae,Trichomanes elegans,FALSE,FALSE
Equisetopsida,Hymenophyllales,Hymenophyllaceae,Trichomanes pellucens,FALSE,FALSE
Equisetopsida,Hymenophyllales,Hymenophyllaceae,Trichomanes trollii,FALSE,FALSE
Equisetopsida,Caryophyllales,Polygonaceae,Triplaris poeppigiana,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Tripsacum andersonii,FALSE,FALSE
Equisetopsida,Pandanales,Triuridaceae,Triuris hyalina,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Vernonanthura patens,FALSE,FALSE
Equisetopsida,Sapindales,Anacardiaceae,Tapirira guianensis,FALSE,FALSE
Aves,Trogoniformes,Trogonidae,Trogon ramonianus,FALSE,FALSE
Equisetopsida,Rosales,Moraceae,Trophis caucana,FALSE,FALSE
Reptilia,Sauria,Teiidae,Tupinambis teguixin,FALSE,FALSE
Equisetopsida,Dipsacales,Caprifoliaceae,Valeriana clematitis,FALSE,FALSE
Equisetopsida,Dipsacales,Caprifoliaceae,Valeriana chaerophylloides,FALSE,FALSE
Equisetopsida,Malpighiales,Salicaceae,Tetrathylacium macrophyllum,FALSE,FALSE
Equisetopsida,Malpighiales,Malpighiaceae,Stigmaphyllon argenteum,TRUE,FALSE
Aves,Passeriformes,Thraupidae,Tangara schrankii,FALSE,FALSE
Mammalia,Perissodactyla,Tapiridae,Tapirus terrestris,FALSE,FALSE
Equisetopsida,Commelinales,Haemodoraceae,Xiphidium caeruleum,FALSE,FALSE
Equisetopsida,Crossosomatales,Staphyleaceae,Turpinia occidentalis,FALSE,FALSE
Reptilia,Serpentes,Dipsadidae,Xenodon severus,FALSE,FALSE
Equisetopsida,Gentianales,Gentianaceae,Tachia occidentalis,FALSE,FALSE
Equisetopsida,Polypodiales,Thelypteridaceae,Thelypteris decussata var. decussata,FALSE,FALSE
Equisetopsida,Polypodiales,Dryopteridaceae,Stigmatopteris heterophlebia,FALSE,FALSE
Equisetopsida,Gentianales,Apocynaceae,Tabernaemontana sananho,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Xanthosoma undipes,FALSE,FALSE
Equisetopsida,Gentianales,Apocynaceae,Tabernaemontana cuspidata,FALSE,FALSE
Equisetopsida,Polypodiales,Thelypteridaceae,Thelypteris leprieurii,FALSE,FALSE
Equisetopsida,Polypodiales,Thelypteridaceae,Thelypteris membranacea,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Swartzia myrtifolia,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Zygia coccinea,FALSE,FALSE
Equisetopsida,Solanales,Solanaceae,Witheringia solanacea,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Stilpnia cyanicollis,FALSE,FALSE
Equisetopsida,Polypodiales,Thelypteridaceae,Thelypteris valdepilosa,FALSE,FALSE
Equisetopsida,Arecales,Arecaceae,Wettinia longipetala,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Theobroma grandiflorum,FALSE,FALSE
Equisetopsida,Arecales,Arecaceae,Wettinia augusta,FALSE,FALSE
Equisetopsida,Arecales,Arecaceae,Wendlandiella gracilis var. simplicifrons,FALSE,FALSE
Equisetopsida,Polypodiales,Tectariaceae,Tectaria incisa,FALSE,FALSE
Equisetopsida,Oxalidales,Cunoniaceae,Weinmannia pentaphylla,FALSE,FALSE
Equisetopsida,Polypodiales,Tectariaceae,Tectaria lizarzaburui,FALSE,FALSE
Equisetopsida,Oxalidales,Cunoniaceae,Weinmannia lentiscifolia,FALSE,FALSE
Equisetopsida,Gleicheniales,Gleicheniaceae,Sticherus bifidus,FALSE,FALSE
Equisetopsida,Sapindales,Anacardiaceae,Thyrsodium bolivianum,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Tilesia baccata,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Tilesia baccata var. discoidea,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Warszewiczia cordata,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Warszewiczia coccinea,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Tocoyena pittieri,FALSE,FALSE
Equisetopsida,Cycadales,Zamiaceae,Zamia poeppigiana,FALSE,TRUE
Equisetopsida,Celastrales,Celastraceae,Tontelea attenuata,FALSE,FALSE
Equisetopsida,Celastrales,Celastraceae,Tontelea coriacea,FALSE,FALSE
Equisetopsida,Celastrales,Celastraceae,Tontelea laxiflora,FALSE,FALSE
Equisetopsida,Celastrales,Celastraceae,Tontelea mauritioides,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Tournefortiopsis crispiflora,FALSE,FALSE
Equisetopsida,Malpighiales,Clusiaceae,Tovomita weddelliana,FALSE,FALSE
Equisetopsida,Commelinales,Commelinaceae,Tradescantia zanonia,FALSE,FALSE
Equisetopsida,Rosales,Cannabaceae,Trema micranthum,FALSE,FALSE
Equisetopsida,Gentianales,Gentianaceae,Symbolanthus calygonus,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tangara gyrola,FALSE,FALSE
Mammalia,Carnivora,Ursidae,Tremarctos ornatus,FALSE,TRUE
Equisetopsida,Sapindales,Meliaceae,Trichilia micrantha,FALSE,FALSE
Equisetopsida,Magnoliales,Myristicaceae,Virola pavonis,FALSE,FALSE
Equisetopsida,Sapindales,Meliaceae,Trichilia pallida,FALSE,FALSE
