Clase,Orden,Familia,Especie
Equisetopsida,Cycadales,Zamiaceae,"Zamia poeppigiana"
Mammalia,Carnivora,Ursidae,"Tremarctos ornatus"
Reptilia,Testudines,Podocnemididae,"Podocnemis unifilis"
Reptilia,Testudines,Podocnemididae,"Podocnemis sextuberculata"
Equisetopsida,Asparagales,Orchidaceae,"Epistephium duckei"
Reptilia,Testudines,Podocnemididae,"Podocnemis expansa"
Equisetopsida,Rosales,Cannabaceae,"Celtis iguanaea"
Aves,Accipitriformes,Accipitridae,"Morphnus guianensis"
Equisetopsida,Asparagales,Orchidaceae,"Sobralia virginalis"
Mammalia,Cetartiodactyla,Cervidae,"Pudu mephistophiles"
,,,
