Clase,Orden,Familia,Especie
Aves,Passeriformes,Furnariidae,"Synallaxis zimmeri"
Equisetopsida,Asparagales,Orchidaceae,"Telipogon papilio"
Equisetopsida,Buxales,Buxaceae,"Styloceras laurifolium"
Aves,Passeriformes,Furnariidae,"Synallaxis courseni"
Aves,Cathartiformes,Cathartidae,"Vultur gryphus"
Aves,Passeriformes,Furnariidae,"Cinclodes aricomae"
Equisetopsida,Asterales,Asteraceae,"Perezia coerulescens"
Equisetopsida,Sapindales,Meliaceae,"Cedrela lilloi"
Equisetopsida,Asparagales,Orchidaceae,"Masdevallia veitchiana"
Equisetopsida,Lamiales,Scrophulariaceae,"Buddleja montana"
Mammalia,Chiroptera,Vespertilionidae,"Eptesicus (Histiotus) velatus"
Mammalia,Cetartiodactyla,Cervidae,"Hippocamelus antisensis"
Equisetopsida,Asterales,Asteraceae,"Smallanthus glabratus"
Equisetopsida,Cucurbitales,Begoniaceae,"Begonia octopetala"
Equisetopsida,Asparagales,Orchidaceae,"Masdevallia barlaeana"
Equisetopsida,Asparagales,Orchidaceae,"Chloraea reticulata"
Equisetopsida,Poales,Bromeliaceae,"Puya herrerae"
Mammalia,Carnivora,Felidae,"Leopardus jacobitus"
Equisetopsida,Ephedrales,Ephedraceae,"Ephedra rupestris"
Mammalia,Chiroptera,Phyllostomidae,"Gardnerycteris koepckeae"
Aves,Tinamiformes,Tinamidae,"Nothoprocta taczanowskii"
,,,
