Clase,Orden,Familia,Especie,endemica,amenazada
Equisetopsida,Poales,Bromeliaceae,Tillandsia sagasteguii,FALSE,TRUE
Equisetopsida,Crossosomatales,Staphyleaceae,Turpinia occidentalis,FALSE,FALSE
Mammalia,Chiroptera,Molossidae,Tomopeas ravus,TRUE,TRUE
Aves,Passeriformes,Turdidae,Turdus reevei,FALSE,FALSE
Equisetopsida,Rosales,Urticaceae,Urera caracasana,FALSE,FALSE
Equisetopsida,Lamiales,Cordiaceae,Varronia curassavica,FALSE,FALSE
Mammalia,Rodentia,Cricetidae,Thomasomys pyrrhonotus,TRUE,TRUE
Equisetopsida,Brassicales,Caricaceae,Vasconcellea stipulata,FALSE,TRUE
Aves,Passeriformes,Turdidae,Turdus fuscater,FALSE,FALSE
Mammalia,Rodentia,Cricetidae,Thomasomys taczanowskii,TRUE,FALSE
Aves,Passeriformes,Turdidae,Turdus chiguanco,FALSE,FALSE
Equisetopsida,Polypodiales,Thelypteridaceae,Thelypteris patens var. smithiana,FALSE,FALSE
Equisetopsida,Polypodiales,Polypodiaceae,Thelypteris laevigata,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Vernonanthura patens,FALSE,FALSE
Equisetopsida,Ericales,Styracaceae,Styrax cordatus,FALSE,FALSE
Aves,Passeriformes,Passerellidae,Zonotrichia capensis,FALSE,FALSE
Equisetopsida,Dipsacales,Viburnaceae,Viburnum triphyllum,FALSE,FALSE
Mammalia,Carnivora,Ursidae,Tremarctos ornatus,FALSE,TRUE
Equisetopsida,Lamiales,Bignoniaceae,Tourrettia lappacea,FALSE,FALSE
Equisetopsida,Brassicales,Tropaeolaceae,Tropaeolum fintelmannii var. Olmosense,FALSE,TRUE
Equisetopsida,Malpighiales,Violaceae,Viola arguta,FALSE,FALSE
Equisetopsida,Malpighiales,Violaceae,Viola scandens,FALSE,FALSE
Equisetopsida,Lamiales,Bignoniaceae,Tabebuia chrysantha subsp. Meridionalis,FALSE,FALSE
Mammalia,Lagomorpha,Leporidae,Sylvilagus brasiliensis,FALSE,FALSE
Equisetopsida,Malpighiales,Malpighiaceae,Tetrapterys dillonii,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Sturnira bogotensis,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tangara vassorii,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Sturnira erythromos,FALSE,FALSE
Aves,Passeriformes,Troglodytidae,Troglodytes aedon,FALSE,FALSE
Equisetopsida,Boraginales,Heliotropiaceae,Tournefortia longifolia,TRUE,FALSE
Aves,Passeriformes,Furnariidae,Syndactyla ruficollis,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Tillandsia wurdackii,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Tillandsia tovarensis,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Trixis proustioides,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Vriesea cylindrica,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Triumfetta bogotensis,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Triumfetta althaeoides,FALSE,FALSE
Equisetopsida,Santalales,Loranthaceae,Tristerix longebracteatus,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Trichosalpinx amygdalodora,FALSE,FALSE
Equisetopsida,Dipsacales,Caprifoliaceae,Valeriana agrimonifolia,FALSE,FALSE
Equisetopsida,Malpighiales,Malpighiaceae,Stigmaphyllon bogotense,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Tillandsia rauhii,TRUE,FALSE
Equisetopsida,Oxalidales,Cunoniaceae,Weinmannia cymbifolia,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Tillandsia adpressa var. adpressa,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Tillandsia caerulea,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Tillandsia complanata,FALSE,FALSE
Equisetopsida,Polypodiales,Dryopteridaceae,Tectaria lizarzaburui,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Tillandsia disticha,FALSE,FALSE
Equisetopsida,Commelinales,Commelinaceae,Tradescantia cymbispatha,FALSE,FALSE
Insecta,Hymenoptera,Ichneumonidae,Enicospilus trilineatus,FALSE,FALSE
Equisetopsida,Polypodiales,Pteridaceae,Pityrogramma tartarea var. tartarea,FALSE,FALSE
