Clase,Orden,Familia,Especie
Equisetopsida,Poales,Bromeliaceae,"Tillandsia sagasteguii"
Equisetopsida,Crossosomatales,Staphyleaceae,"Turpinia occidentalis"
Mammalia,Chiroptera,Molossidae,"Tomopeas ravus"
Aves,Passeriformes,Turdidae,"Turdus reevei"
Equisetopsida,Rosales,Urticaceae,"Urera caracasana"
Equisetopsida,Lamiales,Cordiaceae,"Varronia curassavica"
Mammalia,Rodentia,Cricetidae,"Thomasomys pyrrhonotus"
Equisetopsida,Brassicales,Caricaceae,"Vasconcellea stipulata"
Aves,Passeriformes,Turdidae,"Turdus fuscater"
Mammalia,Rodentia,Cricetidae,"Thomasomys taczanowskii"
Aves,Passeriformes,Turdidae,"Turdus chiguanco"
Equisetopsida,Polypodiales,Thelypteridaceae,"Thelypteris patens var. smithiana"
Equisetopsida,Polypodiales,Polypodiaceae,"Thelypteris laevigata"
Equisetopsida,Asterales,Asteraceae,"Vernonanthura patens"
Equisetopsida,Ericales,Styracaceae,"Styrax cordatus"
Aves,Passeriformes,Passerellidae,"Zonotrichia capensis"
Equisetopsida,Dipsacales,Viburnaceae,"Viburnum triphyllum"
Mammalia,Carnivora,Ursidae,"Tremarctos ornatus"
Equisetopsida,Lamiales,Bignoniaceae,"Tourrettia lappacea"
Equisetopsida,Brassicales,Tropaeolaceae,"Tropaeolum fintelmannii var. Olmosense"
Equisetopsida,Malpighiales,Violaceae,"Viola arguta"
Equisetopsida,Malpighiales,Violaceae,"Viola scandens"
Equisetopsida,Lamiales,Bignoniaceae,"Tabebuia chrysantha subsp. Meridionalis"
Mammalia,Lagomorpha,Leporidae,"Sylvilagus brasiliensis"
Equisetopsida,Malpighiales,Malpighiaceae,"Tetrapterys dillonii"
Mammalia,Chiroptera,Phyllostomidae,"Sturnira bogotensis"
Aves,Passeriformes,Thraupidae,"Tangara vassorii"
Mammalia,Chiroptera,Phyllostomidae,"Sturnira erythromos"
Aves,Passeriformes,Troglodytidae,"Troglodytes aedon"
Equisetopsida,Boraginales,Heliotropiaceae,"Tournefortia longifolia"
Aves,Passeriformes,Furnariidae,"Syndactyla ruficollis"
Equisetopsida,Poales,Bromeliaceae,"Tillandsia wurdackii"
Equisetopsida,Poales,Bromeliaceae,"Tillandsia tovarensis"
Equisetopsida,Asterales,Asteraceae,"Trixis proustioides"
