Clase,Orden,Familia,Especie
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria arbuscula"
Amphibia,Anura,Craugastoridae,"Pristimantis katoptroides"
Aves,Passeriformes,Rhinocryptidae,"Scytalopus krabbei"
Aves,Passeriformes,Tyrannidae,"Euscarthmus fulviceps"
Equisetopsida,Rosales,Rosaceae,"Rubus glabratus"
Aves,Passeriformes,Tyrannidae,"Megarynchus pitangua"
Aves,Passeriformes,Fringillidae,"Chlorophonia cyanocephala"
Aves,Passeriformes,Fringillidae,"Chlorophonia cyanea"
Aves,Passeriformes,Grallariidae,"Grallaria carrikeri"
Equisetopsida,Santalales,Loranthaceae,"Oryctanthus alveolatus"
Aves,Piciformes,Picidae,"Dryobates affinis"
Equisetopsida,Gentianales,Rubiaceae,"Palicourea hospitalis"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum recurvitepalostachyum"
Aves,Passeriformes,Thraupidae,"Sporophila simplex"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum rigidum"
Aves,Cuculiformes,Cuculidae,"Crotophaga sulcirostris"
Mammalia,Carnivora,Felidae,"Panthera onca"
Equisetopsida,Lamiales,Lentibulariaceae,"Pinguicula involuta"
Aves,Cuculiformes,Cuculidae,"Piaya cayana"
Aves,Passeriformes,Thraupidae,"Sphenopsis frontalis"
Reptilia,Sauria,Dactyloidae,"Anolis soinii"
Equisetopsida,Asparagales,Orchidaceae,"Gomphichis valida"
Equisetopsida,Solanales,Solanaceae,"Solanum laevigatum"
Equisetopsida,Santalales,Santalaceae,"Dendrophthora lindeniana"
Aves,Passeriformes,Furnariidae,"Cranioleuca curtata"
Aves,Passeriformes,Tyrannidae,"Camptostoma obsoletum"
Aves,Piciformes,Picidae,"Colaptes rubiginosus"
Aves,Passeriformes,Thraupidae,"Coereba flaveola"
Aves,Passeriformes,Thraupidae,"Anisognathus somptuosus"
Equisetopsida,Gentianales,Gentianaceae,"Gentianella chlorantha"
Equisetopsida,Boraginales,Boraginaceae,"Moritzia lindenii"
Equisetopsida,Oxalidales,Oxalidaceae,"Oxalis lotoides"
Equisetopsida,Asparagales,Orchidaceae,"Fernandezia crystallina"
Equisetopsida,Ericales,Ericaceae,"Gualtheria myrsinoides"
Amphibia,Anura,Craugastoridae,"Pristimantis incomptus"
Aves,Passeriformes,Tyrannidae,"Phaeomyias murina"
Aves,Psittaciformes,Psittacidae,"Pionus sordidus"
Equisetopsida,Magnoliales,Annonaceae,"Cremastosperma oblongum"
Equisetopsida,Piperales,Piperaceae,"Peperomia boekei"
Aves,Trogoniformes,Trogonidae,"Pharomachrus auriceps"
Amphibia,Anura,Craugastoridae,"Oreobates colanensis"
Aves,Passeriformes,Troglodytidae,"Campylorhynchus turdinus"
Equisetopsida,Rosales,Urticaceae,"Pilea hydrocotyliflora"
Equisetopsida,Alismatales,Araceae,"Anthurium dillonii"
Aves,Passeriformes,Passerellidae,"Chlorospingus flavopectus"
Aves,Cuculiformes,Cuculidae,"Coccyzus melacoryphus"
Aves,Passeriformes,Icteridae,"Psarocolius angustifrons"
Aves,Passeriformes,Tyrannidae,"Mionectes striaticollis"
Aves,Passeriformes,Furnariidae,"Phacellodomus rufifrons"
Reptilia,Serpentes,Dipsadidae,"Dipsas catesbyi"
Equisetopsida,Ericales,Primulaceae,"Cybianthus marginatus"
Reptilia,Serpentes,Boidae,"Epicrates cenchria"
Aves,Passeriformes,Rhinocryptidae,"Scytalopus parvirostris"
Equisetopsida,Liliales,Alstroemeriaceae,"Bomarea endotrachys"
Aves,Accipitriformes,Accipitridae,"Geranoaetus polyosoma"
Aves,Cuculiformes,Cuculidae,"Crotophaga ani"
Aves,Passeriformes,Thraupidae,"Anisognathus igniventris"
Aves,Passeriformes,Icteridae,"Molothrus oryzivorus"
Aves,Passeriformes,Tyrannidae,"Myiozetetes similis"
Amphibia,Anura,Craugastoridae,"Pristimantis cuneirostris"
Aves,Columbiformes,Columbidae,"Patagioenas subvinacea"
Equisetopsida,Lycopodiales,Lycopodiaceae,"Huperzia brevifolia"
Equisetopsida,Ericales,Myrsinaceae,"Cybianthus incognitus"
Aves,Steatornithiformes,Steatornithidae,"Steatornis caripensis"
Equisetopsida,Asterales,Campanulaceae,"Siphocampylus jelskii"
Equisetopsida,Cyatheales,Cyatheaceae,"Cyathea straminea"
Equisetopsida,Lycopodiales,Lycopodiaceae,"Lycopodiella alopecuroides"
Reptilia,Sauria,Sphaerodactylidae,"Pseudogonatodes peruvianus"
Equisetopsida,Hymenophyllales,Hymenophyllaceae,"Hymenophyllum tegularis"
Aves,Passeriformes,Grallariidae,"Grallaria rufula"
Aves,Coraciiformes,Momotidae,"Momotus aequatorialis"
Aves,Passeriformes,Fringillidae,"Spinus psaltria"
Equisetopsida,Asparagales,Orchidaceae,"Maxillaria jamesonii"
Aves,Passeriformes,Furnariidae,"Premnornis guttuliger"
Aves,Passeriformes,Parulidae,"Basileuterus tristriatus"
Amphibia,Anura,Hylidae,"Osteocephalus festae"
Equisetopsida,Lamiales,Cordiaceae,"Cordia saccellia"
Equisetopsida,Liliales,Alstroemeriaceae,"Bomarea multiflora"
Equisetopsida,Alismatales,Tofieldiaceae,"Harperocallis falcata"
Equisetopsida,Asterales,Asteraceae,"Pentacalia cutervonis"
Equisetopsida,Poales,Bromeliaceae,"Puya cajasensis"
Equisetopsida,Proteales,Sabiaceae,"Meliosma pumila"
Equisetopsida,Malvales,Malvaceae,"Ayenia peregrina"
Aves,Passeriformes,Thraupidae,"Sporophila telasco"
Aves,Passeriformes,Tyrannidae,"Hemitriccus granadensis"
Equisetopsida,Ericales,Clethraceae,"Clethra ovalifolia"
Equisetopsida,Piperales,Piperaceae,"Peperomia connixa"
Amphibia,Anura,Hylidae,"Hypsiboas fasciatus"
Aves,Passeriformes,Tyrannidae,"Phylloscartes ophthalmicus"
Aves,Passeriformes,Corvidae,"Cyanolyca viridicyanus"
Equisetopsida,Liliales,Alstroemeriaceae,"Bomarea setacea"
Equisetopsida,Ericales,Ericaceae,"Gaultheria reticulata"
Equisetopsida,Myrtales,Melastomataceae,"Miconia neriifolia"
Amphibia,Anura,Bufonidae,"Rhinella arborescandens"
Amphibia,Anura,Craugastoridae,"Pristimantis atrabracus"
Equisetopsida,Poales,Bromeliaceae,"Deuterocohnia longipetala"
Equisetopsida,Asterales,Campanulaceae,"Lysipomia gracilis"
Aves,Passeriformes,Thraupidae,"Chalcothraupis ruficervix"
Aves,Apodiformes,Trochilidae,"Metallura theresiae"
Reptilia,Serpentes,Dipsadidae,"Erythrolamprus guentheri"
Reptilia,Serpentes,Dipsadidae,"Erythrolamprus janaleeae"
Equisetopsida,Podocarpales,Podocarpaceae,"Podocarpus oleifolius var. oleifolius"
Amphibia,Anura,Craugastoridae,"Pristimantis rhodostichus"
Equisetopsida,Polypodiales,Dryopteridaceae,"Elaphoglossum mickeliorum"
Aves,Passeriformes,Troglodytidae,"Pheugopedius sclateri"
Equisetopsida,Polypodiales,Pteridaceae,"Jamesonia imbricata var. glutinosa"
Aves,Passeriformes,Thraupidae,"Creurgops verticalis"
Equisetopsida,Poales,Eriocaulaceae,"Paepalanthus pilosus"
Equisetopsida,Alismatales,Araceae,"Anthurium barbourii"
Aves,Piciformes,Picidae,"Picumnus lafresnayi"
Aves,Passeriformes,Corvidae,"Cyanocorax yncas"
Aves,Strigiformes,Strigidae,"Glaucidium jardinii"
Aves,Passeriformes,Fringillidae,"Euphonia xanthogaster"
Aves,Passeriformes,Fringillidae,"Euphonia mesochrysa"
Equisetopsida,Ericales,Primulaceae,"Myrsine dilloniana"
Amphibia,Anura,Centrolenidae,"Centrolene lemniscatum"
Aves,Apodiformes,Trochilidae,"Colibri coruscans"
Aves,Passeriformes,Vireonidae,"Cyclarhis gujanensis"
Equisetopsida,Ericales,Primulaceae,"Myrsine dependens"
Equisetopsida,Polypodiales,Blechnaceae,"Blechnum auratum subsp. auratum"
Aves,Passeriformes,Fringillidae,"Spinus olivaceus"
Aves,Apodiformes,Trochilidae,"Colibri cyanotus"
Equisetopsida,Ericales,Ericaceae,"Disterigma acuminatum"
Aves,Passeriformes,Tyrannidae,"Phyllomyias uropygialis"
Aves,Passeriformes,Hirundinidae,"Pygochelidon cyanoleuca"
Equisetopsida,Polypodiales,Dryopteridaceae,"Elaphoglossum pachyrrhizum"
Amphibia,Anura,Craugastoridae,"Pristimantis corrugatus"
Equisetopsida,Brassicales,Capparaceae,"Morisonia flexuosa"
Aves,Accipitriformes,Accipitridae,"Rupornis magnirostris"
Equisetopsida,Polypodiales,Blechnaceae,"Blechnum auratum subsp. columbiense"
Equisetopsida,Geraniales,Geraniaceae,"Geranium sibbaldioides"
Aves,Accipitriformes,Accipitridae,"Spizaetus isidori"
Aves,Psittaciformes,Psittacidae,"Psittacara leucophthalmus"
Aves,Passeriformes,Tityridae,"Pachyramphus albogriseus"
Equisetopsida,Asterales,Asteraceae,"Mikania brachyphylla"
Equisetopsida,Malpighiales,Euphorbiaceae,"Croton adipatus"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum chondrochilum"
Aves,Passeriformes,Cotingidae,"Rupicola peruvianus"
Equisetopsida,Polypodiales,Aspleniaceae,"Asplenium sulcatum"
Aves,Passeriformes,Passerellidae,"Atlapetes latinuchus"
Equisetopsida,Lamiales,Orobanchaceae,"Neobartsia trichophylla"
Equisetopsida,Asterales,Asteraceae,"Gynoxys colanensis"
Aves,Passeriformes,Thraupidae,"Iridosornis reinhardti"
Aves,Passeriformes,Pipridae,"Lepidothrix isidorei"
Reptilia,Serpentes,Viperidae,"Bothrocophias microphthalmus"
Aves,Apodiformes,Trochilidae,"Eriocnemis aline"
Aves,Passeriformes,Furnariidae,"Asthenes fuliginosa"
Equisetopsida,Myrtales,Onagraceae,"Fuchsia llewelynii"
Aves,Apodiformes,Trochilidae,"Phaethornis guy"
Reptilia,Serpentes,Viperidae,"Bothrops pulcher"
Aves,Passeriformes,Turdidae,"Myadestes ralloides"
Equisetopsida,Gentianales,Rubiaceae,"Nertera granadensis"
Equisetopsida,Gentianales,Rubiaceae,"Arcytophyllum setosum"
Equisetopsida,Oxalidales,Oxalidaceae,"Oxalis scandens"
Equisetopsida,Gentianales,Rubiaceae,"Palicourea herrerae"
Aves,Apodiformes,Trochilidae,"Heliodoxa leadbeateri"
Equisetopsida,Selaginellales,Selaginellaceae,"Selaginella hartwegiana"
Aves,Apodiformes,Trochilidae,"Adelomyia melanogenys"
Equisetopsida,Ranunculales,Berberidaceae,"Berberis tomentosa"
Equisetopsida,Solanales,Solanaceae,"Solanum hutchisonii"
