Clase,Orden,Familia,Especie
Mammalia,Chiroptera,Phyllostomidae,"Lonchophylla hesperia"
Mammalia,Chiroptera,Phyllostomidae,"Lophostoma occidentalis"
Equisetopsida,Asparagales,Orchidaceae,"Aspasia psittacina"
Mammalia,Chiroptera,Phyllostomidae,"Artibeus ravus"
Equisetopsida,Sapindales,Anacardiaceae,"Loxopterygium huasango"
Reptilia,Sauria,Polychrotidae,"Polychrus femoralis"
Aves,Passeriformes,Tyrannidae,"Lathrotriccus griseipectus"
Aves,Passeriformes,Onychorhynchidae,"Onychorhynchus coronatus"
Aves,Accipitriformes,Accipitridae,"Pseudastur occidentalis"
Equisetopsida,Sapindales,Meliaceae,"Cedrela fissilis"
Equisetopsida,Sapindales,Burseraceae,"Bursera graveolens"
Mammalia,Chiroptera,Phyllostomidae,"Platyrrhinus matapalensis"
Aves,Galliformes,Cracidae,"Ortalis erythroptera"
Mammalia,Didelphimorphia,Didelphidae,"Marmosa (Exulomarmosa) simonsi"
Aves,Passeriformes,Thamnophilidae,"Ampelornis griseiceps"
Equisetopsida,Sapindales,Meliaceae,"Cedrela odorata"
Amphibia,Anura,Ceratophryidae,"Ceratophrys stolzmanni"
Equisetopsida,Fabales,Fabaceae,"Neltuma pallida"
Equisetopsida,Apiales,Araliaceae,"Aralia soratensis"
Mammalia,Chiroptera,Vespertilionidae,"Rhogeessa velilla"
Aves,Psittaciformes,Psittacidae,"Brotogeris pyrrhoptera"
Equisetopsida,Fabales,Fabaceae,"Myroxylon peruiferum"
Equisetopsida,Sapindales,Meliaceae,"Cedrela angustifolia"
Mammalia,Didelphimorphia,Didelphidae,"Marmosa (Micoureus) perplexa"
Amphibia,Anura,Dendrobatidae,"Hyloxalus elachyhistus"
Reptilia,Serpentes,Viperidae,"Bothrops barnetti"
Aves,Columbiformes,Columbidae,"Leptotila ochraceiventris"
Aves,Passeriformes,Tityridae,"Pachyramphus spodiurus"
Reptilia,Crocodylia,Crocodylidae,"Crocodylus acutus"
Aves,Passeriformes,Furnariidae,"Clibanornis erythrocephalus"
Equisetopsida,Rosales,Cannabaceae,"Celtis iguanaea"
Aves,Passeriformes,Tyrannidae,"Attila torridus"
Aves,Passeriformes,Fringillidae,"Spinus siemiradzkii"
Amphibia,Anura,Ranidae,"Lithobates bwana"
Equisetopsida,Asparagales,Orchidaceae,"Cattleya maxima"
Equisetopsida,Malvales,Bixaceae,"Cochlospermum vitifolium"
Mammalia,Primates,Atelidae,"Alouatta palliata"
Aves,Passeriformes,Furnariidae,"Synallaxis tithys"
Equisetopsida,Brassicales,Tropaeolaceae,"Tropaeolum fintelmannii"
Aves,Cathartiformes,Cathartidae,"Vultur gryphus"
Equisetopsida,Cycadales,Zamiaceae,"Zamia poeppigiana"
,,,
