Clase,Orden,Familia,Especie
Equisetopsida,Malvales,Malvaceae,"Abutilon pedunculare"
Equisetopsida,Myrtales,Myrtaceae,"Psidium rostratum"
Reptilia,Sauria,Teiidae,"Medopheos edracanthus"
Equisetopsida,Solanales,Convolvulaceae,"Cuscuta paitana"
Equisetopsida,Apiales,Apiaceae,"Eremocharis longiramea"
Equisetopsida,Gentianales,Rubiaceae,"Faramea vasquezii"
Equisetopsida,Boraginales,Heliotropiaceae,"Heliotropium ferreyrae"
Equisetopsida,Solanales,Solanaceae,"Exodeconus prostratus"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria divaricata"
Equisetopsida,Caryophyllales,Polygonaceae,"Ruprechtia peruviana"
Equisetopsida,Sapindales,Rutaceae,"Dictyoloma vandellianum"
Equisetopsida,Dioscoreales,Dioscoreaceae,"Dioscorea gentryi"
Equisetopsida,Laurales,Lauraceae,"Ocotea piurensis"
Equisetopsida,Dioscoreales,Dioscoreaceae,"Dioscorea moyobambensis"
Reptilia,Serpentes,Viperidae,"Bothrops barnetti"
Equisetopsida,Piperales,Piperaceae,"Peperomia strawii"
Equisetopsida,Celastrales,Celastraceae,"Schaefferia serrata"
Equisetopsida,Celastrales,Celastraceae,"Maytenus durifolia"
Equisetopsida,Ericales,Polemoniaceae,"Cobaea flava"
Reptilia,Serpentes,Colubridae,"Mastigodryas heathii"
Equisetopsida,Malpighiales,Euphorbiaceae,"Croton churumayensis"
Equisetopsida,Malpighiales,Erythroxylaceae,"Erythroxylum pacificum"
Equisetopsida,Malpighiales,Oleaceae,"Schrebera americana"
Equisetopsida,Fabales,Fabaceae,"Coursetia tumbezensis"
Aves,Passeriformes,Tyrannidae,"Zimmerius viridiflavus"
,,,
