Clase,Orden,Familia,Especie
Mammalia,Cingulata,Dasypodidae,"Dasypus pilosus"
Aves,Psittaciformes,Psittacidae,"Hapalopsittaca melanotis"
Mammalia,Rodentia,Dinomyidae,"Dinomys branickii"
Equisetopsida,Asterales,Asteraceae,"Gynoxys cuzcoensis"
Mammalia,Didelphimorphia,Didelphidae,"Marmosops (Sciophanes) juninensis"
Aves,Galliformes,Cracidae,"Aburria aburri"
Mammalia,Rodentia,Cricetidae,"Akodon orophilus"
Mammalia,Pilosa,Myrmecophagidae,"Myrmecophaga tridactyla"
Aves,Passeriformes,Passerellidae,"Atlapetes melanopsis"
Mammalia,Rodentia,Cricetidae,"Thomasomys incanus"
Mammalia,Carnivora,Ursidae,"Tremarctos ornatus"
Aves,Cathartiformes,Cathartidae,"Vultur gryphus"
,,,
