Clase,Orden,Familia,Especie
Mammalia,Cingulata,Dasypodidae,"Dasypus pilosus"
Equisetopsida,Laurales,Lauraceae,"Ocotea raymondiana"
Mammalia,Rodentia,Dasyproctidae,"Dasyprocta kalinowskii"
Equisetopsida,Ranunculales,Ranunculaceae,"Ranunculus luxurians"
Equisetopsida,Asparagales,Orchidaceae,"Crossoglossa puipuiensis"
Aves,Passeriformes,Rhinocryptidae,"Scytalopus femoralis"
Equisetopsida,Ranunculales,Ranunculaceae,"Ranunculus weberbaueri"
Equisetopsida,Asterales,Asteraceae,"Gynoxys cuzcoensis"
Aves,Passeriformes,Rhinocryptidae,"Scytalopus frankeae"
Mammalia,Didelphimorphia,Didelphidae,"Marmosops (Sciophanes) juninensis"
Equisetopsida,Fabales,Polygalaceae,"Monnina conferta"
Equisetopsida,Rosales,Rosaceae,"Polylepis rodolfo-vasquezii"
Aves,Passeriformes,Tyrannidae,"Leptopogon taczanowskii"
Mammalia,Cetartiodactyla,Cervidae,"Pudella carlae"
Equisetopsida,Asterales,Asteraceae,"Nordenstamia valenzuelae"
Mammalia,Rodentia,Cricetidae,"Akodon orophilus"
Aves,Passeriformes,Cotingidae,"Pipreola pulchra"
Mammalia,Rodentia,Sciuridae,"Hadrosciurus pyrrhinus"
Aves,Apodiformes,Trochilidae,"Elliotomyia viridicauda"
Aves,Passeriformes,Rhinocryptidae,"Scytalopus macropus"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum trullatum"
Equisetopsida,Solanales,Solanaceae,"Deprea oxampampensis"
Equisetopsida,Asparagales,Orchidaceae,"Brachionidium puipuiensis"
Mammalia,Rodentia,Cricetidae,"Oecomys phaeotis"
Aves,Passeriformes,Troglodytidae,"Cinnycerthia peruana"
Aves,Passeriformes,Passerellidae,"Atlapetes melanopsis"
Aves,Passeriformes,Furnariidae,"Asthenes palpebralis"
Aves,Apodiformes,Trochilidae,"Heliodoxa branickii"
Aves,Apodiformes,Trochilidae,"Metallura eupogon"
Mammalia,Rodentia,Cricetidae,"Akodon torques"
Mammalia,Rodentia,Cricetidae,"Thomasomys notatus"
Mammalia,Rodentia,Cricetidae,"Thomasomys incanus"
Aves,Passeriformes,Tyrannidae,"Zimmerius viridiflavus"
,,,
