Clase,Orden,Familia,Especie
Mammalia,Carnivora,Ursidae,"Tremarctos ornatus"
Equisetopsida,Asparagales,Orchidaceae,"Warczewiczella amazonica"
Equisetopsida,Sapindales,Meliaceae,"Swietenia macrophylla"
Equisetopsida,Asparagales,Orchidaceae,"Rodriguezia satipoana"
Equisetopsida,Asparagales,Orchidaceae,"Masdevallia kuhniorum"
Mammalia,Primates,Atelidae,"Ateles chamek"
Equisetopsida,Fabales,Fabaceae,"Amburana cearensis"
Equisetopsida,Asparagales,Orchidaceae,"Masdevallia constricta"
Mammalia,Rodentia,Dinomyidae,"Dinomys branickii"
Equisetopsida,Asparagales,Orchidaceae,"Masdevallia concinna"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum criniferum"
Aves,Galliformes,Cracidae,"Aburria aburri"
Amphibia,Anura,Hylidae,"Hyloscirtus phyllognathus"
Equisetopsida,Rosales,Cannabaceae,"Celtis iguanaea"
Equisetopsida,Asparagales,Orchidaceae,"Gongora latisepala"
Amphibia,Anura,Centrolenidae,"Nymphargus mariae"
Equisetopsida,Asparagales,Orchidaceae,"Benzingia jarae"
Equisetopsida,Sapindales,Meliaceae,"Cedrela odorata"
Equisetopsida,Sapindales,Meliaceae,"Cedrela fissilis"
Equisetopsida,Sapindales,Meliaceae,"Cedrela angustifolia"
Equisetopsida,Fabales,Fabaceae,"Myroxylon peruiferum"
Equisetopsida,Rosales,Rosaceae,"Prunus ruiziana"
Mammalia,Primates,Cebidae,"Aotus miconax"
Aves,Psittaciformes,Psittacidae,"Ara militaris"
Equisetopsida,Asparagales,Orchidaceae,"Stanhopea candida"
Equisetopsida,Asparagales,Orchidaceae,"Mormodes warszewiczii"
Aves,Passeriformes,Parulidae,"Setophaga cerulea"
Equisetopsida,Arecales,Arecaceae,"Mauritia carana"
Aves,Psittaciformes,Psittacidae,"Primolius couloni"
Equisetopsida,Asparagales,Orchidaceae,"Lycaste macrophylla"
Equisetopsida,Sapindales,Meliaceae,"Ruagea glabra"
Equisetopsida,Asparagales,Orchidaceae,"Oncidium fuscatum"
,,,
