Clase,Orden,Familia,Especie,endemica,amenazada
Aves,Passeriformes,Grallariidae,Grallaria andicolus,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Cinclodes atacamensis,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Parabuteo unicinctus,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Poa calycina var. calycina,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Muscisaxicola cinereus,FALSE,FALSE
Mammalia,Cetartiodactyla,Cervidae,Odocoileus peruvianus,FALSE,FALSE
Equisetopsida,Dicranales,Dicranaceae,Campylopus fragilis,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Muscisaxicola alpinus,FALSE,FALSE
Equisetopsida,Bartramiales,Bartramiaceae,Philonotis scabrifolia,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Cinnagrostis vicunarum,FALSE,FALSE
Aves,Passeriformes,Hirundinidae,Hirundo rustica,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Circus cinereus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Muscisaxicola albilora,FALSE,FALSE
Equisetopsida,Poales,Juncaceae,Luzula racemosa,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Oreotrochilus estella,FALSE,FALSE
Aves,Anseriformes,Anatidae,Anas flavirostris,FALSE,FALSE
Mammalia,Carnivora,Felidae,Puma concolor,FALSE,FALSE
Aves,Passeriformes,Fringillidae,Spinus uropygialis,FALSE,FALSE
Mammalia,Carnivora,Felidae,Leopardus garleppi,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Muscisaxicola albifrons,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Festuca dolichophylla,FALSE,FALSE
Equisetopsida,Polypodiales,Polypodiaceae,Grammitis gracilis,TRUE,FALSE
Aves,Columbiformes,Columbidae,Metriopelia melanoptera,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Sicalis olivascens,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Oreotrochilus melanogaster,TRUE,FALSE
Mammalia,Carnivora,Felidae,Leopardus jacobitus,FALSE,TRUE
Aves,Passeriformes,Thraupidae,Sicalis uropygialis,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Geranoaetus polyosoma,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Parastrephia lucida,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Poa serpana,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Sicalis raimondii,TRUE,FALSE
Aves,Passeriformes,Thraupidae,Catamenia inornata,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Idiopsar speculiger,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Ochthoeca oenanthoides,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Geositta cunicularia,FALSE,FALSE
Aves,Anseriformes,Anatidae,Oressochen melanopterus,FALSE,FALSE
Aves,Tinamiformes,Tinamidae,Nothoprocta pentlandii,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Geospizopsis plebejus,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Agrostis breviculmis,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Geositta saxicolina,TRUE,FALSE
Aves,Passeriformes,Furnariidae,Geocerthia serrana,TRUE,FALSE
Equisetopsida,Poales,Poaceae,Aciachne pulvinata,FALSE,FALSE
Aves,Anseriformes,Anatidae,Lophonetta specularioides,FALSE,FALSE
Mammalia,Rodentia,Caviidae,Cavia tschudii,FALSE,FALSE
Equisetopsida,Hypnales,Lepyrodontaceae,Lepyrodon tomentosus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Muscisaxicola rufivertex,FALSE,FALSE
Equisetopsida,Dicranales,Dicranaceae,Cynodontium erosum,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Hordeum muticum,FALSE,FALSE
Equisetopsida,Poales,Cyperaceae,Carex ecuadorica,FALSE,FALSE
Aves,Charadriiformes,Laridae,Chroicocephalus serranus,FALSE,FALSE
Aves,Anseriformes,Anatidae,Anas georgica,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Asthenes wyatti,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Phrygilus punensis,FALSE,FALSE
Aves,Anseriformes,Anatidae,Oxyura jamaicensis,FALSE,FALSE
