Clase,Orden,Familia,Especie
Equisetopsida,Zingiberales,Marantaceae,"Goeppertia pseudoveitchiana"
Equisetopsida,Lamiales,Gesneriaceae,"Besleria emendata"
Equisetopsida,Lamiales,Gesneriaceae,"Besleria capitata"
Aves,Passeriformes,Icteridae,"Cacicus koepckeae"
Equisetopsida,Magnoliales,Annonaceae,"Guatteria modesta"
Aves,Apodiformes,Trochilidae,"Heliodoxa branickii"
Aves,Passeriformes,Tyrannidae,"Poecilotriccus pulchellus"
Mammalia,Didelphimorphia,Didelphidae,"Marmosa (Marmosa) macrotarsus"
Equisetopsida,Fabales,Fabaceae,"Dimorphandra loretensis"
Equisetopsida,Arecales,Arecaceae,"Astrocaryum huicungo"
Equisetopsida,Alismatales,Araceae,"Philodendron killipii"
Equisetopsida,Pandanales,Cyclanthaceae,"Asplundia ulei"
Equisetopsida,Alismatales,Araceae,"Filarum manserichense"
Equisetopsida,Lamiales,Gesneriaceae,"Nautilocalyx bullatus"
Aves,Passeriformes,Pipridae,"Lepidothrix coeruleocapilla"
Equisetopsida,Gentianales,Rubiaceae,"Cinchona micrantha"
Equisetopsida,Asparagales,Orchidaceae,"Maxillaria infausta"
Equisetopsida,Asparagales,Orchidaceae,"Maxillaria scorpioidea"
Aves,Apodiformes,Trochilidae,"Phaethornis koepckeae"
,,,
