Clase,Orden,Familia,Especie
Aves,Pelecaniformes,Pelecanidae,"Pelecanus thagus"
Reptilia,Testudines,Cheloniidae,"Chelonia mydas"
Aves,Charadriiformes,Laridae,"Larosterna inca"
Reptilia,Testudines,Dermochelyidae,"Dermochelys coriacea"
Aves,Procellariiformes,Procellariidae,"Pterodroma phaeopygia"
Mammalia,Carnivora,Otariidae,"Otaria flavescens"
Reptilia,Testudines,Cheloniidae,"Eretmochelys imbricata"
Aves,Passeriformes,Hirundinidae,"Progne murphyi"
Mammalia,Carnivora,Otariidae,"Arctocephalus australis"
Aves,Procellariiformes,Procellariidae,"Ardenna creatopus"
Aves,Procellariiformes,Procellariidae,"Procellaria westlandica"
Reptilia,Testudines,Cheloniidae,"Lepidochelys olivacea"
Aves,Sphenisciformes,Spheniscidae,"Spheniscus humboldti"
Aves,Suliformes,Phalacrocoracidae,"Phalacrocorax gaimardi"
Aves,Procellariiformes,Diomedeidae,"Phoebastria irrorata"
Aves,Suliformes,Sulidae,"Sula variegata"
Aves,Suliformes,Sulidae,"Sula granti"
,,,
