Clase,Orden,Familia,Especie
Equisetopsida,Arecales,Arecaceae,"Wettinia longipetala"
Equisetopsida,Arecales,Arecaceae,"Wettinia augusta"
Equisetopsida,Arecales,Arecaceae,"Wendlandiella gracilis var. simplicifrons"
Equisetopsida,Arecales,Arecaceae,"Bactris macroacantha"
Equisetopsida,Arecales,Arecaceae,"Chamaedorea glaucifolia"
Equisetopsida,Arecales,Arecaceae,"Iriartea deltoidea"
Equisetopsida,Arecales,Arecaceae,"Chamaedorea linearis"
Equisetopsida,Arecales,Arecaceae,"Iriartella setigera"
Equisetopsida,Arecales,Arecaceae,"Chamaedorea pinnatifrons"
Equisetopsida,Arecales,Arecaceae,"Iriartella stenocarpa"
Equisetopsida,Arecales,Arecaceae,"Pholidostachys synanthera subsp. synanthera"
Equisetopsida,Arecales,Arecaceae,"Geonoma stricta subsp. submontana"
Equisetopsida,Arecales,Arecaceae,"Hyospathe elegans subsp. elegans"
Equisetopsida,Arecales,Arecaceae,"Hyospathe elegans"
Equisetopsida,Arecales,Arecaceae,"Euterpe precatoria"
Equisetopsida,Arecales,Arecaceae,"Geonoma stricta subsp. arundinacea"
Equisetopsida,Arecales,Arecaceae,"Chelyocarpus ulei"
Equisetopsida,Arecales,Arecaceae,"Geonoma orbignyana subsp. orbignyana"
Equisetopsida,Arecales,Arecaceae,"Geonoma maxima"
Equisetopsida,Arecales,Arecaceae,"Bactris acanthocarpa"
Equisetopsida,Arecales,Arecaceae,"Geonoma macrostachys"
Equisetopsida,Arecales,Arecaceae,"Geonoma leptospadix"
Equisetopsida,Arecales,Arecaceae,"Geonoma deversa"
Equisetopsida,Arecales,Arecaceae,"Geonoma brongniartii subsp. pascoensis"
Equisetopsida,Arecales,Arecaceae,"Phytelephas macrocarpa"
Equisetopsida,Arecales,Arecaceae,"Bactris simplicifrons"
Equisetopsida,Arecales,Arecaceae,"Socratea salazarii"
Equisetopsida,Arecales,Arecaceae,"Geonoma sanmartinensis"
Equisetopsida,Arecales,Arecaceae,"Geonoma orbignyana"
