Clase,Orden,Familia,Especie
Equisetopsida,Poales,Poaceae,"Zea mays"
Equisetopsida,Malvales,Malvaceae,"Waltheria ovata"
Equisetopsida,Asterales,Asteraceae,"Tessaria integrifolia"
Equisetopsida,Solanales,Convolvulaceae,"Ipomoea batatas"
Equisetopsida,Malpighiales,Euphorbiaceae,"Ricinus communis"
Equisetopsida,Malpighiales,Salicaceae,"Salix humboldtiana"
Equisetopsida,Poales,Cyperaceae,"Eleocharis geniculata"
Equisetopsida,Poales,Cyperaceae,"Cyperus rotundus"
Equisetopsida,Myrtales,Myrtaceae,"Psidium guajava"
Equisetopsida,Fabales,Fabaceae,"Mimosa pigra var. pigra"
Equisetopsida,Caryophyllales,Portulacaceae,"Portulaca oleracea"
Equisetopsida,Lamiales,Plantaginaceae,"Bacopa monnieri"
Equisetopsida,Malpighiales,Passifloraceae,"Passiflora edulis"
Equisetopsida,Poales,Poaceae,"Distichlis spicata"
Equisetopsida,Boraginales,Heliotropiaceae,"Heliotropium curassavicum"
Equisetopsida,Myrtales,Onagraceae,"Ludwigia octovalvis"
Equisetopsida,Fabales,Fabaceae,"Inga feuillei"
Equisetopsida,Poales,Poaceae,"Chloris halophila"
Equisetopsida,Poales,Poaceae,"Phragmites australis"
Equisetopsida,Laurales,Lauraceae,"Ocotea raymondiana"
Equisetopsida,Lycopodiales,Lycopodiaceae,"Huperzia weberbaueri"
Equisetopsida,Solanales,Solanaceae,"Solanum aloysiifolium"
Equisetopsida,Malpighiales,Passifloraceae,"Passiflora mixta"
Equisetopsida,Ranunculales,Ranunculaceae,"Ranunculus luxurians"
Equisetopsida,Ranunculales,Ranunculaceae,"Ranunculus weberbaueri"
Equisetopsida,Ericales,Ebenaceae,"Lissocarpa ronliesneri"
Equisetopsida,Lamiales,Verbenaceae,"Citharexylum dentatum"
Equisetopsida,Laurales,Lauraceae,"Nectandra hihua"
Equisetopsida,Polypodiales,Dryopteridaceae,"Elaphoglossum peltatum"
Equisetopsida,Polypodiales,Polypodiaceae,"Campyloneurum amphostenon"
Equisetopsida,Solanales,Solanaceae,"Solanum aureum"
Equisetopsida,Poales,Poaceae,"Muhlenbergia peruviana"
Equisetopsida,Solanales,Solanaceae,"Solanum ternatum"
Equisetopsida,Zingiberales,Costaceae,"Costus spiralis"
Equisetopsida,Solanales,Solanaceae,"Solanum callianthum"
Equisetopsida,Poales,Poaceae,"Cinnagrostis rigida"
Equisetopsida,Asterales,Asteraceae,"Gynoxys cuzcoensis"
Equisetopsida,Polypodiales,Dryopteridaceae,"Elaphoglossum lloense"
Equisetopsida,Poales,Poaceae,"Isachne arundinacea"
Equisetopsida,Poales,Bromeliaceae,"Pepinia werffii"
Equisetopsida,Alismatales,Araceae,"Anthurium aldavei"
Equisetopsida,Poales,Poaceae,"Agrostis breviculmis"
Equisetopsida,Rosales,Rosaceae,"Polylepis rocio-rojasii"
Equisetopsida,Fabales,Polygalaceae,"Monnina conferta"
Equisetopsida,Rosales,Rosaceae,"Polylepis rodolfo-vasquezii"
Equisetopsida,Piperales,Piperaceae,"Peperomia hartwegiana"
Equisetopsida,Poales,Poaceae,"Jarava ichu"
Equisetopsida,Alismatales,Araceae,"Anthurium versicolor"
Equisetopsida,Poales,Juncaceae,"Juncus arcticus"
Equisetopsida,Alismatales,Araceae,"Stenospermation zeacarpium"
Equisetopsida,Solanales,Solanaceae,"Saracha punctata"
Equisetopsida,Solanales,Solanaceae,"Salpichroa glandulosa"
Equisetopsida,Asterales,Asteraceae,"Nordenstamia valenzuelae"
Equisetopsida,Apiales,Apiaceae,"Niphogeton dissecta"
Equisetopsida,Gentianales,Rubiaceae,"Palicourea lineata"
Equisetopsida,Poales,Poaceae,"Anthoxanthum odoratum"
Equisetopsida,Lamiales,Orobanchaceae,"Neobartsia weberbaueri"
Equisetopsida,Piperales,Piperaceae,"Piper acutifolium"
Equisetopsida,Polypodiales,Dryopteridaceae,"Polystichopsis macrostegia"
Equisetopsida,Gentianales,Rubiaceae,"Pimentelia glomerata"
Equisetopsida,Oxalidales,Oxalidaceae,"Oxalis dombeyi"
Equisetopsida,Cucurbitales,Cucurbitaceae,"Gurania eriantha"
Equisetopsida,Ericales,Ericaceae,"Disterigma pernettyoides"
Equisetopsida,Gentianales,Rubiaceae,"Arcytophyllum filiforme"
Equisetopsida,Polypodiales,Polypodiaceae,"Campyloneurum solutum"
Equisetopsida,Poales,Poaceae,"Cinnagrostis heterophylla"
Equisetopsida,Polypodiales,Dryopteridaceae,"Elaphoglossum moorei"
Equisetopsida,Myrtales,Melastomataceae,"Miconia rotundifolia"
Equisetopsida,Polypodiales,Polypodiaceae,"Microgramma percussa"
Equisetopsida,Solanales,Solanaceae,"Deprea oxampampensis"
Equisetopsida,Poales,Juncaceae,"Luzula racemosa"
Equisetopsida,Poales,Cyperaceae,"Carex rostrata var. rostrata"
Equisetopsida,Solanales,Solanaceae,"Cestrum schlechtendalii"
Equisetopsida,Gentianales,Rubiaceae,"Palicourea falcata"
Equisetopsida,Poales,Bromeliaceae,"Cipuropsis delicatula"
Equisetopsida,Fabales,Fabaceae,"Amicia lobbiana"
Equisetopsida,Asterales,Asteraceae,"Austroeupatorium inulaefolium"
Equisetopsida,Poales,Poaceae,"Cinnagrostis vicunarum"
Equisetopsida,Asterales,Asteraceae,"Clibadium surinamense"
Equisetopsida,Asterales,Asteraceae,"Oritrophium repens"
Equisetopsida,Ericales,Primulaceae,"Myrsine dependens"
Equisetopsida,Liliales,Alstroemeriaceae,"Bomarea dulcis"
Equisetopsida,Myrtales,Onagraceae,"Fuchsia apetala"
Equisetopsida,Fagales,Myricaceae,"Morella pubescens"
Equisetopsida,Laurales,Lauraceae,"Nectandra cuspidata"
Equisetopsida,Oxalidales,Oxalidaceae,"Oxalis sanmiguelii"
Equisetopsida,Apiales,Araliaceae,"Hydrocotyle acutifolia"
Equisetopsida,Polypodiales,Polypodiaceae,"Grammitis moniliformis"
Equisetopsida,Poales,Poaceae,"Catapodium rigidum"
Equisetopsida,Gentianales,Rubiaceae,"Faramea jasminoides"
Equisetopsida,Polypodiales,Pteridaceae,"Jamesonia boliviensis"
Equisetopsida,Oxalidales,Elaeocarpaceae,"Vallea stipularis"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana rigida"
Equisetopsida,Malpighiales,Violaceae,"Viola pygmaea"
Equisetopsida,Ericales,Symplocaceae,"Symplocos fimbriata"
Equisetopsida,Ericales,Symplocaceae,"Symplocos quitensis"
Equisetopsida,Gleicheniales,Gleicheniaceae,"Sticherus remotus"
Equisetopsida,Hymenophyllales,Hymenophyllaceae,"Trichomanes elegans"
Equisetopsida,Hymenophyllales,Hymenophyllaceae,"Trichomanes pellucens"
Equisetopsida,Hymenophyllales,Hymenophyllaceae,"Trichomanes trollii"
Equisetopsida,Caryophyllales,Polygonaceae,"Triplaris poeppigiana"
Equisetopsida,Poales,Poaceae,"Tripsacum andersonii"
Equisetopsida,Pandanales,Triuridaceae,"Triuris hyalina"
Equisetopsida,Asterales,Asteraceae,"Vernonanthura patens"
Equisetopsida,Sapindales,Anacardiaceae,"Tapirira guianensis"
Equisetopsida,Rosales,Moraceae,"Trophis caucana"
