Clase,Orden,Familia,Especie
Equisetopsida,Asparagales,Orchidaceae,"Crossoglossa puipuiensis"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum frutex"
Equisetopsida,Asparagales,Orchidaceae,"Gomphichis macbridei"
Equisetopsida,Asparagales,Orchidaceae,"Stelis antillensis"
Equisetopsida,Asparagales,Orchidaceae,"Fernandezia tenuis"
Equisetopsida,Asparagales,Orchidaceae,"Sobralia crocea"
Equisetopsida,Asparagales,Orchidaceae,"Pleurothallis loejtnantii"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum trullatum"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum stenophyton"
Equisetopsida,Asparagales,Orchidaceae,"Brachionidium puipuiensis"
Equisetopsida,Asparagales,Orchidaceae,"Cyrtochilum aureum"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum catillus"
Equisetopsida,Asparagales,Orchidaceae,"Crossoglossa dalessandroi"
Equisetopsida,Asparagales,Orchidaceae,"Maxillaria acuminata"
Equisetopsida,Asparagales,Orchidaceae,"Maxillaria tenuifolia"
Equisetopsida,Asparagales,Orchidaceae,"Barbosella miersii"
Equisetopsida,Asparagales,Orchidaceae,"Ornithocephalus gladiatus"
Equisetopsida,Asparagales,Orchidaceae,"Masdevallia roseola"
Equisetopsida,Asparagales,Orchidaceae,"Ponthieva pseudoracemosa"
Equisetopsida,Asparagales,Orchidaceae,"Pleurothallis imrayi"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum ramosum"
Equisetopsida,Asparagales,Orchidaceae,"Maxillaria cryptobulbon"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum vesicinanum"
Equisetopsida,Asparagales,Orchidaceae,"Prescottia stachyodes"
Equisetopsida,Asparagales,Orchidaceae,"Epistephium duckei"
Equisetopsida,Asparagales,Orchidaceae,"Pleurothallis ruscifolia"
Equisetopsida,Asparagales,Orchidaceae,"Aspidogyne foliosa"
Equisetopsida,Asparagales,Orchidaceae,"Octomeria grandiflora"
Equisetopsida,Asparagales,Orchidaceae,"Sobralia virginalis"
Equisetopsida,Asparagales,Orchidaceae,"Sobralia rosea"
Equisetopsida,Asparagales,Orchidaceae,"Sobralia fimbriata"
Equisetopsida,Asparagales,Orchidaceae,"Maxillaria bicallosa"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum compressum"
Equisetopsida,Asparagales,Orchidaceae,"Fernandezia subbiflora"
Equisetopsida,Asparagales,Orchidaceae,"Elleanthus aurantiacus"
Equisetopsida,Asparagales,Orchidaceae,"Fernandezia ionanthera"
Equisetopsida,Asparagales,Orchidaceae,"Pleurothallis trachysepala"
Equisetopsida,Asparagales,Orchidaceae,"Fernandezia crystallina"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum chondrochilum"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum capitellatum"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum gastrochilum"
