Clase,Orden,Familia,Especie,endemica,amenazada
Aves,Cathartiformes,Cathartidae,Vultur gryphus,FALSE,TRUE
Aves,Passeriformes,Troglodytidae,Troglodytes aedon,FALSE,FALSE
Aves,Charadriiformes,Charadriidae,Vanellus resplendens,FALSE,FALSE
Aves,Strigiformes,Tytonidae,Tyto alba,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Upucerthia validirostris,FALSE,FALSE
Mammalia,Carnivora,Ursidae,Tremarctos ornatus,FALSE,TRUE
Aves,Passeriformes,Turdidae,Turdus fuscater,FALSE,FALSE
Aves,Passeriformes,Turdidae,Turdus chiguanco,FALSE,FALSE
Aves,Tinamiformes,Tinamidae,Tinamotis pentlandii,FALSE,FALSE
Aves,Passeriformes,Passerellidae,Zonotrichia capensis,FALSE,FALSE
Aves,Passeriformes,Cotingidae,Zaratornis stresemanni,TRUE,TRUE
Aves,Passeriformes,Thraupidae,Xenodacnis parina,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Xenophyllum,FALSE,FALSE
Equisetopsida,Pottiales,Pottiaceae,Syntrichia,FALSE,FALSE
Mammalia,Cetartiodactyla,Camelidae,Vicugna vicugna,FALSE,FALSE
Aves,Caprimulgiformes,Caprimulgidae,Systellura longirostris,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Sylviorthorhynchus yanacensis,FALSE,FALSE
Aves,Passeriformes,Hirundinidae,Orochelidon murina,FALSE,FALSE
Aves,Psittaciformes,Psittacidae,Psittacara wagleri,FALSE,FALSE
Aves,Gruiformes,Rallidae,Fulica gigantea,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Geocerthia serrana,TRUE,FALSE
Aves,Passeriformes,Tyrannidae,Agriornis montanus,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Cinclodes atacamensis,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Cnemarchus rufipennis,FALSE,FALSE
Aves,Tinamiformes,Tinamidae,Nothoprocta ornata,FALSE,FALSE
Aves,Anseriformes,Anatidae,Spatula puna,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Chalcostigma olivaceum,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Anairetes parulus,FALSE,FALSE
Aves,Piciformes,Picidae,Colaptes rupicola,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Oreotrochilus estella,FALSE,FALSE
Aves,Anseriformes,Anatidae,Spatula discors,FALSE,FALSE
Aves,Anseriformes,Anatidae,Anas flavirostris,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Colibri coruscans,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Sicalis olivascens,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Sicalis uropygialis,FALSE,FALSE
Aves,Psittaciformes,Psittacidae,Bolborhynchus orbygnesius,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Aglaeactis cupripennis,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Conirostrum binghami,FALSE,FALSE
Aves,Columbiformes,Columbidae,Metriopelia melanoptera,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Ochthoeca leucophrys,FALSE,FALSE
Mammalia,Carnivora,Canidae,Lycalopex (Pseudalopex) culpaeus,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Conirostrum cinereum,FALSE,FALSE
Aves,Gruiformes,Rallidae,Fulica ardesiaca,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Metallura phoebe,TRUE,FALSE
Aves,Passeriformes,Thraupidae,Catamenia inornata,FALSE,FALSE
Equisetopsida,Pottiales,Pottiaceae,Rhexophyllum,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Asthenes humilis,FALSE,FALSE
Aves,Passeriformes,Hirundinidae,Pygochelidon cyanoleuca,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Idiopsar speculiger,FALSE,FALSE
Aves,Passeriformes,Cotingidae,Ampelion rubrocristatus,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Asthenes flammulata,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Geranoaetus polyosoma,FALSE,FALSE
Aves,Falconiformes,Falconidae,Falco femoralis,FALSE,FALSE
