Clase,Orden,Familia,Especie
Equisetopsida,Caryophyllales,Amaranthaceae,"Alternanthera arequipensis"
Equisetopsida,Brassicales,Caricaceae,"Carica augusti"
Aves,Piciformes,Picidae,"Colaptes atricollis"
Reptilia,Sauria,Liolaemidae,"Liolaemus annectens"
Equisetopsida,Malpighiales,Linaceae,"Linum polygaloides"
Equisetopsida,Fabales,Fabaceae,"Hoffmannseggia miranda"
Equisetopsida,Poales,Bromeliaceae,"Puya cylindrica"
Aves,Passeriformes,Furnariidae,"Leptasthenura pileata"
Reptilia,Sauria,Tropiduridae,"Microlophus tigris"
Equisetopsida,Asterales,Asteraceae,"Proustia berberidifolia"
Aves,Passeriformes,Furnariidae,"Cinclodes palliatus"
Aves,Passeriformes,Furnariidae,"Pseudasthenes cactorum"
Equisetopsida,Asterales,Asteraceae,"Chersodoma juanisernii"
Aves,Passeriformes,Furnariidae,"Geositta crassirostris"
Equisetopsida,Apiales,Apiaceae,"Eremocharis hutchisonii"
Equisetopsida,Asterales,Asteraceae,"Onoseris odorata"
Equisetopsida,Asterales,Campanulaceae,"Siphocampylus candollei"
Equisetopsida,Malvales,Malvaceae,"Abutilon arequipense"
Equisetopsida,Asterales,Asteraceae,"Aristeguietia ballii"
Equisetopsida,Ericales,Polemoniaceae,"Gilia lomensis"
Equisetopsida,Solanales,Solanaceae,"Nicotiana paniculata"
Aves,Passeriformes,Thraupidae,"Sicalis raimondii"
Equisetopsida,Caryophyllales,Cactaceae,"Armatocereus riomajensis"
Aves,Passeriformes,Furnariidae,"Asthenes ottonis"
Equisetopsida,Caryophyllales,Cactaceae,"Neoraimondia arequipensis"
Equisetopsida,Asterales,Asteraceae,"Senecio tovari"
Aves,Passeriformes,Passerellidae,"Atlapetes nationi"
Equisetopsida,Malpighiales,Passifloraceae,"Malesherbia arequipensis"
Equisetopsida,Malpighiales,Passifloraceae,"Malesherbia angustisecta"
Equisetopsida,Malpighiales,Euphorbiaceae,"Jatropha macrantha"
Equisetopsida,Saxifragales,Crassulaceae,"Sedum reniforme"
Equisetopsida,Lamiales,Verbenaceae,"Junellia clavata"
Equisetopsida,Asterales,Asteraceae,"Baccharis kingii"
Aves,Apodiformes,Trochilidae,"Metallura phoebe"
Reptilia,Serpentes,Viperidae,"Bothrops pictus"
Equisetopsida,Caryophyllales,Cactaceae,"Browningia hertlingiana"
Equisetopsida,Fabales,Fabaceae,"Lupinus paruroensis"
Aves,Apodiformes,Trochilidae,"Polyonymus caroli"
Aves,Passeriformes,Thraupidae,"Poospizopsis caesar"
Equisetopsida,Cornales,Loasaceae,"Nasa chenopodiifolia"
Equisetopsida,Caryophyllales,Cactaceae,"Corryocactus aureus"
Equisetopsida,Caryophyllales,Cactaceae,"Weberbauerocereus rauhii"
Equisetopsida,Malvales,Malvaceae,"Tarasa marinii"
Equisetopsida,Asparagales,Asparagaceae,"Trihesperus glaucus"
Aves,Passeriformes,Cotingidae,"Zaratornis stresemanni"
,,,
