Clase,Orden,Familia,Especie
Aves,Falconiformes,Falconidae,"Falco sparverius"
Equisetopsida,Apiales,Apiaceae,"Conium maculatum"
Aves,Passeriformes,Thraupidae,"Conirostrum cinereum"
Aves,Passeriformes,Thraupidae,"Conirostrum binghami"
Equisetopsida,Asterales,Asteraceae,"Achyrocline ramosissima"
Equisetopsida,Ericales,Polemoniaceae,"Cantua buxifolia"
Mammalia,Carnivora,Mephitidae,"Conepatus chinga"
Equisetopsida,Caryophyllales,Amaranthaceae,"Alternanthera caracasana"
Equisetopsida,Fabales,Fabaceae,"Spartium junceum"
Equisetopsida,Brassicales,Brassicaceae,"Capsella bursa-pastoris"
Equisetopsida,Caryophyllales,Amaranthaceae,"Alternanthera arequipensis"
Equisetopsida,Commelinales,Commelinaceae,"Commelina tuberosa"
Equisetopsida,Ericales,Polemoniaceae,"Microsteris gracilis"
Aves,Charadriiformes,Recurvirostridae,"Recurvirostra andina"
Equisetopsida,Caryophyllales,Caryophyllaceae,"Cardionema ramosissimum"
Aves,Columbiformes,Columbidae,"Columbina cruziana"
Equisetopsida,Brassicales,Caricaceae,"Carica augusti"
Aves,Columbiformes,Columbidae,"Columba livia"
Equisetopsida,Lamiales,Lamiaceae,"Lepechinia meyenii"
Equisetopsida,Ranunculales,Ranunculaceae,"Ranunculus repens"
Equisetopsida,Rosales,Rhamnaceae,"Colletia spinosissima"
Aves,Anseriformes,Anatidae,"Lophonetta specularioides"
Equisetopsida,Caryophyllales,Caryophyllaceae,"Stellaria ovata"
Aves,Apodiformes,Trochilidae,"Colibri coruscans"
Equisetopsida,Brassicales,Brassicaceae,"Lepidium bipinnatifidum"
Mammalia,Chiroptera,Vespertilionidae,"Myotis atacamensis"
Aves,Piciformes,Picidae,"Colaptes rupicola"
Equisetopsida,Lamiales,Verbenaceae,"Aloysia spathulata"
Equisetopsida,Lamiales,Verbenaceae,"Aloysia citrodora"
Equisetopsida,Lamiales,Orobanchaceae,"Castilleja arvensis"
Equisetopsida,Lamiales,Orobanchaceae,"Castilleja laciniata"
Mammalia,Carnivora,Mustelidae,"Lontra felina"
Aves,Piciformes,Picidae,"Colaptes atricollis"
Aves,Passeriformes,Thraupidae,"Catamenia analis"
Aves,Passeriformes,Thraupidae,"Catamenia inornata"
Aves,Cathartiformes,Cathartidae,"Cathartes aura"
Equisetopsida,Brassicales,Brassicaceae,"Lepidium chichicara"
Equisetopsida,Santalales,Schoepfiaceae,"Quinchamalium chilense"
Equisetopsida,Asterales,Asteraceae,"Lomanthus velardei"
Equisetopsida,Cornales,Loasaceae,"Mentzelia scabra subsp. Chilensis"
Equisetopsida,Asterales,Campanulaceae,"Lobelia decurrens"
Equisetopsida,Caryophyllales,Caryophyllaceae,"Stellaria cuspidata"
Aves,Passeriformes,Fringillidae,"Spinus magellanicus"
Aves,Anseriformes,Anatidae,"Spatula puna"
Equisetopsida,Lamiales,Lamiaceae,"Hedeoma mandoniana"
