Clase,Orden,Familia,Especie
Mammalia,Carnivora,Mustelidae,"Lontra felina"
Equisetopsida,Fagales,Betulaceae,"Alnus acuminata"
Equisetopsida,Poales,Bromeliaceae,"Puya raimondii"
Aves,Passeriformes,Furnariidae,"Cinclodes palliatus"
Equisetopsida,Asterales,Asteraceae,"Perezia coerulescens"
Equisetopsida,Asterales,Asteraceae,"Perezia pinnatifida"
Equisetopsida,Asterales,Asteraceae,"Chersodoma arequipensis"
Equisetopsida,Escalloniales,Escalloniaceae,"Escallonia salicifolia"
Equisetopsida,Escalloniales,Escalloniaceae,"Escallonia myrtilloides"
Mammalia,Cetartiodactyla,Cervidae,"Hippocamelus antisensis"
Equisetopsida,Malvales,Malvaceae,"Abutilon arequipense"
Aves,Phoenicopteriformes,Phoenicopteridae,"Phoenicoparrus andinus"
Aves,Phoenicopteriformes,Phoenicopteridae,"Phoenicoparrus jamesi"
Equisetopsida,Asterales,Asteraceae,"Senecio yurensis"
Equisetopsida,Asterales,Asteraceae,"Senecio violifolius"
Equisetopsida,Asterales,Asteraceae,"Senecio rhizomatus"
Equisetopsida,Asterales,Asteraceae,"Senecio nutans"
Equisetopsida,Malpighiales,Euphorbiaceae,"Jatropha macrantha"
Equisetopsida,Caryophyllales,Cactaceae,"Melocactus peruvianus"
Equisetopsida,Apiales,Apiaceae,"Azorella compacta"
Aves,Passeriformes,Tyrannidae,"Anairetes alpinus"
Equisetopsida,Fabales,Fabaceae,"Neltuma pallida"
Equisetopsida,Rosales,Rosaceae,"Kageneckia lanceolata"
Equisetopsida,Zygophyllales,Krameriaceae,"Krameria lappacea"
Aves,Passeriformes,Tyrannidae,"Agriornis albicauda"
Reptilia,Serpentes,Viperidae,"Bothrops pictus"
Mammalia,Chiroptera,Furipteridae,"Amorphochilus schnablii"
Mammalia,Cetartiodactyla,Camelidae,"Lama guanicoe"
Equisetopsida,Caryophyllales,Cactaceae,"Browningia candelaris"
Mammalia,Chiroptera,Phyllostomidae,"Platalina genovensium"
Equisetopsida,Lamiales,Scrophulariaceae,"Buddleja coriacea"
Equisetopsida,Lamiales,Scrophulariaceae,"Buddleja incana"
Equisetopsida,Asterales,Asteraceae,"Parastrephia lepidophylla"
Equisetopsida,Asterales,Asteraceae,"Culcitium pflanzii"
Equisetopsida,Asterales,Asteraceae,"Culcitium nivale"
Equisetopsida,Rosales,Rosaceae,"Polylepis besseri"
Equisetopsida,Caryophyllales,Cactaceae,"Corryocactus brevistylus"
Mammalia,Carnivora,Felidae,"Leopardus jacobitus"
Aves,Cathartiformes,Cathartidae,"Vultur gryphus"
Aves,Passeriformes,Thraupidae,"Xenospingus concolor"
Equisetopsida,Fabales,Fabaceae,"Tara spinosa"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana nivalis"
Aves,Passeriformes,Cotingidae,"Zaratornis stresemanni"
,,,
