Clase,Orden,Familia,Especie
Equisetopsida,Asparagales,Amaryllidaceae,"Trichlora peruviana"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana cumbemayensis"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana globularis"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana renifolia"
Equisetopsida,Asparagales,Asparagaceae,"Trihesperus glaucus"
Equisetopsida,Santalales,Loranthaceae,"Tristerix chodatianus"
Equisetopsida,Malpighiales,Violaceae,"Viola kermesina"
Equisetopsida,Malpighiales,Violaceae,"Viola membranacea"
Aves,Passeriformes,Cotingidae,"Zaratornis stresemanni"
Equisetopsida,Rosales,Rosaceae,"Lachemilla barbata"
Equisetopsida,Fabales,Fabaceae,"Astragalus pickeringii"
Equisetopsida,Caryophyllales,Caryophyllaceae,"Pycnophyllopsis macrophylla"
Equisetopsida,Lamiales,Orobanchaceae,"Neobartsia canescens"
Equisetopsida,Asterales,Asteraceae,"Senecio yauyensis"
Aves,Passeriformes,Passerellidae,"Atlapetes nationi"
Equisetopsida,Malvales,Malvaceae,"Nototriche aretioides"
Equisetopsida,Fabales,Fabaceae,"Lupinus pickeringii"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria angustiflora"
Equisetopsida,Asterales,Asteraceae,"Senecio tovarii"
Aves,Piciformes,Picidae,"Colaptes atricollis"
Equisetopsida,Cornales,Loasaceae,"Nasa cymbopetala"
Aves,Passeriformes,Furnariidae,"Leptasthenura pileata"
Equisetopsida,Cornales,Loasaceae,"Nasa magnifica"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria cuneiformis"
Equisetopsida,Saxifragales,Grossulariaceae,"Ribes viscosum"
Equisetopsida,Caryophyllales,Caryophyllaceae,"Paronychia limaei"
Aves,Passeriformes,Thraupidae,"Poospiza rubecula"
Equisetopsida,Asterales,Asteraceae,"Senecio chachaniensis"
Equisetopsida,Asterales,Asteraceae,"Proustia berberidifolia"
Equisetopsida,Apiales,Apiaceae,"Eremocharis longiramea"
Equisetopsida,Fabales,Fabaceae,"Lupinus chrysanthus"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria glauca"
Equisetopsida,Lamiales,Orobanchaceae,"Neobartsia aprica"
Equisetopsida,Asterales,Asteraceae,"Senecio casapaltensis"
Equisetopsida,Asterales,Asteraceae,"Chaetanthera cochlearifolia"
Equisetopsida,Asterales,Asteraceae,"Chaetanthera peruviana"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria linearis"
Aves,Passeriformes,Furnariidae,"Geositta saxicolina"
Equisetopsida,Asterales,Asteraceae,"Senecio calachaquensis"
Equisetopsida,Asterales,Asteraceae,"Senecio pyrenophilus"
Equisetopsida,Fabales,Polygalaceae,"Pteromonnina macrostachya"
Aves,Passeriformes,Furnariidae,"Cinclodes palliatus"
Equisetopsida,Solanales,Solanaceae,"Jaltomata bicolor"
Equisetopsida,Brassicales,Brassicaceae,"Draba canoensis"
Equisetopsida,Asterales,Asteraceae,"Senecio macrorrhizus"
Equisetopsida,Liliales,Alstroemeriaceae,"Bomarea longistyla"
Equisetopsida,Fabales,Fabaceae,"Lupinus cymboides"
Equisetopsida,Solanales,Solanaceae,"Solanum bukasovii"
Equisetopsida,Asterales,Asteraceae,"Senecio larahuinensis"
Equisetopsida,Asterales,Asteraceae,"Mutisia mathewsii"
Equisetopsida,Asterales,Asteraceae,"Cronquistianthus volkensii"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria rupestris"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria scabra"
Equisetopsida,Asterales,Asteraceae,"Senecio genisianus"
Equisetopsida,Gentianales,Gentianaceae,"Gentianella persquarrosa"
Equisetopsida,Asterales,Asteraceae,"Senecio gamolepis"
Equisetopsida,Asterales,Asteraceae,"Senecio ferreyrae"
Equisetopsida,Asterales,Asteraceae,"Chersodoma juanisernii"
Equisetopsida,Asterales,Asteraceae,"Senecio danai"
Equisetopsida,Lamiales,Orobanchaceae,"Neobartsia rigida"
Aves,Apodiformes,Trochilidae,"Metallura phoebe"
Mammalia,Rodentia,Cricetidae,"Akodon juninensis"
Equisetopsida,Brassicales,Brassicaceae,"Aschersoniodoxa peruviana"
Equisetopsida,Gentianales,Rubiaceae,"Galium huancavelicum"
Equisetopsida,Rosales,Rosaceae,"Polylepis flavipila"
Equisetopsida,Asterales,Asteraceae,"Aristeguietia ballii"
Equisetopsida,Dipsacales,Caprifoliaceae,"Stangea rhizantha"
Equisetopsida,Poales,Poaceae,"Festuca rigidifolia"
Equisetopsida,Poales,Poaceae,"Poa anae"
Aves,Apodiformes,Trochilidae,"Polyonymus caroli"
Equisetopsida,Ranunculales,Berberidaceae,"Berberis flexuosa"
Equisetopsida,Gentianales,Gentianaceae,"Gentianella carneorubra"
Equisetopsida,Gentianales,Gentianaceae,"Halenia spatulata"
Equisetopsida,Cornales,Loasaceae,"Caiophora cirsiifolia"
Equisetopsida,Gentianales,Gentianaceae,"Gentianella eurysepala"
Equisetopsida,Cornales,Loasaceae,"Caiphora carduifolia"
Equisetopsida,Malvales,Malvaceae,"Nototriche tovarii"
Equisetopsida,Asterales,Asteraceae,"Coreopsis fasciculata"
Equisetopsida,Asterales,Asteraceae,"Coreopsis senaria"
Equisetopsida,Malvales,Malvaceae,"Nototriche obtusa"
Equisetopsida,Saxifragales,Crassulaceae,"Echeveria chiclensis"
Equisetopsida,Malpighiales,Linaceae,"Linum polygaloides"
Equisetopsida,Malvales,Malvaceae,"Acaulimalva rhizantha"
Equisetopsida,Poales,Poaceae,"Poa linearifolia"
Equisetopsida,Poales,Poaceae,"Poa marshallii"
Equisetopsida,Asterales,Asteraceae,"Senecio collinus"
Equisetopsida,Asterales,Asteraceae,"Senecio breviscapus"
,,,
