Clase,Orden,Familia,Especie
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana cumbemayensis"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana nivalis"
Aves,Cathartiformes,Cathartidae,"Vultur gryphus"
Aves,Passeriformes,Cotingidae,"Zaratornis stresemanni"
Equisetopsida,Asterales,Asteraceae,"Senecio violifolius"
Equisetopsida,Rosales,Rosaceae,"Polylepis racemosa"
Equisetopsida,Lamiales,Scrophulariaceae,"Buddleja coriacea"
Aves,Passeriformes,Thraupidae,"Poospiza rubecula"
Equisetopsida,Asterales,Asteraceae,"Senecio rhizomatus"
Equisetopsida,Asterales,Asteraceae,"Senecio pflanzii"
Equisetopsida,Asterales,Asteraceae,"Senecio nutans"
Aves,Passeriformes,Furnariidae,"Cinclodes palliatus"
Equisetopsida,Solanales,Solanaceae,"Solanum bukasovii"
Mammalia,Cetartiodactyla,Cervidae,"Hippocamelus antisensis"
Mammalia,Carnivora,Felidae,"Leopardus jacobitus"
Equisetopsida,Rosales,Rosaceae,"Kageneckia lanceolata"
Equisetopsida,Lamiales,Scrophulariaceae,"Buddleja incana"
Equisetopsida,Rosales,Rosaceae,"Polylepis incana"
Equisetopsida,Ephedrales,Ephedraceae,"Ephedra rupestris"
Equisetopsida,Apiales,Apiaceae,"Azorella diapensioides"
,,,
