Clase,Orden,Familia,Especie
Aves,Galbuliformes,Bucconidae,"Monasa flavirostris"
Aves,Galbuliformes,Bucconidae,"Monasa morphoeus"
Aves,Piciformes,Picidae,"Melanerpes cruentatus"
Aves,Galbuliformes,Bucconidae,"Monasa nigrifrons"
Aves,Passeriformes,Thamnophilidae,"Megastictus margaritatus"
Aves,Strigiformes,Strigidae,"Megascops watsonii"
Aves,Strigiformes,Strigidae,"Megascops choliba"
Aves,Passeriformes,Tyrannidae,"Megarynchus pitangua"
Mammalia,Didelphimorphia,Didelphidae,"Monodelphis (Mygalodelphys) adusta"
Actinopterygii,Siluriformes,Callichthyidae,"Megalechis thoracata"
Aves,Coraciiformes,Alcedinidae,"Megaceryle torquata"
Equisetopsida,Zingiberales,Marantaceae,"Monotagma angustissimum"
Equisetopsida,Zingiberales,Marantaceae,"Monotagma juruanum"
Equisetopsida,Arecales,Arecaceae,"Aiphanes weberbaueri"
Equisetopsida,Zingiberales,Marantaceae,"Monotagma laxum"
Equisetopsida,Zingiberales,Marantaceae,"Monotagma parvulum"
Equisetopsida,Zingiberales,Marantaceae,"Monotagma plurispicatum"
Equisetopsida,Zingiberales,Marantaceae,"Monotagma tuberosum"
Equisetopsida,Zingiberales,Marantaceae,"Monotagma vaginatum"
Equisetopsida,Alismatales,Araceae,"Monstera aureopinnata"
Mammalia,Cetartiodactyla,Cervidae,"Mazama nemorivaga"
Equisetopsida,Alismatales,Araceae,"Monstera gracilis"
Mammalia,Cetartiodactyla,Cervidae,"Mazama americana"
Equisetopsida,Alismatales,Araceae,"Monstera obliqua"
Equisetopsida,Alismatales,Araceae,"Monstera spruceana"
Equisetopsida,Malpighiales,Achariaceae,"Mayna odorata"
Equisetopsida,Celastrales,Celastraceae,"Monteverdia amazonica"
Equisetopsida,Malpighiales,Achariaceae,"Mayna grandifolia"
Equisetopsida,Celastrales,Celastraceae,"Monteverdia macrocarpa"
Equisetopsida,Asparagales,Orchidaceae,"Maxillaria villosa"
Equisetopsida,Asparagales,Orchidaceae,"Maxillaria superflua"
Equisetopsida,Malpighiales,Chrysobalanaceae,"Moquilea brittoniana"
Equisetopsida,Malpighiales,Chrysobalanaceae,"Moquilea celiae"
Equisetopsida,Malpighiales,Chrysobalanaceae,"Moquilea guianensis"
Equisetopsida,Malpighiales,Chrysobalanaceae,"Moquilea unguiculata"
Equisetopsida,Malpighiales,Clusiaceae,"Moronobea coccinea"
Equisetopsida,Arecales,Arecaceae,"Mauritiella armata"
Equisetopsida,Arecales,Arecaceae,"Mauritiella aculeata"
Insecta,Lepidoptera,Nymphalidae,"Morpho achilles"
Equisetopsida,Arecales,Arecaceae,"Mauritia flexuosa"
Equisetopsida,Arecales,Arecaceae,"Mauritia carana"
Insecta,Lepidoptera,Nymphalidae,"Morpho deidamia"
Insecta,Lepidoptera,Nymphalidae,"Morpho helenor"
Equisetopsida,Malvales,Malvaceae,"Matisia soegengii"
Insecta,Lepidoptera,Nymphalidae,"Morpho marcus"
Insecta,Lepidoptera,Nymphalidae,"Morpho menelaus"
Equisetopsida,Malvales,Malvaceae,"Matisia obliquifolia"
Insecta,Lepidoptera,Nymphalidae,"Morpho telemachus"
Equisetopsida,Malvales,Malvaceae,"Matisia malacocalyx"
Equisetopsida,Malvales,Malvaceae,"Matisia intricata"
Equisetopsida,Malvales,Malvaceae,"Matisia idroboi"
Equisetopsida,Malvales,Malvaceae,"Matisia hirta"
Equisetopsida,Malvales,Malvaceae,"Matisia bracteolosa"
Equisetopsida,Sapindales,Sapindaceae,"Matayba macrocarpa"
Equisetopsida,Sapindales,Sapindaceae,"Matayba inelegans"
Equisetopsida,Sapindales,Sapindaceae,"Matayba guianensis"
Equisetopsida,Myrtales,Melastomataceae,"Mouriri acutiflora"
Equisetopsida,Sapindales,Sapindaceae,"Matayba arborescens"
Equisetopsida,Arecales,Arecaceae,"Aiphanes deltoidea"
Equisetopsida,Myrtales,Melastomataceae,"Mouriri cauliflora"
Equisetopsida,Myrtales,Melastomataceae,"Mouriri grandiflora"
Equisetopsida,Myrtales,Melastomataceae,"Mouriri guianensis"
Equisetopsida,Lamiales,Bignoniaceae,"Martinella obovata"
Equisetopsida,Lamiales,Bignoniaceae,"Martinella iquitoensis"
Equisetopsida,Myrtales,Melastomataceae,"Mouriri retentipetala"
Equisetopsida,Myrtales,Melastomataceae,"Mouriri vernicosa"
Equisetopsida,Fabales,Polygalaceae,"Moutabea aculeata"
Equisetopsida,Gentianales,Apocynaceae,"Marsdenia rubrofusca"
Equisetopsida,Gentianales,Apocynaceae,"Mucoa duckei"
Equisetopsida,Fabales,Fabaceae,"Mucuna urens"
Mammalia,Didelphimorphia,Didelphidae,"Marmosops (Sciophanes) bishopi"
Mammalia,Didelphimorphia,Didelphidae,"Marmosops (Marmosops) noctivagus"
Mammalia,Didelphimorphia,Didelphidae,"Marmosa (Stegomarmosa) lepida"
Mammalia,Didelphimorphia,Didelphidae,"Marmosa (Micoureus) jansae"
Mammalia,Didelphimorphia,Didelphidae,"Marmosa (Micoureus) constantiae"
Mammalia,Didelphimorphia,Didelphidae,"Marmosa (Marmosa) waterhousei"
Mammalia,Didelphimorphia,Didelphidae,"Marmosa (Eomarmosa) rubra"
Equisetopsida,Fabales,Fabaceae,"Marmaroxylon basijugum"
Equisetopsida,Myrtales,Myrtaceae,"Marlierea imperfecta"
Equisetopsida,Myrtales,Myrtaceae,"Marlierea caudata"
