Clase,Orden,Familia,Especie,endemica,amenazada
Aves,Galbuliformes,Bucconidae,Monasa flavirostris,FALSE,FALSE
Aves,Galbuliformes,Bucconidae,Monasa morphoeus,FALSE,FALSE
Aves,Piciformes,Picidae,Melanerpes cruentatus,FALSE,FALSE
Aves,Galbuliformes,Bucconidae,Monasa nigrifrons,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Megastictus margaritatus,FALSE,FALSE
Aves,Strigiformes,Strigidae,Megascops watsonii,FALSE,FALSE
Aves,Strigiformes,Strigidae,Megascops choliba,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Megarynchus pitangua,FALSE,FALSE
Mammalia,Didelphimorphia,Didelphidae,Monodelphis (Mygalodelphys) adusta,FALSE,FALSE
Actinopterygii,Siluriformes,Callichthyidae,Megalechis thoracata,FALSE,FALSE
Aves,Coraciiformes,Alcedinidae,Megaceryle torquata,FALSE,FALSE
Equisetopsida,Zingiberales,Marantaceae,Monotagma angustissimum,FALSE,FALSE
Equisetopsida,Zingiberales,Marantaceae,Monotagma juruanum,FALSE,FALSE
Equisetopsida,Arecales,Arecaceae,Aiphanes weberbaueri,FALSE,FALSE
Equisetopsida,Zingiberales,Marantaceae,Monotagma laxum,FALSE,FALSE
Equisetopsida,Zingiberales,Marantaceae,Monotagma parvulum,FALSE,FALSE
Equisetopsida,Zingiberales,Marantaceae,Monotagma plurispicatum,FALSE,FALSE
Equisetopsida,Zingiberales,Marantaceae,Monotagma tuberosum,FALSE,FALSE
Equisetopsida,Zingiberales,Marantaceae,Monotagma vaginatum,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Monstera aureopinnata,FALSE,FALSE
Mammalia,Cetartiodactyla,Cervidae,Mazama nemorivaga,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Monstera gracilis,FALSE,FALSE
Mammalia,Cetartiodactyla,Cervidae,Mazama americana,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Monstera obliqua,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Monstera spruceana,FALSE,FALSE
Equisetopsida,Malpighiales,Achariaceae,Mayna odorata,FALSE,FALSE
Equisetopsida,Celastrales,Celastraceae,Monteverdia amazonica,FALSE,FALSE
Equisetopsida,Malpighiales,Achariaceae,Mayna grandifolia,FALSE,FALSE
Equisetopsida,Celastrales,Celastraceae,Monteverdia macrocarpa,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Maxillaria villosa,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Maxillaria superflua,FALSE,FALSE
Equisetopsida,Malpighiales,Chrysobalanaceae,Moquilea brittoniana,FALSE,FALSE
Equisetopsida,Malpighiales,Chrysobalanaceae,Moquilea celiae,FALSE,FALSE
Equisetopsida,Malpighiales,Chrysobalanaceae,Moquilea guianensis,FALSE,FALSE
Equisetopsida,Malpighiales,Chrysobalanaceae,Moquilea unguiculata,FALSE,FALSE
Equisetopsida,Malpighiales,Clusiaceae,Moronobea coccinea,FALSE,FALSE
Equisetopsida,Arecales,Arecaceae,Mauritiella armata,FALSE,FALSE
Equisetopsida,Arecales,Arecaceae,Mauritiella aculeata,FALSE,FALSE
Insecta,Lepidoptera,Nymphalidae,Morpho achilles,FALSE,FALSE
Equisetopsida,Arecales,Arecaceae,Mauritia flexuosa,FALSE,FALSE
Equisetopsida,Arecales,Arecaceae,Mauritia carana,FALSE,TRUE
Insecta,Lepidoptera,Nymphalidae,Morpho deidamia,FALSE,FALSE
Insecta,Lepidoptera,Nymphalidae,Morpho helenor,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Matisia soegengii,FALSE,FALSE
Insecta,Lepidoptera,Nymphalidae,Morpho marcus,FALSE,FALSE
Insecta,Lepidoptera,Nymphalidae,Morpho menelaus,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Matisia obliquifolia,FALSE,FALSE
Insecta,Lepidoptera,Nymphalidae,Morpho telemachus,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Matisia malacocalyx,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Matisia intricata,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Matisia idroboi,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Matisia hirta,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Matisia bracteolosa,FALSE,FALSE
Equisetopsida,Sapindales,Sapindaceae,Matayba macrocarpa,FALSE,FALSE
Equisetopsida,Sapindales,Sapindaceae,Matayba inelegans,FALSE,FALSE
Equisetopsida,Sapindales,Sapindaceae,Matayba guianensis,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Mouriri acutiflora,FALSE,FALSE
Equisetopsida,Sapindales,Sapindaceae,Matayba arborescens,FALSE,FALSE
Equisetopsida,Arecales,Arecaceae,Aiphanes deltoidea,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Mouriri cauliflora,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Mouriri grandiflora,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Mouriri guianensis,FALSE,FALSE
Equisetopsida,Lamiales,Bignoniaceae,Martinella obovata,FALSE,FALSE
Equisetopsida,Lamiales,Bignoniaceae,Martinella iquitoensis,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Mouriri retentipetala,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Mouriri vernicosa,FALSE,FALSE
Equisetopsida,Fabales,Polygalaceae,Moutabea aculeata,FALSE,FALSE
Equisetopsida,Gentianales,Apocynaceae,Marsdenia rubrofusca,FALSE,FALSE
Equisetopsida,Gentianales,Apocynaceae,Mucoa duckei,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Mucuna urens,FALSE,FALSE
Mammalia,Didelphimorphia,Didelphidae,Marmosops (Sciophanes) bishopi,FALSE,FALSE
Mammalia,Didelphimorphia,Didelphidae,Marmosops (Marmosops) noctivagus,FALSE,FALSE
Mammalia,Didelphimorphia,Didelphidae,Marmosa (Stegomarmosa) lepida,FALSE,FALSE
Mammalia,Didelphimorphia,Didelphidae,Marmosa (Micoureus) jansae,FALSE,FALSE
Mammalia,Didelphimorphia,Didelphidae,Marmosa (Micoureus) constantiae,FALSE,FALSE
Mammalia,Didelphimorphia,Didelphidae,Marmosa (Marmosa) waterhousei,FALSE,FALSE
Mammalia,Didelphimorphia,Didelphidae,Marmosa (Eomarmosa) rubra,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Marmaroxylon basijugum,FALSE,FALSE
Equisetopsida,Myrtales,Myrtaceae,Marlierea imperfecta,TRUE,FALSE
Equisetopsida,Myrtales,Myrtaceae,Marlierea caudata,FALSE,FALSE
Equisetopsida,Solanales,Solanaceae,Markea ulei,FALSE,FALSE
Equisetopsida,Solanales,Solanaceae,Markea formicarum,FALSE,FALSE
Equisetopsida,Solanales,Convolvulaceae,Maripa peruviana,FALSE,FALSE
Equisetopsida,Solanales,Convolvulaceae,Maripa axilliflora,FALSE,FALSE
Equisetopsida,Malpighiales,Calophyllaceae,Marila tomentosa,FALSE,FALSE
Equisetopsida,Malvales,Muntingiaceae,Muntingia calabura,FALSE,FALSE
Equisetopsida,Malpighiales,Phyllanthaceae,Margaritaria nobilis,FALSE,FALSE
Equisetopsida,Ericales,Marcgraviaceae,Marcgravia nervosa,FALSE,FALSE
Equisetopsida,Ericales,Marcgraviaceae,Marcgravia longifolia,FALSE,FALSE
Equisetopsida,Ericales,Marcgraviaceae,Marcgravia crenata,FALSE,FALSE
Equisetopsida,Ericales,Marcgraviaceae,Marcgravia caudata,FALSE,FALSE
Equisetopsida,Rosales,Moraceae,Maquira calophylla,FALSE,FALSE
Equisetopsida,Malpighiales,Euphorbiaceae,Maprounea guianensis,FALSE,FALSE
Equisetopsida,Lamiales,Bignoniaceae,Mansoa verrucifera,FALSE,FALSE
Equisetopsida,Lamiales,Bignoniaceae,Mansoa standleyi,FALSE,FALSE
Equisetopsida,Ericales,Sapotaceae,Manilkara bidentata,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Manettia glandulosa,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Manettia asclepiadacea,FALSE,FALSE
Aves,Passeriformes,Pipridae,Manacus manacus,FALSE,FALSE
Equisetopsida,Gentianales,Apocynaceae,Malouetia peruviana,FALSE,FALSE
Equisetopsida,Gentianales,Apocynaceae,Malouetia naias,FALSE,FALSE
Equisetopsida,Gentianales,Apocynaceae,Malouetia killipii,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Malanea cylindrica,TRUE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Malanea boliviana,FALSE,FALSE
Aves,Galbuliformes,Bucconidae,Malacoptila fusca,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Myiarchus ferox,FALSE,FALSE
Equisetopsida,Magnoliales,Magnoliaceae,Magnolia equatorialis,FALSE,FALSE
Insecta,Lepidoptera,Nymphalidae,Magneuptychia opima,FALSE,FALSE
Insecta,Lepidoptera,Nymphalidae,Magneuptychia monopunctata,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Myiarchus swainsoni,FALSE,FALSE
Insecta,Lepidoptera,Nymphalidae,Magneuptychia analis,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Macrosamanea spruceana,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Macropsychanthus macrocarpus,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Macrolobium suaveolens,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Macrolobium microcalyx,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Macrolobium limbatum,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Macrolobium brevense,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Myiarchus tuberculifer,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Macrolobium bifolium,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Macrolobium arenarium,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Macrolobium angustifolium,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Macrolobium acaciifolium,FALSE,FALSE
Aves,Passeriformes,Onychorhynchidae,Myiobius barbatus,FALSE,FALSE
Equisetopsida,Gentianales,Apocynaceae,Macoubea sprucei,FALSE,FALSE
Equisetopsida,Gentianales,Apocynaceae,Macoubea guianensis,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Machaerium madeirense,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Machaerium kegelii,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Machaerium floribundum var. parviflorum,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Machaerium cuspidatum,FALSE,FALSE
Equisetopsida,Malpighiales,Euphorbiaceae,Mabea subsessilis,FALSE,FALSE
Equisetopsida,Malpighiales,Euphorbiaceae,Mabea speciosa,FALSE,FALSE
Equisetopsida,Malpighiales,Euphorbiaceae,Mabea pulcherrima,FALSE,FALSE
Equisetopsida,Malpighiales,Euphorbiaceae,Mabea piriri,FALSE,FALSE
Equisetopsida,Malpighiales,Euphorbiaceae,Mabea occidentalis,FALSE,FALSE
Equisetopsida,Malpighiales,Euphorbiaceae,Mabea nitida,FALSE,FALSE
Equisetopsida,Malpighiales,Euphorbiaceae,Mabea maynensis,FALSE,FALSE
Equisetopsida,Malpighiales,Euphorbiaceae,Mabea elata,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Myiopagis caniceps,FALSE,FALSE
Equisetopsida,Solanales,Solanaceae,Lycianthes pauciflora,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Myiopagis gaimardii,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Spizaetus ornatus,FALSE,FALSE
Actinopterygii,Clupeiformes,Engraulididae,Lycengraulis batesii,FALSE,FALSE
Aves,Caprimulgiformes,Caprimulgidae,Lurocalis semitorquatus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Myiornis ecaudatus,FALSE,FALSE
Equisetopsida,Malpighiales,Salicaceae,Lunania parviflora,FALSE,FALSE
Aves,Passeriformes,Parulidae,Myiothlypis fulvicauda,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Lueheopsis althaeiflora,FALSE,FALSE
Equisetopsida,Myrtales,Onagraceae,Ludwigia nervosa,FALSE,FALSE
Equisetopsida,Myrtales,Onagraceae,Ludwigia leptocarpa,FALSE,FALSE
Equisetopsida,Myrtales,Onagraceae,Ludwigia hyssopifolia,FALSE,FALSE
Equisetopsida,Pandanales,Cyclanthaceae,Ludovia lancifolia,FALSE,FALSE
Insecta,Lepidoptera,Erebidae,Loxophlebia ribripicta,FALSE,FALSE
Insecta,Lepidoptera,Erebidae,Loxophlebia chrysobasis,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Myiozetetes granadensis,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Loriotus luctuosus,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Loriotus cristatus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Myiozetetes luteiventris,FALSE,FALSE
Actinopterygii,Siluriformes,Loricariidae,Loricaria clavipinna,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Lophotriccus vitiosus,FALSE,FALSE
Aves,Strigiformes,Strigidae,Lophostrix cristata,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Myiozetetes similis,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Lophostoma silvicolum,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Lophostoma brasiliense,FALSE,FALSE
Mammalia,Rodentia,Dasyproctidae,Myoprocta pratti,FALSE,FALSE
Mammalia,Chiroptera,Vespertilionidae,Myotis albescens,FALSE,FALSE
Mammalia,Carnivora,Mustelidae,Lontra longicaudis,FALSE,FALSE
Mammalia,Chiroptera,Vespertilionidae,Myotis nigricans,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Lonchocarpus spiciflorus,FALSE,FALSE
Mammalia,Chiroptera,Vespertilionidae,Myotis riparius,FALSE,FALSE
Mammalia,Chiroptera,Vespertilionidae,Myotis simus,FALSE,FALSE
Amphibia,Anura,Leptodactylidae,Lithodytes lineatus,FALSE,FALSE
Equisetopsida,Ericales,Ebenaceae,Lissocarpa stenocarpa,FALSE,FALSE
Equisetopsida,Ericales,Ebenaceae,Lissocarpa kating,FALSE,FALSE
Equisetopsida,Ericales,Ebenaceae,Lissocarpa jensonii,FALSE,FALSE
Equisetopsida,Myrtales,Myrtaceae,Myrcia aliena,FALSE,FALSE
Aves,Passeriformes,Cotingidae,Lipaugus vociferans,FALSE,FALSE
Equisetopsida,Myrtales,Myrtaceae,Myrcia crebra,TRUE,FALSE
Aves,Passeriformes,Rhinocryptidae,Liosceles thoracicus,FALSE,FALSE
Equisetopsida,Myrtales,Myrtaceae,Myrcia hylobates,FALSE,FALSE
Equisetopsida,Polypodiales,Lindsaeaceae,Lindsaea hemiglossa,FALSE,FALSE
Equisetopsida,Polypodiales,Lindsaeaceae,Lindsaea guianensis,FALSE,FALSE
Equisetopsida,Polypodiales,Lindsaeaceae,Lindsaea divaricata,FALSE,FALSE
Equisetopsida,Lamiales,Linderniaceae,Lindernia crustacea,FALSE,FALSE
Equisetopsida,Malpighiales,Achariaceae,Lindackeria paludosa,FALSE,FALSE
