Clase,Orden,Familia,Especie
Equisetopsida,Myrtales,Myrtaceae,"Marlierea imperfecta"
Equisetopsida,Gentianales,Rubiaceae,"Malanea cylindrica"
Equisetopsida,Myrtales,Myrtaceae,"Myrcia crebra"
Equisetopsida,Lamiales,Gesneriaceae,"Nautilocalyx bullatus"
Equisetopsida,Magnoliales,Annonaceae,"Klarobelia cauliflora"
Equisetopsida,Fabales,Fabaceae,"Jacqueshuberia loretensis"
Equisetopsida,Fabales,Fabaceae,"Inga gereauana"
Equisetopsida,Laurales,Lauraceae,"Ocotea ottoschmidtii"
Equisetopsida,Malpighiales,Chrysobalanaceae,"Hirtella revillae"
Amphibia,Anura,Hylidae,"Osteocephalus taurinus"
Equisetopsida,Malpighiales,Calophyllaceae,"Haploclathra cordata"
Equisetopsida,Magnoliales,Annonaceae,"Guatteria peruviana"
Equisetopsida,Magnoliales,Annonaceae,"Guatteria modesta"
Equisetopsida,Fabales,Fabaceae,"Affonsea gereauana"
Equisetopsida,Gentianales,Rubiaceae,"Faramea vasquezii"
Equisetopsida,Sapindales,Sapindaceae,"Paullinia enneaphylla"
Equisetopsida,Piperales,Piperaceae,"Peperomia mishuyacana"
Aves,Passeriformes,Thamnophilidae,"Percnostola arenarum"
Equisetopsida,Laurales,Lauraceae,"Endlicheria arachnocome"
Equisetopsida,Santalales,Viscaceae,"Phoradendron loretoi"
Equisetopsida,Ericales,Ebenaceae,"Diospyros tessmannii"
Equisetopsida,Dioscoreales,Dioscoreaceae,"Dioscorea macbridean"
Equisetopsida,Magnoliales,Annonaceae,"Diclinanona tessmannii"
Actinopterygii,Characiformes,Curimatidae,"Cyphocharax festivus"
Equisetopsida,Ericales,Primulaceae,"Cybianthus nestorii"
Equisetopsida,Ericales,Primulaceae,"Cybianthus nanayensis"
Aves,Passeriformes,Polioptilidae,"Polioptila clementsi"
Equisetopsida,Rosales,Urticaceae,"Pourouma herrerensis"
Equisetopsida,Malpighiales,Euphorbiaceae,"Conceveiba maynasensis"
Amphibia,Anura,Craugastoridae,"Pristimantis academicus"
Amphibia,Anura,Craugastoridae,"Pristimantis delius"
Amphibia,Anura,Craugastoridae,"Pristimantis eurydactylus"
Amphibia,Anura,Craugastoridae,"Pristimantis lacrimosus"
Amphibia,Anura,Craugastoridae,"Pristimantis orcus"
Amphibia,Anura,Craugastoridae,"Pristimantis padiali"
Equisetopsida,Rosales,Rosaceae,"Prunus detrita"
Equisetopsida,Rosales,Rosaceae,"Prunus rotunda"
Equisetopsida,Oxalidales,Connaraceae,"Pseudoconnarus agelaeoides"
Equisetopsida,Santalales,Loranthaceae,"Psittacanthus peculiaris"
Equisetopsida,Solanales,Solanaceae,"Cestrum laevifolium"
Amphibia,Anura,Dendrobatidae,"Ranitomeya amazonica"
Equisetopsida,Malpighiales,Calophyllaceae,"Caraipa utilis"
Equisetopsida,Malpighiales,Calophyllaceae,"Caraipa jaramilloi"
Equisetopsida,Poales,Bromeliaceae,"Bromelia tarapotina"
Equisetopsida,Poales,Bromeliaceae,"Billbergia formosa"
Equisetopsida,Malpighiales,Malpighiaceae,"Banisteriopsis woytkowskii"
Equisetopsida,Ranunculales,Menispermaceae,"Sciadotenia mathiasiana"
Equisetopsida,Laurales,Lauraceae,"Sextonia pubescens"
Equisetopsida,Magnoliales,Annonaceae,"Annona deminuta"
Amphibia,Anura,Bufonidae,"Amazophrynella amazonicola"
Equisetopsida,Sapindales,Rutaceae,"Spathelia terminalioides"
Equisetopsida,Asterales,Asteraceae,"Mikania shushunensis"
Equisetopsida,Laurales,Lauraceae,"Mezilaurus triunca"
Equisetopsida,Lamiales,Acanthaceae,"Mendoncia tarapotana"
Equisetopsida,Magnoliales,Annonaceae,"Trigynaea lanceipetala"
Equisetopsida,Fabales,Fabaceae,"Zygia guinetii"
Aves,Passeriformes,Tyrannidae,"Zimmerius villarejoi"
Equisetopsida,Magnoliales,Annonaceae,"Tetrameranthus pachycarpus"
Equisetopsida,Ericales,Theaceae,"Ternstroemia penduliflora"
Equisetopsida,Ericales,Pentaphylacaceae,"Ternstroemia klugiana"
Equisetopsida,Gentianales,Gentianaceae,"Tachia loretensis"
,,,
